step,loss
1,1.7078
2,2.0146
3,2.0819
4,1.7548
5,1.3039
6,1.5665
7,1.5234
8,1.5687
9,1.4021
10,1.6806
11,1.1094
12,1.4066
13,1.45
14,1.3809
15,1.6934
16,1.4131
17,1.5995
18,1.4968
19,1.4312
20,1.2656
21,1.4615
22,1.4085
23,1.4788
24,1.1673
25,1.497
26,1.1513
27,1.6201
28,1.091
29,1.528
30,1.1001
31,1.1785
32,1.3886
33,1.3509
34,1.1072
35,1.1225
36,1.4288
37,1.1092
38,1.3101
39,1.1596
40,1.0576
41,1.408
42,1.2088
43,0.9309
44,0.6827
45,1.1158
46,1.4012
47,1.0776
48,1.1123
49,1.2949
50,1.0748
