ts,idx,used_mib
1786269132,0,272021
1786269132,1,212641
1786269132,2,247661
1786269132,3,202219
1786269132,4,250921
1786269132,5,212781
1786269132,6,270361
1786269132,7,262441
1786269134,0,272301
1786269134,1,212921
1786269134,2,247961
1786269134,3,202521
1786269134,4,251201
1786269134,5,213061
1786269134,6,270361
1786269134,7,262441
1786269137,0,272861
1786269137,1,213481
1786269137,2,248561
1786269137,3,203121
1786269137,4,251761
1786269137,5,213621
1786269137,6,270361
1786269137,7,262441
1786269139,0,273441
1786269139,1,215161
1786269139,2,250361
1786269139,3,204921
1786269139,4,252401
1786269139,5,215301
1786269139,6,270361
1786269139,7,262441
1786269141,0,273441
1786269141,1,215721
1786269141,2,250361
1786269141,3,205601
1786269141,4,252401
1786269141,5,215401
1786269141,6,270361
1786269141,7,262441
1786269143,0,273441
1786269143,1,215721
1786269143,2,250361
1786269143,3,205601
1786269143,4,252401
1786269143,5,215401
1786269143,6,270361
1786269143,7,262441
1786269145,0,273441
1786269145,1,219281
1786269145,2,250361
1786269145,3,208761
1786269145,4,252401
1786269145,5,215401
1786269145,6,270361
1786269145,7,262441
1786269148,0,273441
1786269148,1,219281
1786269148,2,250361
1786269148,3,210261
1786269148,4,252401
1786269148,5,215401
1786269148,6,270361
1786269148,7,262441
1786269152,0,273441
1786269152,1,219281
1786269152,2,250361
1786269152,3,210261
1786269152,4,252401
1786269152,5,215401
1786269152,6,270361
1786269152,7,262441
1786269154,0,268881
1786269154,1,226001
1786269154,2,252101
1786269154,3,211861
1786269154,4,253861
1786269154,5,216721
1786269154,6,270361
1786269154,7,262441
1786269157,0,201781
1786269157,1,226001
1786269157,2,252101
1786269157,3,211861
1786269157,4,253861
1786269157,5,216721
1786269157,6,270361
1786269157,7,262441
1786269160,0,151181
1786269160,1,226001
1786269160,2,252101
1786269160,3,211861
1786269160,4,253861
1786269160,5,216721
1786269160,6,270361
1786269160,7,262441
1786269162,0,156581
1786269162,1,226001
1786269162,2,252101
1786269162,3,211861
1786269162,4,253861
1786269162,5,216721
1786269162,6,270361
1786269162,7,262441
1786269165,0,165163
1786269165,1,229561
1786269165,2,255401
1786269165,3,214921
1786269165,4,256661
1786269165,5,219281
1786269165,6,270361
1786269165,7,262441
1786269168,0,166983
1786269168,1,229561
1786269168,2,255401
1786269168,3,214921
1786269168,4,256661
1786269168,5,219281
1786269168,6,270361
1786269168,7,262441
1786269172,0,181103
1786269172,1,233121
1786269172,2,258701
1786269172,3,217981
1786269172,4,259461
1786269172,5,221841
1786269172,6,270361
1786269172,7,262441
1786269174,0,186063
1786269174,1,236681
1786269174,2,262001
1786269174,3,221041
1786269174,4,262261
1786269174,5,224401
1786269174,6,270361
1786269174,7,262441
1786269177,0,194123
1786269177,1,240241
1786269177,2,265301
1786269177,3,224361
1786269177,4,265061
1786269177,5,226961
1786269177,6,270361
1786269177,7,262441
1786269180,0,205213
1786269180,1,248081
1786269180,2,265301
1786269180,3,238381
1786269180,4,265061
1786269180,5,237221
1786269180,6,270361
1786269180,7,262441
1786269184,0,209459
1786269184,1,251641
1786269184,2,268601
1786269184,3,241441
1786269184,4,267861
1786269184,5,239781
1786269184,6,270361
1786269184,7,262441
1786269186,0,213579
1786269186,1,255201
1786269186,2,271901
1786269186,3,244501
1786269186,4,267861
1786269186,5,242341
1786269186,6,270361
1786269186,7,262441
1786269188,0,217699
1786269188,1,258761
1786269188,2,183701
1786269188,3,247561
1786269188,4,267861
1786269188,5,244901
1786269188,6,270361
1786269188,7,262441
1786269191,0,219759
1786269191,1,260441
1786269191,2,170097
1786269191,3,249021
1786269191,4,267861
1786269191,5,246141
1786269191,6,270361
1786269191,7,262441
1786269193,0,221819
1786269193,1,262321
1786269193,2,205657
1786269193,3,250621
1786269193,4,267861
1786269193,5,247461
1786269193,6,270361
1786269193,7,262441
1786269197,0,225939
