ts,idx,used_mib
1786268339,0,126377
1786268339,1,126377
1786268339,2,126377
1786268339,3,126377
1786268339,4,126377
1786268339,5,126377
1786268339,6,126377
1786268339,7,126377
1786268341,0,128993
1786268341,1,128991
1786268341,2,129017
1786268341,3,129003
1786268341,4,129153
1786268341,5,129153
1786268341,6,128999
1786268341,7,129153
1786268344,0,129543
1786268344,1,129543
1786268344,2,129543
1786268344,3,129543
1786268344,4,129543
1786268344,5,129543
1786268344,6,129543
1786268344,7,129543
1786268346,0,129623
1786268346,1,129683
1786268346,2,129743
1786268346,3,129803
1786268346,4,129863
1786268346,5,129943
1786268346,6,130003
1786268346,7,130063
1786268349,0,129623
1786268349,1,129683
1786268349,2,129743
1786268349,3,129803
1786268349,4,129863
1786268349,5,129943
1786268349,6,130003
1786268349,7,130063
1786268351,0,129623
1786268351,1,129683
1786268351,2,129743
1786268351,3,129803
1786268351,4,129863
1786268351,5,129943
1786268351,6,130003
1786268351,7,130063
1786268353,0,130663
1786268353,1,130643
1786268353,2,130643
1786268353,3,130643
1786268353,4,132163
1786268353,5,130663
1786268353,6,130643
1786268353,7,130643
1786268356,0,135545
1786268356,1,135345
1786268356,2,135225
1786268356,3,135085
1786268356,4,134965
1786268356,5,134905
1786268356,6,133625
1786268356,7,133625
1786268358,0,136015
1786268358,1,135815
1786268358,2,135695
1786268358,3,135555
1786268358,4,135435
1786268358,5,135375
1786268358,6,134095
1786268358,7,134075
1786268361,0,136017
1786268361,1,135817
1786268361,2,135699
1786268361,3,135557
1786268361,4,135437
1786268361,5,135377
1786268361,6,134097
1786268361,7,134097
1786268363,0,136343
1786268363,1,136239
1786268363,2,136201
1786268363,3,136123
1786268363,4,136067
1786268363,5,135991
1786268363,6,134855
1786268363,7,134759
1786268365,0,137113
1786268365,1,136913
1786268365,2,136665
1786268365,3,136525
1786268365,4,136405
1786268365,5,136311
1786268365,6,135031
1786268365,7,135031
1786268368,0,137241
1786268368,1,137009
1786268368,2,136889
1786268368,3,136717
1786268368,4,136597
1786268368,5,136441
1786268368,6,135031
1786268368,7,135031
1786268372,0,137241
1786268372,1,137041
1786268372,2,136921
1786268372,3,136781
1786268372,4,136629
1786268372,5,136569
1786268372,6,135257
1786268372,7,135225
1786268375,0,137241
1786268375,1,137041
1786268375,2,136921
1786268375,3,136781
1786268375,4,136661
1786268375,5,136601
1786268375,6,135321
1786268375,7,135321
1786268377,0,137483
1786268377,1,138943
1786268377,2,139423
1786268377,3,139543
1786268377,4,138523
1786268377,5,138443
1786268377,6,136843
1786268377,7,137203
1786268379,0,142723
1786268379,1,140203
1786268379,2,140683
1786268379,3,140803
1786268379,4,143743
1786268379,5,143483
1786268379,6,139903
1786268379,7,146383
1786268381,0,146625
1786268381,1,143203
1786268381,2,143443
1786268381,3,144303
1786268381,4,147763
1786268381,5,147003
1786268381,6,146143
1786268381,7,148583
1786268384,0,152885
1786268384,1,146645
1786268384,2,144545
1786268384,3,145405
1786268384,4,148865
1786268384,5,149065
1786268384,6,148965
1786268384,7,149685
1786268386,0,157365
1786268386,1,153525
1786268386,2,156845
1786268386,3,155405
1786268386,4,160045
1786268386,5,154485
1786268386,6,153365
1786268386,7,154425
1786268389,0,160385
1786268389,1,157865
1786268389,2,159845
1786268389,3,164625
1786268389,4,163025
1786268389,5,160905
1786268389,6,163065
1786268389,7,157425
1786268391,0,163785
1786268391,1,162865
1786268391,2,162045
1786268391,3,166825
1786268391,4,165245
1786268391,5,164205
1786268391,6,165265
1786268391,7,164005
1786268393,0,176545
1786268393,1,173685
1786268393,2,176065
1786268393,3,176025
1786268393,4,176005
1786268393,5,176305
1786268393,6,173825
1786268393,7,173605
1786268395,0,176613
1786268395,1,176173
1786268395,2,176873
1786268395,3,176093
1786268395,4,176073
1786268395,5,176373
1786268395,6,176313
1786268395,7,176093
1786268398,0,176613
1786268398,1,176173
1786268398,2,176873
1786268398,3,176093
1786268398,4,176073
1786268398,5,176373
1786268398,6,176313
1786268398,7,176093
1786268400,0,176615
1786268400,1,176175
1786268400,2,176875
1786268400,3,176095
1786268400,4,176075
1786268400,5,176375
1786268400,6,176315
1786268400,7,176095
1786268402,0,176617
1786268402,1,176177
1786268402,2,176877
1786268402,3,176097
1786268402,4,176077
1786268402,5,176377
1786268402,6,176317
1786268402,7,176097
1786268404,0,176637
1786268404,1,176197
1786268404,2,176877
1786268404,3,176097
1786268404,4,176077
1786268404,5,176397
1786268404,6,176337
1786268404,7,176097
1786268407,0,176637
1786268407,1,176197
1786268407,2,176877
1786268407,3,176097
1786268407,4,176077
1786268407,5,176397
1786268407,6,176337
1786268407,7,176097
1786268409,0,176637
1786268409,1,176197
1786268409,2,176877
1786268409,3,176097
1786268409,4,176077
1786268409,5,176397
1786268409,6,176337
1786268409,7,176097
1786268411,0,177441
1786268411,1,177011
1786268411,2,177671
1786268411,3,176881
1786268411,4,176871
1786268411,5,177201
1786268411,6,177131
1786268411,7,176901
1786268413,0,178051
1786268413,1,177611
1786268413,2,178261
1786268413,3,177511
1786268413,4,177381
1786268413,5,177581
1786268413,6,177751
1786268413,7,177341
1786268417,0,178053
1786268417,1,177641
1786268417,2,178321
1786268417,3,177513
1786268417,4,177493
1786268417,5,177841
1786268417,6,177753
1786268417,7,177513
1786268420,0,178351
1786268420,1,178419
1786268420,2,179231
1786268420,3,178455
1786268420,4,177805
1786268420,5,178153
1786268420,6,178685
1786268420,7,178339
1786268427,0,179541
1786268427,1,179049
1786268427,2,179951
1786268427,3,179171
1786268427,4,178409
1786268427,5,179343
1786268427,6,179411
1786268427,7,179171
1786268431,0,182781
1786268431,1,182161
1786268431,2,182661
1786268431,3,181681
1786268431,4,181461
1786268431,5,181581
1786268431,6,181341
1786268431,7,180921
1786268434,0,182781
1786268434,1,182161
1786268434,2,182661
1786268434,3,181681
1786268434,4,181461
1786268434,5,181581
1786268434,6,181341
1786268434,7,180921
1786268436,0,186801
1786268436,1,185861
1786268436,2,186061
1786268436,3,184761
1786268436,4,184221
1786268436,5,184001
1786268436,6,183441
1786268436,7,182721
1786268439,0,189861
1786268439,1,188741
1786268439,2,188761
1786268439,3,187261
1786268439,4,186521
1786268439,5,186101
1786268439,6,185361
1786268439,7,184721
1786268441,0,196963
1786268441,1,195323
1786268441,2,194843
1786268441,3,192823
1786268441,4,191603
1786268441,5,190643
1786268441,6,189383
1786268441,7,188243
1786268444,0,200983
1786268444,1,199023
1786268444,2,198243
1786268444,3,195903
1786268444,4,194363
1786268444,5,193063
1786268444,6,191483
1786268444,7,190043
1786268446,0,206263
1786268446,1,201903
1786268446,2,200943
1786268446,3,198403
1786268446,4,196663
1786268446,5,195163
1786268446,6,193403
1786268446,7,191783
1786268449,0,217363
1786268449,1,212183
1786268449,2,210443
1786268449,3,207063
1786268449,4,204483
1786268449,5,202103
1786268449,6,199523
1786268449,7,197123
1786268451,0,224443
1786268451,1,218763
1786268451,2,218003
1786268451,3,223803
1786268451,4,218223
1786268451,5,206623
1786268451,6,203543
1786268451,7,200663
1786268454,0,231523
1786268454,1,225343
1786268454,2,224103
1786268454,3,229383
1786268454,4,223283
1786268454,5,214943
1786268454,6,215423
1786268454,7,204203
1786268456,0,240363
1786268456,1,235143
1786268456,2,228983
1786268456,3,234963
1786268456,4,228343
1786268456,5,219463
1786268456,6,219083
1786268456,7,207743
1786268459,0,244243
1786268459,1,238023
1786268459,2,232903
1786268459,3,237463
1786268459,4,230643
1786268459,5,221563
1786268459,6,221363
1786268459,7,209483
1786268461,0,248263
1786268461,1,242843
1786268461,2,236303
1786268461,3,240543
1786268461,4,233403
1786268461,5,223983
1786268461,6,223463
1786268461,7,215603
1786268464,0,261263
1786268464,1,249423
1786268464,2,246963
1786268464,3,246123
1786268464,4,238463
1786268464,5,230643
1786268464,6,227483
1786268464,7,221023
1786268466,0,269283
1786268466,1,258983
1786268466,2,265703
1786268466,3,260183
1786268466,4,255003
1786268466,5,243743
1786268466,6,244903
1786268466,7,227383
1786268468,0,232723
1786268468,1,271083
1786268468,2,265703
1786268468,3,260183
1786268468,4,255003
1786268468,5,249783
1786268468,6,244903
1786268468,7,239483
1786268470,0,183375
1786268470,1,271097
1786268470,2,192675
1786268470,3,260195
1786268470,4,255015
1786268470,5,249795
1786268470,6,244915
1786268470,7,239495
1786268473,0,187477
1786268473,1,266277
1786268473,2,196397
1786268473,3,263277
1786268473,4,262697
1786268473,5,252217
1786268473,6,247017
1786268473,7,241297
1786268476,0,187477
1786268476,1,219677
1786268476,2,196397
1786268476,3,263277
1786268476,4,262697
1786268476,5,252217
1786268476,6,247017
1786268476,7,241297
1786268478,0,191577
1786268478,1,182937
1786268478,2,199997
1786268478,3,265777
1786268478,4,264997
1786268478,5,254317
1786268478,6,248937
1786268478,7,243037
1786268481,0,195677
1786268481,1,186777
1786268481,2,203597
1786268481,3,268857
1786268481,4,267757
1786268481,5,256737
1786268481,6,251037
1786268481,7,244837
1786268483,0,199777
1786268483,1,190617
1786268483,2,207197
1786268483,3,271357
1786268483,4,270057
1786268483,5,258837
1786268483,6,252957
1786268483,7,246577
1786268485,0,203877
1786268485,1,194457
1786268485,2,210797
1786268485,3,164997
1786268485,4,272817
1786268485,5,261257
1786268485,6,255057
1786268485,7,248377
1786268487,0,203877
1786268487,1,194457
1786268487,2,210797
1786268487,3,157209
1786268487,4,272817
1786268487,5,261257
1786268487,6,255057
1786268487,7,248377
1786268490,0,203877
1786268490,1,194457
1786268490,2,210797
1786268490,3,166635
1786268490,4,272817
1786268490,5,261257
1786268490,6,255057
1786268490,7,248377
1786268492,0,207977
1786268492,1,198297
1786268492,2,214397
1786268492,3,180457
1786268492,4,173557
1786268492,5,263357
1786268492,6,256977
1786268492,7,250117
1786268494,0,212077
1786268494,1,202137
1786268494,2,217997
1786268494,3,185157
1786268494,4,185577
1786268494,5,265777
1786268494,6,259077
1786268494,7,251917
1786268496,0,216177
1786268496,1,205977
1786268496,2,221597
1786268496,3,188497
1786268496,4,188657
1786268496,5,267877
1786268496,6,260997
1786268496,7,253657
1786268499,0,220277
1786268499,1,209817
1786268499,2,225197
1786268499,3,191837
1786268499,4,191737
1786268499,5,270297
1786268499,6,263097
1786268499,7,255457
1786268501,0,224377
1786268501,1,213657
1786268501,2,228797
1786268501,3,199077
1786268501,4,194817
1786268501,5,272397
1786268501,6,265017
1786268501,7,257197
1786268505,0,228477
1786268505,1,217497
1786268505,2,232397
1786268505,3,208357
1786268505,4,197897
1786268505,5,268497
1786268505,6,267117
1786268505,7,258997
1786268508,0,228477
1786268508,1,217497
1786268508,2,232397
1786268508,3,208357
1786268508,4,200977
1786268508,5,161995
1786268508,6,267117
1786268508,7,258997
1786268510,0,236677
1786268510,1,225177
1786268510,2,239597
1786268510,3,215037
1786268510,4,207137
1786268510,5,170617
1786268510,6,267117
1786268510,7,258997
1786268513,0,239937
1786268513,1,228197
1786268513,2,242277
1786268513,3,217537
1786268513,4,209377
1786268513,5,181117
1786268513,6,267117
1786268513,7,258997
1786268515,0,244037
1786268515,1,232037
1786268515,2,245877
1786268515,3,220877
1786268515,4,212457
1786268515,5,183937
1786268515,6,267117
1786268515,7,258997
1786268517,0,248137
1786268517,1,235877
1786268517,2,249457
1786268517,3,224197
1786268517,4,215537
1786268517,5,186757
1786268517,6,267117
1786268517,7,258997
1786268520,0,252237
1786268520,1,239717
1786268520,2,253057
1786268520,3,227537
1786268520,4,218617
1786268520,5,189577
1786268520,6,267117
1786268520,7,258997
1786268522,0,256337
1786268522,1,243557
1786268522,2,256657
1786268522,3,230877
1786268522,4,221697
1786268522,5,192397
1786268522,6,267117
1786268522,7,258997
1786268525,0,264539
1786268525,1,251237
1786268525,2,263857
1786268525,3,237557
1786268525,4,227857
1786268525,5,198037
1786268525,6,267117
1786268525,7,258997
1786268527,0,232019
1786268527,1,262757
1786268527,2,259377
1786268527,3,247577
1786268527,4,237097
1786268527,5,206497
1786268527,6,267117
1786268527,7,258997
1786268529,0,147963
1786268529,1,262757
1786268529,2,144457
1786268529,3,247577
1786268529,4,237097
1786268529,5,206497
1786268529,6,267117
1786268529,7,258997
1786268532,0,152065
1786268532,1,266597
1786268532,2,150383
1786268532,3,250917
1786268532,4,240177
1786268532,5,209317
1786268532,6,267117
1786268532,7,258997
1786268534,0,152065
1786268534,1,266597
1786268534,2,150383
1786268534,3,250917
1786268534,4,240177
1786268534,5,209317
1786268534,6,267117
1786268534,7,258997
1786268536,0,152065
1786268536,1,266597
1786268536,2,150383
1786268536,3,250917
1786268536,4,240177
1786268536,5,209317
1786268536,6,267117
1786268536,7,258997
1786268538,0,162007
1786268538,1,270437
1786268538,2,164425
1786268538,3,254257
1786268538,4,243257
1786268538,5,212137
1786268538,6,267117
1786268538,7,258997
1786268540,0,174007
1786268540,1,194837
1786268540,2,168925
1786268540,3,257597
1786268540,4,246337
1786268540,5,214957
1786268540,6,267117
1786268540,7,258997
1786268542,0,181847
1786268542,1,158845
1786268542,2,172525
1786268542,3,260937
1786268542,4,249417
1786268542,5,217777
1786268542,6,267117
1786268542,7,258997
1786268545,0,197187
1786268545,1,169865
1786268545,2,179725
1786268545,3,267617
1786268545,4,255577
1786268545,5,223417
1786268545,6,267117
1786268545,7,258997
1786268547,0,201287
1786268547,1,179045
1786268547,2,188025
1786268547,3,270957
1786268547,4,258657
1786268547,5,226237
1786268547,6,267117
1786268547,7,258997
1786268550,0,205387
1786268550,1,182885
1786268550,2,198565
1786268550,3,246717
1786268550,4,261737
1786268550,5,229057
1786268550,6,267117
1786268550,7,258997
1786268553,0,205387
1786268553,1,182885
1786268553,2,201165
1786268553,3,168463
1786268553,4,261737
1786268553,5,229057
1786268553,6,267117
1786268553,7,258997
1786268555,0,213587
1786268555,1,190565
1786268555,2,208365
1786268555,3,190025
1786268555,4,267897
1786268555,5,234697
1786268555,6,267117
1786268555,7,258997
1786268558,0,217687
1786268558,1,199045
1786268558,2,211965
1786268558,3,193365
1786268558,4,270977
1786268558,5,237517
1786268558,6,267117
1786268558,7,258997
1786268560,0,221787
1786268560,1,202885
1786268560,2,215565
1786268560,3,196705
1786268560,4,274057
1786268560,5,240337
1786268560,6,267117
1786268560,7,258997
1786268562,0,225887
1786268562,1,206725
1786268562,2,219165
1786268562,3,200045
1786268562,4,269197
1786268562,5,243157
1786268562,6,267117
1786268562,7,258997
1786268566,0,225887
1786268566,1,206725
1786268566,2,219165
1786268566,3,200045
1786268566,4,153317
1786268566,5,243157
1786268566,6,267117
1786268566,7,258997
1786268570,0,232307
1786268570,1,216105
1786268570,2,222765
1786268570,3,203385
1786268570,4,182225
1786268570,5,245977
1786268570,6,267117
1786268570,7,258997
1786268573,0,240507
1786268573,1,224025
1786268573,2,229965
