ts,idx,used_mib
1786264770,0,83213
1786264770,1,83213
1786264770,2,83213
1786264770,3,83213
1786264770,4,83213
1786264770,5,83213
1786264770,6,83213
1786264770,7,83213
1786264772,0,85767
1786264772,1,85767
1786264772,2,85769
1786264772,3,85767
1786264772,4,85767
1786264772,5,85769
1786264772,6,85767
1786264772,7,85767
1786264774,0,86027
1786264774,1,86009
1786264774,2,86009
1786264774,3,86027
1786264774,4,85983
1786264774,5,86009
1786264774,6,85975
1786264774,7,86013
1786264778,0,86239
1786264778,1,86239
1786264778,2,86239
1786264778,3,86239
1786264778,4,86239
1786264778,5,86239
1786264778,6,86239
1786264778,7,86239
1786264782,0,86819
1786264782,1,86879
1786264782,2,86959
1786264782,3,87019
1786264782,4,87079
1786264782,5,87139
1786264782,6,87199
1786264782,7,87301
1786264784,0,86819
1786264784,1,86879
1786264784,2,86959
1786264784,3,87019
1786264784,4,87079
1786264784,5,87139
1786264784,6,87199
1786264784,7,87302
1786264787,0,86819
1786264787,1,86879
1786264787,2,86959
1786264787,3,87019
1786264787,4,87079
1786264787,5,87139
1786264787,6,87199
1786264787,7,87315
1786264789,0,87779
1786264789,1,89079
1786264789,2,89259
1786264789,3,89559
1786264789,4,89699
1786264789,5,89839
1786264789,6,90139
1786264789,7,90925
1786264791,0,92601
1786264791,1,92521
1786264791,2,92481
1786264791,3,92701
1786264791,4,92601
1786264791,5,92501
1786264791,6,92761
1786264791,7,92801
1786264794,0,95161
1786264794,1,95081
1786264794,2,95061
1786264794,3,95261
1786264794,4,95181
1786264794,5,95081
1786264794,6,95341
1786264794,7,95381
1786264796,0,95631
1786264796,1,95551
1786264796,2,95531
1786264796,3,95731
1786264796,4,95651
1786264796,5,95551
1786264796,6,95811
1786264796,7,95821
1786264799,0,95631
1786264799,1,95551
1786264799,2,95531
1786264799,3,95731
1786264799,4,95651
1786264799,5,95551
1786264799,6,95811
1786264799,7,95851
1786264803,0,95633
1786264803,1,95553
1786264803,2,95533
1786264803,3,95733
1786264803,4,95653
1786264803,5,95553
1786264803,6,95813
1786264803,7,95853
1786264807,0,96007
1786264807,1,95991
1786264807,2,96035
1786264807,3,96299
1786264807,4,96283
1786264807,5,96247
1786264807,6,96571
1786264807,7,96675
1786264809,0,96631
1786264809,1,96519
1786264809,2,96467
1786264809,3,96667
1786264809,4,96587
1786264809,5,96487
1786264809,6,96747
1786264809,7,96787
1786264813,0,96857
1786264813,1,96743
1786264813,2,96725
1786264813,3,96893
1786264813,4,96813
1786264813,5,96711
1786264813,6,96939
1786264813,7,96947
1786264818,0,96857
1786264818,1,96777
1786264818,2,96757
1786264818,3,96957
1786264818,4,96877
1786264818,5,96777
1786264818,6,97005
1786264818,7,97045
1786264821,0,96857
1786264821,1,96777
1786264821,2,96757
1786264821,3,96957
1786264821,4,96877
1786264821,5,96777
1786264821,6,97037
1786264821,7,97077
1786264823,0,96857
1786264823,1,96777
1786264823,2,96757
1786264823,3,96957
1786264823,4,96877
1786264823,5,96777
1786264823,6,97037
1786264823,7,97077
1786264826,0,96857
1786264826,1,96777
1786264826,2,96757
1786264826,3,96957
1786264826,4,96877
1786264826,5,96777
1786264826,6,97037
1786264826,7,97077
1786264828,0,96857
1786264828,1,96777
1786264828,2,96757
1786264828,3,96957
1786264828,4,96877
1786264828,5,96777
1786264828,6,97037
1786264828,7,97077
1786264830,0,96857
1786264830,1,96777
1786264830,2,96757
1786264830,3,96957
1786264830,4,96877
1786264830,5,96777
1786264830,6,97037
1786264830,7,97077
1786264833,0,97097
1786264833,1,97017
1786264833,2,96997
1786264833,3,97197
1786264833,4,97117
1786264833,5,97017
1786264833,6,97277
1786264833,7,97317
1786264835,0,97259
1786264835,1,97399
1786264835,2,100259
1786264835,3,99459
1786264835,4,97279
1786264835,5,97179
1786264835,6,97999
1786264835,7,97479
1786264837,0,97499
1786264837,1,98199
1786264837,2,100359
1786264837,3,99839
1786264837,4,97899
1786264837,5,98979
1786264837,6,101119
1786264837,7,97479
1786264839,0,103059
1786264839,1,104539
1786264839,2,102499
1786264839,3,101959
1786264839,4,105359
1786264839,5,101579
1786264839,6,103679
1786264839,7,104139
1786264841,0,107019
1786264841,1,117679
1786264841,2,107979
1786264841,3,111339
1786264841,4,107479
1786264841,5,105759
1786264841,6,106739
1786264841,7,106279
1786264844,0,109139
1786264844,1,119799
1786264844,2,116159
1786264844,3,113459
1786264844,4,112919
1786264844,5,109559
1786264844,6,108879
1786264844,7,108419
1786264846,0,111259
1786264846,1,121919
1786264846,2,118299
1786264846,3,115579
1786264846,4,115039
1786264846,5,111679
1786264846,6,114519
1786264846,7,110559
1786264848,0,113379
1786264848,1,124039
1786264848,2,120439
1786264848,3,117699
1786264848,4,117159
1786264848,5,116739
1786264848,6,117499
1786264848,7,113439
1786264850,0,115339
1786264850,1,125839
1786264850,2,122259
1786264850,3,119519
1786264850,4,118979
1786264850,5,118559
1786264850,6,119319
1786264850,7,119619
1786264852,0,122519
1786264852,1,127399
1786264852,2,123839
1786264852,3,121279
1786264852,4,120919
1786264852,5,124079
1786264852,6,128339
1786264852,7,129659
1786264855,0,123101
1786264855,1,128041
1786264855,2,129639
1786264855,3,122061
1786264855,4,121759
1786264855,5,125701
1786264855,6,129299
1786264855,7,130701
1786264857,0,124781
1786264857,1,129601
1786264857,2,131241
1786264857,3,123841
1786264857,4,123561
1786264857,5,127501
1786264857,6,131279
1786264857,7,132701
1786264859,0,125161
1786264859,1,129961
1786264859,2,131581
1786264859,3,124501
1786264859,4,125941
1786264859,5,128081
1786264859,6,134761
1786264859,7,133601
1786264861,0,125161
1786264861,1,129961
1786264861,2,131581
1786264861,3,124501
1786264861,4,125941
1786264861,5,128081
1786264861,6,134761
1786264861,7,133601
1786264864,0,125921
1786264864,1,130681
1786264864,2,134281
1786264864,3,126381
1786264864,4,129281
1786264864,5,129241
1786264864,6,136481
1786264864,7,137761
1786264866,0,126301
1786264866,1,134361
1786264866,2,134621
1786264866,3,136221
1786264866,4,129921
1786264866,5,129821
1786264866,6,137341
1786264866,7,138661
1786264868,0,128261
1786264868,1,135081
1786264868,2,135301
1786264868,3,137541
1786264868,4,133881
1786264868,5,141221
1786264868,6,139741
1786264868,7,140461
1786264870,0,128641
1786264870,1,135361
1786264870,2,135461
1786264870,3,137761
1786264870,4,134001
1786264870,5,141221
1786264870,6,139801
1786264870,7,140541
1786264872,0,141513
1786264872,1,141093
1786264872,2,141073
1786264872,3,143289
1786264872,4,143261
1786264872,5,142849
1786264872,6,145093
1786264872,7,145373
1786264875,0,141581
1786264875,1,141201
1786264875,2,141181
1786264875,3,143421
1786264875,4,143561
1786264875,5,142981
1786264875,6,145201
1786264875,7,145441
1786264877,0,141581
1786264877,1,141201
1786264877,2,141181
1786264877,3,143421
1786264877,4,143561
1786264877,5,142981
1786264877,6,145201
1786264877,7,145441
1786264879,0,141581
1786264879,1,141201
1786264879,2,141181
1786264879,3,146161
1786264879,4,143561
1786264879,5,142981
1786264879,6,145201
1786264879,7,145441
1786264881,0,141581
1786264881,1,141201
1786264881,2,141181
1786264881,3,146161
