ts,idx,used_mib
1786264770,0,83173
1786264770,1,83173
1786264770,2,83173
1786264770,3,83173
1786264770,4,83173
1786264770,5,83173
1786264770,6,83173
1786264770,7,83173
1786264772,0,85729
1786264772,1,85729
1786264772,2,85729
1786264772,3,85729
1786264772,4,85729
1786264772,5,85729
1786264772,6,85729
1786264772,7,85729
1786264775,0,86199
1786264775,1,86199
1786264775,2,86199
1786264775,3,86199
1786264775,4,86199
1786264775,5,86199
1786264775,6,86199
1786264775,7,86189
1786264778,0,86779
1786264778,1,86839
1786264778,2,86919
1786264778,3,86979
1786264778,4,87039
1786264778,5,87099
1786264778,6,87159
1786264778,7,87239
1786264780,0,86779
1786264780,1,86839
1786264780,2,86919
1786264780,3,86979
1786264780,4,87039
1786264780,5,87099
1786264780,6,87159
1786264780,7,87239
1786264782,0,86779
1786264782,1,86839
1786264782,2,86919
1786264782,3,86979
1786264782,4,87039
1786264782,5,87099
1786264782,6,87159
1786264782,7,87239
1786264784,0,87739
1786264784,1,89039
1786264784,2,89219
1786264784,3,89519
1786264784,4,89659
1786264784,5,89799
1786264784,6,90099
1786264784,7,90259
1786264787,0,95121
1786264787,1,95041
1786264787,2,95021
1786264787,3,95221
1786264787,4,94921
1786264787,5,94701
1786264787,6,95061
1786264787,7,95341
1786264789,0,95121
1786264789,1,95041
1786264789,2,95021
1786264789,3,95221
1786264789,4,95141
1786264789,5,95041
1786264789,6,95301
1786264789,7,95341
1786264791,0,95121
1786264791,1,95041
1786264791,2,95021
1786264791,3,95221
1786264791,4,95141
1786264791,5,95041
1786264791,6,95301
1786264791,7,95341
1786264793,0,95121
1786264793,1,95041
1786264793,2,95021
1786264793,3,95221
1786264793,4,95141
1786264793,5,95041
1786264793,6,95301
1786264793,7,95341
1786264796,0,95411
1786264796,1,95303
1786264796,2,95283
1786264796,3,95483
1786264796,4,95403
1786264796,5,95303
1786264796,6,95563
1786264796,7,95743
1786264798,0,95591
1786264798,1,95511
1786264798,2,95491
1786264798,3,95691
1786264798,4,95611
1786264798,5,95511
1786264798,6,95771
1786264798,7,95811
1786264800,0,95591
1786264800,1,95511
1786264800,2,95491
1786264800,3,95691
1786264800,4,95611
1786264800,5,95511
1786264800,6,95771
1786264800,7,95811
1786264802,0,95591
1786264802,1,95511
1786264802,2,95491
1786264802,3,95691
1786264802,4,95611
1786264802,5,95511
1786264802,6,95771
1786264802,7,95811
1786264805,0,95593
1786264805,1,95513
1786264805,2,95493
1786264805,3,95693
1786264805,4,95613
1786264805,5,95513
1786264805,6,95773
1786264805,7,95813
1786264807,0,95967
1786264807,1,95951
1786264807,2,95995
1786264807,3,96259
1786264807,4,96243
1786264807,5,96207
1786264807,6,96531
1786264807,7,96555
1786264809,0,96367
1786264809,1,96191
1786264809,2,96235
1786264809,3,96531
1786264809,4,96355
1786264809,5,96447
1786264809,6,96611
1786264809,7,96747
1786264811,0,96719
1786264811,1,96639
1786264811,2,96459
1786264811,3,96659
1786264811,4,96579
1786264811,5,96479
1786264811,6,96707
1786264811,7,96747
1786264815,0,96817
1786264815,1,96737
1786264815,2,96459
1786264815,3,96659
1786264815,4,96675
1786264815,5,96671
1786264815,6,96739
1786264815,7,96779
1786264817,0,96817
1786264817,1,96737
1786264817,2,96717
1786264817,3,96917
1786264817,4,96837
1786264817,5,96737
1786264817,6,96963
1786264817,7,96779
1786264820,0,96817
1786264820,1,96737
1786264820,2,96717
1786264820,3,96917
1786264820,4,96837
1786264820,5,96737
1786264820,6,96997
1786264820,7,97035
1786264823,0,96817
1786264823,1,96737
1786264823,2,96717
1786264823,3,96917
1786264823,4,96837
1786264823,5,96737
1786264823,6,96997
1786264823,7,97037
1786264825,0,96817
1786264825,1,96737
1786264825,2,96717
1786264825,3,96917
1786264825,4,96837
1786264825,5,96737
1786264825,6,96997
1786264825,7,97037
1786264827,0,96817
1786264827,1,96737
1786264827,2,96717
1786264827,3,96917
1786264827,4,96837
1786264827,5,96737
1786264827,6,96997
1786264827,7,97037
1786264829,0,96817
1786264829,1,96737
1786264829,2,96717
1786264829,3,96917
1786264829,4,96837
1786264829,5,96737
1786264829,6,96997
1786264829,7,97037
1786264831,0,96817
1786264831,1,96737
1786264831,2,96717
1786264831,3,96917
1786264831,4,96837
1786264831,5,96737
1786264831,6,96997
1786264831,7,97037
1786264834,0,98099
1786264834,1,98839
1786264834,2,96959
1786264834,3,99919
1786264834,4,97079
1786264834,5,98759
1786264834,6,97939
1786264834,7,97279
1786264836,0,98259
1786264836,1,98999
1786264836,2,97119
1786264836,3,100079
1786264836,4,97239
1786264836,5,98919
1786264836,6,98099
1786264836,7,97439
1786264838,0,105399
1786264838,1,102199
1786264838,2,102759
1786264838,3,102559
1786264838,4,100419
1786264838,5,101339
1786264838,6,106959
1786264838,7,107859
1786264841,0,111019
1786264841,1,105019
1786264841,2,110779
1786264841,3,111219
1786264841,4,104879
1786264841,5,104159
1786264841,6,109099
1786264841,7,109999
1786264843,0,115779
1786264843,1,115179
1786264843,2,116979
1786264843,3,117979
1786264843,4,115299
1786264843,5,111079
1786264843,6,111239
1786264843,7,112139
1786264846,0,117899
1786264846,1,117299
1786264846,2,119119
1786264846,3,120099
1786264846,4,117419
1786264846,5,113199
1786264846,6,113379
1786264846,7,114279
1786264849,0,120019
1786264849,1,119419
1786264849,2,121259
1786264849,3,124039
1786264849,4,119539
1786264849,5,117039
1786264849,6,115519
1786264849,7,116419
1786264851,0,121819
1786264851,1,125239
1786264851,2,123079
1786264851,3,125861
1786264851,4,121359
1786264851,5,118859
1786264851,6,123859
1786264851,7,118239
1786264853,0,128979
1786264853,1,127439
1786264853,2,127799
1786264853,3,128401
1786264853,4,123999
1786264853,5,121559
1786264853,6,126799
1786264853,7,121261
1786264856,0,130521
1786264856,1,129001
1786264856,2,129401
1786264856,3,132401
1786264856,4,125801
1786264856,5,134181
1786264856,6,128779
1786264856,7,123261
1786264859,0,130901
1786264859,1,131941
1786264859,2,129501
1786264859,3,132501
1786264859,4,133281
1786264859,5,134261
1786264859,6,129521
1786264859,7,123341
1786264862,0,131281
1786264862,1,132541
1786264862,2,130081
1786264862,3,133721
1786264862,4,133921
1786264862,5,135341
1786264862,6,130501
1786264862,7,127101
1786264865,0,131661
1786264865,1,136501
1786264865,2,130421
1786264865,3,134381
1786264865,4,134561
1786264865,5,135921
1786264865,6,131361
1786264865,7,132881
1786264867,0,132421
1786264867,1,137221
1786264867,2,131101
1786264867,3,135701
1786264867,4,135841
1786264867,5,137081
1786264867,6,133081
1786264867,7,134681
1786264869,0,132801
1786264869,1,137581
1786264869,2,134821
1786264869,3,137521
1786264869,4,136481
1786264869,5,137661
1786264869,6,136121
1786264869,7,135581
1786264871,0,140721
1786264871,1,145789
1786264871,2,140881
1786264871,3,143241
1786264871,4,141361
1786264871,5,142501
1786264871,6,142301
1786264871,7,140501
1786264874,0,140913
1786264874,1,145813
1786264874,2,141073
1786264874,3,143473
1786264874,4,143353
1786264874,5,142733
1786264874,6,144913
1786264874,7,145573
1786264876,0,141021
1786264876,1,145921
1786264876,2,141181
1786264876,3,143541
