ts,idx,used_mib
1786269625,0,271129
1786269625,1,260459
1786269625,2,154271
1786269625,3,180619
1786269625,4,264919
1786269625,5,243079
1786269625,6,267559
1786269625,7,259819
1786269628,0,271209
1786269628,1,260519
1786269628,2,154331
1786269628,3,180679
1786269628,4,264979
1786269628,5,243139
1786269628,6,267559
1786269628,7,259819
1786269631,0,271589
1786269631,1,260879
1786269631,2,154793
1786269631,3,181059
1786269631,4,265139
1786269631,5,243579
1786269631,6,267559
1786269631,7,259819
1786269633,0,271589
1786269633,1,260899
1786269633,2,155353
1786269633,3,181559
1786269633,4,265139
1786269633,5,243579
1786269633,6,267559
1786269633,7,259819
1786269635,0,271589
1786269635,1,260899
1786269635,2,156453
1786269635,3,182379
1786269635,4,265139
1786269635,5,243579
1786269635,6,267559
1786269635,7,259819
1786269640,0,271589
1786269640,1,260899
1786269640,2,161953
1786269640,3,184759
1786269640,4,265139
1786269640,5,243579
1786269640,6,267559
1786269640,7,259819
1786269642,0,271589
1786269642,1,260899
1786269642,2,166953
1786269642,3,185579
1786269642,4,265139
1786269642,5,243579
1786269642,6,267559
1786269642,7,259819
1786269645,0,271589
1786269645,1,260899
1786269645,2,170593
1786269645,3,192539
1786269645,4,265139
1786269645,5,243579
1786269645,6,267559
1786269645,7,259819
1786269647,0,271589
1786269647,1,260899
1786269647,2,172313
1786269647,3,192539
1786269647,4,265139
1786269647,5,243579
1786269647,6,267559
1786269647,7,259819
1786269649,0,272609
1786269649,1,261839
1786269649,2,186773
1786269649,3,193359
1786269649,4,265879
1786269649,5,244259
1786269649,6,267559
1786269649,7,259819
1786269652,0,273569
1786269652,1,262739
1786269652,2,189793
1786269652,3,197059
1786269652,4,266599
1786269652,5,244919
1786269652,6,267559
1786269652,7,259819
1786269655,0,266449
1786269655,1,263679
1786269655,2,200973
1786269655,3,197879
1786269655,4,267359
1786269655,5,245599
1786269655,6,267559
1786269655,7,259819
1786269659,0,232529
1786269659,1,263679
1786269659,2,200973
1786269659,3,197879
1786269659,4,267359
1786269659,5,245599
1786269659,6,267559
1786269659,7,259819
1786269662,0,164149
1786269662,1,263679
1786269662,2,200973
1786269662,3,197879
1786269662,4,267359
1786269662,5,245599
1786269662,6,267559
1786269662,7,259819
1786269664,0,170611
1786269664,1,264579
1786269664,2,201813
1786269664,3,198659
1786269664,4,268079
1786269664,5,246259
1786269664,6,267559
1786269664,7,259819
1786269667,0,172691
1786269667,1,266419
1786269667,2,203533
1786269667,3,203759
1786269667,4,269559
1786269667,5,247599
1786269667,6,267559
1786269667,7,259819
1786269670,0,180951
1786269670,1,267579
1786269670,2,204693
1786269670,3,205279
1786269670,4,269559
1786269670,5,248939
1786269670,6,267559
1786269670,7,259819
1786269672,0,195551
1786269672,1,268539
1786269672,2,207193
1786269672,3,218299
1786269672,4,270139
1786269672,5,251919
1786269672,6,267559
1786269672,7,259819
1786269675,0,195567
1786269675,1,268539
1786269675,2,209017
1786269675,3,220719
1786269675,4,270139
1786269675,5,251919
1786269675,6,267559
1786269675,7,259819
1786269677,0,197647
1786269677,1,270379
1786269677,2,210737
1786269677,3,222319
1786269677,4,270139
1786269677,5,253259
1786269677,6,267559
1786269677,7,259819
1786269680,0,199727
1786269680,1,272219
1786269680,2,212457
1786269680,3,223919
1786269680,4,270139
1786269680,5,253259
1786269680,6,267559
1786269680,7,259819
1786269682,0,200767
1786269682,1,272219
1786269682,2,213297
1786269682,3,224699
1786269682,4,270139
1786269682,5,253259
1786269682,6,267559
1786269682,7,259819
1786269684,0,203887
1786269684,1,272219
1786269684,2,226157
1786269684,3,227119
1786269684,4,270139
1786269684,5,253259
1786269684,6,267559
1786269684,7,259819
1786269688,0,204927
1786269688,1,272219
1786269688,2,226997
1786269688,3,227899
1786269688,4,270139
1786269688,5,253259
1786269688,6,267559
1786269688,7,259819
1786269691,0,205967
1786269691,1,272219
1786269691,2,227877
1786269691,3,228719
1786269691,4,270139
1786269691,5,253259
1786269691,6,267559
1786269691,7,259819
1786269693,0,208047
1786269693,1,272219
1786269693,2,228717
1786269693,3,229499
1786269693,4,270139
1786269693,5,253259
1786269693,6,267559
1786269693,7,259819
1786269696,0,211167
1786269696,1,272219
1786269696,2,228717
1786269696,3,229499
1786269696,4,270139
1786269696,5,253259
1786269696,6,267559
1786269696,7,259819
1786269699,0,214287
1786269699,1,272219
1786269699,2,228719
1786269699,3,229499
1786269699,4,270139
1786269699,5,253259
1786269699,6,267559
1786269699,7,259819
1786269702,0,219987
1786269702,1,272219
1786269702,2,228719
1786269702,3,229499
1786269702,4,270139
1786269702,5,253259
1786269702,6,267559
1786269702,7,259819
1786269704,0,221567
1786269704,1,272219
1786269704,2,228719
1786269704,3,229499
1786269704,4,270139
1786269704,5,253259
1786269704,6,267559
1786269704,7,259819
1786269707,0,221567
1786269707,1,272219
1786269707,2,228719
1786269707,3,229499
1786269707,4,270139
1786269707,5,253259
1786269707,6,267559
1786269707,7,259819
1786269709,0,221567
1786269709,1,272219
1786269709,2,228719
1786269709,3,229499
1786269709,4,270139
1786269709,5,253259
1786269709,6,267559
1786269709,7,259819
1786269712,0,222407
1786269712,1,272339
1786269712,2,228719
1786269712,3,229499
1786269712,4,270139
1786269712,5,253259
1786269712,6,267559
1786269712,7,259819
1786269714,0,222409
1786269714,1,272339
1786269714,2,228719
1786269714,3,229499
1786269714,4,270139
1786269714,5,253259
1786269714,6,267559
1786269714,7,259819
1786269717,0,222409
1786269717,1,272339
1786269717,2,228719
