ts,idx,used_mib
1786269625,0,155681
1786269625,1,259179
1786269625,2,269159
1786269625,3,209299
1786269625,4,186799
1786269625,5,243659
1786269625,6,268479
1786269625,7,261139
1786269627,0,155781
1786269627,1,259259
1786269627,2,269239
1786269627,3,209379
1786269627,4,186879
1786269627,5,243739
1786269627,6,268479
1786269627,7,261139
1786269629,0,155981
1786269629,1,259419
1786269629,2,269399
1786269629,3,209539
1786269629,4,187039
1786269629,5,243939
1786269629,6,268479
1786269629,7,261139
1786269632,0,156943
1786269632,1,259559
1786269632,2,269559
1786269632,3,210099
1786269632,4,187779
1786269632,5,244179
1786269632,6,268479
1786269632,7,261139
1786269635,0,157283
1786269635,1,259559
1786269635,2,269559
1786269635,3,210099
1786269635,4,187839
1786269635,5,244179
1786269635,6,268479
1786269635,7,261139
1786269637,0,160283
1786269637,1,259559
1786269637,2,269559
1786269637,3,210919
1786269637,4,190079
1786269637,5,244179
1786269637,6,268479
1786269637,7,261139
1786269639,0,161823
1786269639,1,259559
1786269639,2,269559
1786269639,3,210919
1786269639,4,190799
1786269639,5,244179
1786269639,6,268479
1786269639,7,261139
1786269642,0,170363
1786269642,1,259559
1786269642,2,269559
1786269642,3,210919
1786269642,4,191559
1786269642,5,244179
1786269642,6,268479
1786269642,7,261139
1786269644,0,179843
1786269644,1,259559
1786269644,2,269559
1786269644,3,210919
1786269644,4,192279
1786269644,5,244179
1786269644,6,268479
1786269644,7,261139
1786269646,0,183803
1786269646,1,259559
1786269646,2,269559
1786269646,3,210919
1786269646,4,198219
1786269646,5,244179
1786269646,6,268479
1786269646,7,261139
1786269649,0,184823
1786269649,1,260499
1786269649,2,270439
1786269649,3,219039
1786269649,4,198959
1786269649,5,244859
1786269649,6,268479
1786269649,7,261139
1786269652,0,185783
1786269652,1,261399
1786269652,2,271279
1786269652,3,219819
1786269652,4,199679
1786269652,5,245519
1786269652,6,268479
1786269652,7,261139
1786269654,0,186803
1786269654,1,262339
1786269654,2,272159
1786269654,3,220639
1786269654,4,200439
1786269654,5,246199
1786269654,6,268479
1786269654,7,261139
1786269657,0,186803
1786269657,1,262339
1786269657,2,272159
1786269657,3,220639
1786269657,4,200439
1786269657,5,246199
1786269657,6,268479
1786269657,7,261139
1786269660,0,186803
1786269660,1,262339
1786269660,2,272159
1786269660,3,220639
1786269660,4,200439
1786269660,5,246199
1786269660,6,268479
1786269660,7,261139
1786269662,0,186803
1786269662,1,262339
1786269662,2,272159
1786269662,3,220639
1786269662,4,200439
1786269662,5,246199
1786269662,6,268479
1786269662,7,261139
1786269664,0,192663
1786269664,1,264179
1786269664,2,273881
1786269664,3,222239
1786269664,4,205119
1786269664,5,247539
1786269664,6,268479
1786269664,7,261139
1786269667,0,193623
1786269667,1,265079
1786269667,2,151257
1786269667,3,223019
1786269667,4,205839
1786269667,5,248199
1786269667,6,268479
1786269667,7,261139
1786269669,0,194063
1786269669,1,265339
1786269669,2,166981
1786269669,3,223139
1786269669,4,206599
1786269669,5,248879
1786269669,6,268479
1786269669,7,261139
1786269671,0,207643
1786269671,1,272299
1786269671,2,188901
1786269671,3,229959
1786269671,4,216979
1786269671,5,251599
1786269671,6,268479
1786269671,7,261139
1786269674,0,214907
1786269674,1,183757
1786269674,2,198237
1786269674,3,232179
1786269674,4,222259
1786269674,5,251599
1786269674,6,268479
1786269674,7,261139
1786269677,0,216887
1786269677,1,185677
1786269677,2,200037
1786269677,3,233779
1786269677,4,223739
1786269677,5,252939
1786269677,6,268479
1786269677,7,261139
1786269680,0,218867
1786269680,1,187597
1786269680,2,201837
1786269680,3,235379
1786269680,4,225219
1786269680,5,252939
1786269680,6,268479
1786269680,7,261139
1786269682,0,219827
1786269682,1,188557
1786269682,2,202737
1786269682,3,236159
1786269682,4,225939
1786269682,5,252939
1786269682,6,268479
1786269682,7,261139
1786269684,0,221807
1786269684,1,190477
1786269684,2,204537
1786269684,3,237759
1786269684,4,227419
1786269684,5,252939
1786269684,6,268479
1786269684,7,261139
1786269686,0,222827
1786269686,1,191437
1786269686,2,205437
1786269686,3,238579
1786269686,4,228179
1786269686,5,252939
1786269686,6,268479
1786269686,7,261139
1786269688,0,223787
1786269688,1,192397
1786269688,2,206337
1786269688,3,239359
1786269688,4,228899
1786269688,5,252939
1786269688,6,268479
1786269688,7,261139
1786269691,0,225767
1786269691,1,194317
1786269691,2,208139
1786269691,3,242379
1786269691,4,230379
1786269691,5,252939
