ts,idx,used_mib
1786269625,0,155821
1786269625,1,264439
1786269625,2,159095
1786269625,3,183579
1786269625,4,265539
1786269625,5,243759
1786269625,6,268299
1786269625,7,260479
1786269627,0,155921
1786269627,1,264519
1786269627,2,159175
1786269627,3,183659
1786269627,4,265619
1786269627,5,243839
1786269627,6,268299
1786269627,7,260479
1786269630,0,156363
1786269630,1,264799
1786269630,2,159557
1786269630,3,183959
1786269630,4,265779
1786269630,5,244239
1786269630,6,268299
1786269630,7,260479
1786269632,0,158663
1786269632,1,264819
1786269632,2,160357
1786269632,3,184539
1786269632,4,265779
1786269632,5,244279
1786269632,6,268299
1786269632,7,260479
1786269634,0,158703
1786269634,1,264819
1786269634,2,160397
1786269634,3,184539
1786269634,4,265779
1786269634,5,244279
1786269634,6,268299
1786269634,7,260479
1786269637,0,158703
1786269637,1,264819
1786269637,2,160397
1786269637,3,184539
1786269637,4,265779
1786269637,5,244279
1786269637,6,268299
1786269637,7,260479
1786269639,0,164703
1786269639,1,264819
1786269639,2,167097
1786269639,3,187739
1786269639,4,265779
1786269639,5,244279
1786269639,6,268299
1786269639,7,260479
1786269641,0,167803
1786269641,1,264819
1786269641,2,170517
1786269641,3,188559
1786269641,4,265779
1786269641,5,244279
1786269641,6,268299
1786269641,7,260479
1786269644,0,175263
1786269644,1,264819
1786269644,2,171397
1786269644,3,195859
1786269644,4,265779
1786269644,5,244279
1786269644,6,268299
1786269644,7,260479
1786269648,0,187443
1786269648,1,264819
1786269648,2,175337
1786269648,3,195859
1786269648,4,265779
1786269648,5,244279
1786269648,6,268299
1786269648,7,260479
1786269651,0,191463
1786269651,1,267599
1786269651,2,209037
1786269651,3,200139
1786269651,4,267999
1786269651,5,246299
1786269651,6,268299
1786269651,7,260479
1786269655,0,193443
1786269655,1,269439
1786269655,2,210757
1786269655,3,203099
1786269655,4,269479
1786269655,5,247639
1786269655,6,268299
1786269655,7,260479
1786269658,0,194403
1786269658,1,270339
1786269658,2,211597
1786269658,3,203879
1786269658,4,270199
1786269658,5,248299
1786269658,6,268299
1786269658,7,260479
1786269661,0,194843
1786269661,1,270599
1786269661,2,211917
1786269661,3,208619
1786269661,4,270199
1786269661,5,248479
1786269661,6,268299
1786269661,7,260479
1786269665,0,198323
1786269665,1,271499
1786269665,2,212757
1786269665,3,209399
1786269665,4,270199
1786269665,5,249639
1786269665,6,268299
1786269665,7,260479
1786269668,0,214423
1786269668,1,255801
1786269668,2,213637
1786269668,3,222899
1786269668,4,270779
1786269668,5,251859
1786269668,6,268299
1786269668,7,260479
1786269670,0,214427
1786269670,1,183701
1786269670,2,213639
1786269670,3,222899
1786269670,4,270779
1786269670,5,251859
1786269670,6,268299
1786269670,7,260479
1786269673,0,216407
1786269673,1,185621
1786269673,2,215359
1786269673,3,224499
1786269673,4,270779
1786269673,5,253199
1786269673,6,268299
1786269673,7,260479
1786269676,0,217367
1786269676,1,186581
1786269676,2,216199
