ts,idx,used_mib
1786268906,0,219279
1786268906,1,216689
1786268906,2,223487
1786268906,3,221289
1786268906,4,219849
1786268906,5,214267
1786268906,6,216469
1786268906,7,219147
1786268908,0,219279
1786268908,1,216689
1786268908,2,223487
1786268908,3,221289
1786268908,4,219849
1786268908,5,214267
1786268908,6,216469
1786268908,7,219147
1786268911,0,219281
1786268911,1,216689
1786268911,2,223487
1786268911,3,221289
1786268911,4,219849
1786268911,5,214267
1786268911,6,216469
1786268911,7,219147
1786268914,0,219281
1786268914,1,216689
1786268914,2,223489
1786268914,3,221291
1786268914,4,219849
1786268914,5,214267
1786268914,6,216469
1786268914,7,219147
1786268917,0,219281
1786268917,1,216689
1786268917,2,223489
1786268917,3,221291
1786268917,4,219849
1786268917,5,214267
1786268917,6,216469
1786268917,7,219147
1786268919,0,219281
1786268919,1,216689
1786268919,2,223489
1786268919,3,221291
1786268919,4,219851
1786268919,5,214267
1786268919,6,216469
1786268919,7,219147
1786268921,0,219281
1786268921,1,216689
1786268921,2,223489
1786268921,3,221291
1786268921,4,219851
1786268921,5,214267
1786268921,6,216469
1786268921,7,219147
1786268924,0,222341
1786268924,1,219569
1786268924,2,226189
1786268924,3,223591
1786268924,4,221971
1786268924,5,216187
1786268924,6,218069
1786268924,7,220427
1786268927,0,222341
1786268927,1,219569
1786268927,2,226189
1786268927,3,223591
1786268927,4,221971
1786268927,5,216187
1786268927,6,218069
1786268927,7,220429
1786268930,0,231521
1786268930,1,228211
1786268930,2,234289
1786268930,3,230491
1786268930,4,228331
1786268930,5,221949
1786268930,6,222869
1786268930,7,224269
1786268932,0,237641
1786268932,1,233971
1786268932,2,239689
1786268932,3,235091
1786268932,4,232571
1786268932,5,225789
1786268932,6,226069
1786268932,7,226829
1786268935,0,243761
1786268935,1,239731
1786268935,2,245089
1786268935,3,239691
1786268935,4,236811
1786268935,5,229629
1786268935,6,229269
1786268935,7,229389
1786268938,0,249881
1786268938,1,245491
1786268938,2,250489
1786268938,3,244291
1786268938,4,241051
1786268938,5,233469
1786268938,6,232469
1786268938,7,231949
1786268943,0,252941
1786268943,1,248371
1786268943,2,253189
1786268943,3,246591
1786268943,4,243171
1786268943,5,235389
1786268943,6,234069
1786268943,7,233229
1786268948,0,259061
1786268948,1,254131
1786268948,2,258589
1786268948,3,251191
1786268948,4,247411
1786268948,5,239229
1786268948,6,237271
