
=== [1/13] preflight (laptop checks, no side effects)
20:39:07  project jrao123-vul = zq87jyw; tokens present; truss/ssh config OK

=== [2/13] create workstation job
20:39:10  creating: truss train workstation --node-count 1 --accelerator B200 --project-id jrao123-vul --team Parsed
Launching workstation jrao123-vul with 8x B200...

Workstation created!

Once the job is running, SSH in with:
  ssh training-job-w56e6mq-0.ssh.baseten.co

If you haven't set up SSH yet, run:
  truss ssh setup

View logs:
  truss train logs --job-id w56e6mq --tail

Stop the workstation:
  truss train stop --job-id w56e6mq
20:39:35  created job w56e6mq

=== [3/13] wait for job w56e6mq to reach RUNNING
20:39:35    status=TRAINING_JOB_CREATED; waiting 15s
20:39:51    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:40:06    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:40:21    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:40:37    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:40:52    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:41:07    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:41:23    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:41:38    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:41:53    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:42:09    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:42:24    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:42:39    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:42:55    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:43:10    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:43:25    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:43:40    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:43:56    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:44:11    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:44:26    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:44:42    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:44:57    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:45:12    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:45:27    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:45:43    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:45:58    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:46:13    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:46:29    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:46:44    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:46:59    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:47:14    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:47:30    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:47:45    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:48:00    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:48:16    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:48:31    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:48:46    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:49:02    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:49:17    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:49:32    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:49:47    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:50:03    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:50:18    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:50:33    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:50:48    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:51:04    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:51:19    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:51:34    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:51:50    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:52:05    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:52:20    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:52:35    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:52:51    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:53:06    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:53:21    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:53:36    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:53:52    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:54:07    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:54:22    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:54:37    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:54:53    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:55:08    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:55:23    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:55:39    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:55:54    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:56:09    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:56:24    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:56:40    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:56:55    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:57:10    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:57:25    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:57:41    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:57:56    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:58:11    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:58:26    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:58:42    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:58:57    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:59:12    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:59:28    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:59:43    status=TRAINING_JOB_DEPLOYING; waiting 15s
20:59:58    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:00:13    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:00:29    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:00:44    status=TRAINING_JOB_DEPLOYING; waiting 15s
