"ts","dur","name","category","thread_name","depth"
4481110185562182,737795815,"ProfilerStep#0","user_annotation","thread 165137 (python)",0
4481110194548330,11716,"aten::empty","cpu_op","thread 165137 (python)",1
4481110194566656,15637,"aten::set_","cpu_op","thread 165137 (python)",1
4481110194574906,3961,"aten::set_","cpu_op","thread 165137 (python)",2
4481110194604538,1418206,"aten::to","cpu_op","thread 165137 (python)",1
4481110194621653,1400028,"aten::_to_copy","cpu_op","thread 165137 (python)",2
4481110194637299,25480,"aten::empty_strided","cpu_op","thread 165137 (python)",3
4481110194665610,1352905,"aten::copy_","cpu_op","thread 165137 (python)",3
4481110195946171,6129,"cudaStreamIsCapturing","cuda_runtime","thread 165137 (python)",4
4481110195956978,44000,"cudaMemcpyAsync","cuda_runtime","thread 165137 (python)",4
4481110196002239,10817,"cudaStreamSynchronize","cuda_runtime","thread 165137 (python)",4
4481110196075167,3622,"aten::empty","cpu_op","thread 165137 (python)",1
4481110196084058,696,"aten::to","cpu_op","thread 165137 (python)",1
4481110196107075,727,"aten::lift_fresh","cpu_op","thread 165137 (python)",1
4481110196112601,35521,"aten::to","cpu_op","thread 165137 (python)",1
4481110196114239,33710,"aten::_to_copy","cpu_op","thread 165137 (python)",2
4481110196116867,7294,"aten::empty_strided","cpu_op","thread 165137 (python)",3
4481110196125240,22393,"aten::copy_","cpu_op","thread 165137 (python)",3
4481110196131469,318,"cudaStreamIsCapturing","cuda_runtime","thread 165137 (python)",4
4481110196132360,7431,"cudaMemcpyAsync","cuda_runtime","thread 165137 (python)",4
4481110196140042,6910,"cudaStreamSynchronize","cuda_runtime","thread 165137 (python)",4
4481110196167780,618740,"aten::cat","cpu_op","thread 165137 (python)",1
4481110196194265,550678,"aten::narrow","cpu_op","thread 165137 (python)",2
4481110196730787,13396,"aten::slice","cpu_op","thread 165137 (python)",3
4481110196740517,2851,"aten::as_strided","cpu_op","thread 165137 (python)",4
4481110196749893,31439,"cudaMemcpyAsync","cuda_runtime","thread 165137 (python)",2
4481110196820079,169443,"c10d::broadcast_","cpu_op","thread 165137 (python)",1
4481110196882323,99714,"record_param_comms","cpu_op","thread 165137 (python)",2
4481110196884542,346,"cudaStreamIsCapturing","cuda_runtime","thread 165137 (python)",3
4481110196890452,75529,"nccl:broadcast","user_annotation","thread 165137 (python)",3
4481110196931903,200,"cudaStreamIsCapturing","cuda_runtime","thread 165137 (python)",4
4481110196932779,3903,"cudaEventRecordWithFlags","cuda_runtime","thread 165137 (python)",4
4481110196950788,1084,"cudaEventRecord","cuda_runtime","thread 165137 (python)",4
4481110197007132,32773,"c10d::broadcast_","cpu_op","thread 165137 (python)",1
4481110197016654,22062,"record_param_comms","cpu_op","thread 165137 (python)",2
4481110197017841,276,"cudaStreamIsCapturing","cuda_runtime","thread 165137 (python)",3
4481110197019216,14562,"nccl:broadcast","user_annotation","thread 165137 (python)",3
4481110197024802,177,"cudaStreamIsCapturing","cuda_runtime","thread 165137 (python)",4
4481110197025212,781,"cudaEventRecordWithFlags","cuda_runtime","thread 165137 (python)",4
4481110197031109,438,"cudaEventRecord","cuda_runtime","thread 165137 (python)",4
4481110197246115,3636,"aten::empty","cpu_op","thread 165137 (python)",1
