"ts","dur","name","category","thread_name","depth"
4482705037562331,888182378,"ProfilerStep#0","user_annotation","thread 169076 (python)",0
4482705040077191,2469,"cudaThreadExchangeStreamCaptureMode","cuda_runtime","[NULL]",0
4482705041564433,11290,"cudaEventQuery","cuda_runtime","[NULL]",0
4482705041576784,2144,"cudaEventQuery","cuda_runtime","[NULL]",0
4482705041584100,2721,"cudaEventQuery","cuda_runtime","[NULL]",0
4482705041592846,1668,"cudaThreadExchangeStreamCaptureMode","cuda_runtime","[NULL]",0
4482705042870343,6338,"aten::empty","cpu_op","thread 169076 (python)",1
4482705042881703,10129,"aten::set_","cpu_op","thread 169076 (python)",1
4482705042886591,3050,"aten::set_","cpu_op","thread 169076 (python)",2
4482705042907125,1443435,"aten::to","cpu_op","thread 169076 (python)",1
4482705042921999,1427708,"aten::_to_copy","cpu_op","thread 169076 (python)",2
4482705042937005,13647,"aten::empty_strided","cpu_op","thread 169076 (python)",3
4482705042952628,1394225,"aten::copy_","cpu_op","thread 169076 (python)",3
4482705044299971,4181,"cudaStreamIsCapturing","cuda_runtime","thread 169076 (python)",4
4482705044307505,23680,"cudaMemcpyAsync","cuda_runtime","thread 169076 (python)",4
4482705044332002,11284,"cudaStreamSynchronize","cuda_runtime","thread 169076 (python)",4
4482705044388350,3273,"aten::empty","cpu_op","thread 169076 (python)",1
4482705044395239,350,"aten::to","cpu_op","thread 169076 (python)",1
4482705044415281,403,"aten::lift_fresh","cpu_op","thread 169076 (python)",1
4482705044419865,35051,"aten::to","cpu_op","thread 169076 (python)",1
4482705044421805,32970,"aten::_to_copy","cpu_op","thread 169076 (python)",2
4482705044424706,6969,"aten::empty_strided","cpu_op","thread 169076 (python)",3
4482705044432990,21377,"aten::copy_","cpu_op","thread 169076 (python)",3
4482705044439000,453,"cudaStreamIsCapturing","cuda_runtime","thread 169076 (python)",4
4482705044440077,7152,"cudaMemcpyAsync","cuda_runtime","thread 169076 (python)",4
4482705044447424,6236,"cudaStreamSynchronize","cuda_runtime","thread 169076 (python)",4
4482705044471850,62323,"aten::cat","cpu_op","thread 169076 (python)",1
4482705044487636,17518,"aten::narrow","cpu_op","thread 169076 (python)",2
4482705044496966,7628,"aten::slice","cpu_op","thread 169076 (python)",3
4482705044502328,1371,"aten::as_strided","cpu_op","thread 169076 (python)",4
4482705044508223,22582,"cudaMemcpyAsync","cuda_runtime","thread 169076 (python)",2
4482705044553783,108722,"c10d::broadcast_","cpu_op","thread 169076 (python)",1
4482705044587507,70973,"record_param_comms","cpu_op","thread 169076 (python)",2
4482705044589141,314,"cudaStreamIsCapturing","cuda_runtime","thread 169076 (python)",3
4482705044593545,54462,"nccl:broadcast","user_annotation","thread 169076 (python)",3
4482705044618886,191,"cudaStreamIsCapturing","cuda_runtime","thread 169076 (python)",4
4482705044619701,2574,"cudaEventRecordWithFlags","cuda_runtime","thread 169076 (python)",4
4482705044633094,634,"cudaEventRecord","cuda_runtime","thread 169076 (python)",4
4482705044672177,26256,"c10d::broadcast_","cpu_op","thread 169076 (python)",1
4482705044677814,19574,"record_param_comms","cpu_op","thread 169076 (python)",2
4482705044678882,269,"cudaStreamIsCapturing","cuda_runtime","thread 169076 (python)",3
4482705044679957,12775,"nccl:broadcast","user_annotation","thread 169076 (python)",3
4482705044685062,341,"cudaStreamIsCapturing","cuda_runtime","thread 169076 (python)",4
