"ts","dur","name","category","thread_name","depth"
4481231221880423,1086571695,"ProfilerStep#0","user_annotation","thread 166078 (python)",0
4481231226897307,6008,"aten::empty","cpu_op","thread 166078 (python)",1
4481231226908061,10037,"aten::set_","cpu_op","thread 166078 (python)",1
4481231226912330,3463,"aten::set_","cpu_op","thread 166078 (python)",2
4481231226934127,1433292,"aten::to","cpu_op","thread 166078 (python)",1
4481231226946329,1420095,"aten::_to_copy","cpu_op","thread 166078 (python)",2
4481231226953698,14444,"aten::empty_strided","cpu_op","thread 166078 (python)",3
4481231226970399,1393715,"aten::copy_","cpu_op","thread 166078 (python)",3
4481231228314942,4223,"cudaStreamIsCapturing","cuda_runtime","thread 166078 (python)",4
4481231228322300,25319,"cudaMemcpyAsync","cuda_runtime","thread 166078 (python)",4
4481231228348577,12054,"cudaStreamSynchronize","cuda_runtime","thread 166078 (python)",4
4481231228405476,3376,"aten::empty","cpu_op","thread 166078 (python)",1
4481231228412564,372,"aten::to","cpu_op","thread 166078 (python)",1
4481231228426674,321,"aten::lift_fresh","cpu_op","thread 166078 (python)",1
4481231228431592,37025,"aten::to","cpu_op","thread 166078 (python)",1
4481231228433798,34683,"aten::_to_copy","cpu_op","thread 166078 (python)",2
4481231228436698,6499,"aten::empty_strided","cpu_op","thread 166078 (python)",3
4481231228444524,23681,"aten::copy_","cpu_op","thread 166078 (python)",3
4481231228451572,292,"cudaStreamIsCapturing","cuda_runtime","thread 166078 (python)",4
4481231228452329,6153,"cudaMemcpyAsync","cuda_runtime","thread 166078 (python)",4
4481231228458734,8768,"cudaStreamSynchronize","cuda_runtime","thread 166078 (python)",4
4481231228486674,61739,"aten::cat","cpu_op","thread 166078 (python)",1
4481231228502705,17665,"aten::narrow","cpu_op","thread 166078 (python)",2
4481231228512420,7365,"aten::slice","cpu_op","thread 166078 (python)",3
4481231228517535,1410,"aten::as_strided","cpu_op","thread 166078 (python)",4
4481231228523472,20889,"cudaMemcpyAsync","cuda_runtime","thread 166078 (python)",2
4481231228568492,103785,"c10d::broadcast_","cpu_op","thread 166078 (python)",1
