"ts","dur","name","category","thread_name","depth"
4482558651760750,879040251,"ProfilerStep#0","user_annotation","thread 168079 (python)",0
4482558657241014,8619,"aten::empty","cpu_op","thread 168079 (python)",1
4482558657255341,12877,"aten::set_","cpu_op","thread 168079 (python)",1
4482558657261085,5072,"aten::set_","cpu_op","thread 168079 (python)",2
4482558657285954,1533835,"aten::to","cpu_op","thread 168079 (python)",1
4482558657300065,1518718,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558657305859,24104,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558657332275,1483448,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558658762795,5378,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",4
4482558658772374,27614,"cudaMemcpyAsync","cuda_runtime","thread 168079 (python)",4
4482558658800998,9531,"cudaStreamSynchronize","cuda_runtime","thread 168079 (python)",4
4482558658871115,3561,"aten::empty","cpu_op","thread 168079 (python)",1
4482558658879010,589,"aten::to","cpu_op","thread 168079 (python)",1
4482558658890212,368,"aten::lift_fresh","cpu_op","thread 168079 (python)",1
4482558658895837,35605,"aten::to","cpu_op","thread 168079 (python)",1
4482558658897755,33524,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558658900320,7805,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558658909195,21638,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558658916575,419,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",4
4482558658917527,5902,"cudaMemcpyAsync","cuda_runtime","thread 168079 (python)",4
4482558658923683,6438,"cudaStreamSynchronize","cuda_runtime","thread 168079 (python)",4
4482558658949460,75007,"aten::cat","cpu_op","thread 168079 (python)",1
4482558658971841,20327,"aten::narrow","cpu_op","thread 168079 (python)",2
4482558658982998,8620,"aten::slice","cpu_op","thread 168079 (python)",3
4482558658987968,2932,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558658996147,23612,"cudaMemcpyAsync","cuda_runtime","thread 168079 (python)",2
4482558659048553,121111,"c10d::broadcast_","cpu_op","thread 168079 (python)",1
4482558659087447,76203,"record_param_comms","cpu_op","thread 168079 (python)",2
4482558659089418,301,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",3
4482558659094428,56811,"nccl:broadcast","user_annotation","thread 168079 (python)",3
4482558659124702,184,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",4
4482558659125691,2644,"cudaEventRecordWithFlags","cuda_runtime","thread 168079 (python)",4
4482558659140658,737,"cudaEventRecord","cuda_runtime","thread 168079 (python)",4
4482558659180906,25223,"c10d::broadcast_","cpu_op","thread 168079 (python)",1
4482558659186625,18314,"record_param_comms","cpu_op","thread 168079 (python)",2
4482558659187609,197,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",3
4482558659188630,11898,"nccl:broadcast","user_annotation","thread 168079 (python)",3
4482558659193557,286,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",4
4482558659194058,554,"cudaEventRecordWithFlags","cuda_runtime","thread 168079 (python)",4
4482558659198406,381,"cudaEventRecord","cuda_runtime","thread 168079 (python)",4
4482558659384432,3565,"aten::empty","cpu_op","thread 168079 (python)",1
4482558659752479,50508,"aten::to","cpu_op","thread 168079 (python)",1
4482558659753740,48951,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558659756287,7063,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558659764510,37807,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558659769634,646,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",4
4482558659771171,17320,"cudaMemcpyAsync","cuda_runtime","thread 168079 (python)",4
4482558659788806,12379,"cudaStreamSynchronize","cuda_runtime","thread 168079 (python)",4
4482558659805467,337,"aten::lift_fresh","cpu_op","thread 168079 (python)",1
4482558659808520,2947,"aten::detach_","cpu_op","thread 168079 (python)",1
4482558659809433,1863,"detach_","cpu_op","thread 168079 (python)",2
4482558659816411,1065,"aten::empty","cpu_op","thread 168079 (python)",1
4482558660191224,34361,"aten::to","cpu_op","thread 168079 (python)",1
4482558660191708,33723,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558660192565,3977,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558660197273,27968,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558660199457,261,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",4
4482558660200244,7869,"cudaMemcpyAsync","cuda_runtime","thread 168079 (python)",4
4482558660208331,12335,"cudaStreamSynchronize","cuda_runtime","thread 168079 (python)",4
4482558660226520,68,"aten::lift_fresh","cpu_op","thread 168079 (python)",1
4482558660227223,667,"aten::detach_","cpu_op","thread 168079 (python)",1
4482558660227565,185,"detach_","cpu_op","thread 168079 (python)",2
4482558660235340,52009,"aten::arange","cpu_op","thread 168079 (python)",1
4482558660239460,2985,"aten::empty","cpu_op","thread 168079 (python)",2
4482558660244222,42677,"aten::arange","cpu_op","thread 168079 (python)",2
4482558660251793,6460,"aten::resize_","cpu_op","thread 168079 (python)",3
4482558660263850,21075,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",3
4482558660293282,10187,"aten::unsqueeze","cpu_op","thread 168079 (python)",1
4482558660298780,1725,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558660317477,8523,"aten::expand","cpu_op","thread 168079 (python)",1
4482558660323181,608,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558660458294,33481,"aten::zeros","cpu_op","thread 168079 (python)",1
4482558660460173,4259,"aten::empty","cpu_op","thread 168079 (python)",2
4482558660468610,22814,"aten::zero_","cpu_op","thread 168079 (python)",2
4482558660470401,20216,"aten::fill_","cpu_op","thread 168079 (python)",3
4482558660478538,10803,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558660686916,78374,"aten::embedding","cpu_op","thread 168079 (python)",1
4482558660695482,5098,"aten::reshape","cpu_op","thread 168079 (python)",2
4482558660697171,3121,"aten::view","cpu_op","thread 168079 (python)",3
4482558660704848,58525,"aten::index_select","cpu_op","thread 168079 (python)",2
4482558660708256,3648,"aten::empty","cpu_op","thread 168079 (python)",3
4482558660717098,6121,"aten::resize_","cpu_op","thread 168079 (python)",3
4482558660725814,586,"aten::view","cpu_op","thread 168079 (python)",3
4482558660727281,3471,"aten::expand","cpu_op","thread 168079 (python)",3
4482558660728440,2094,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558660732460,29851,"aten::gather","cpu_op","thread 168079 (python)",3
4482558660738790,272,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558660740373,323,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558660751221,9212,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558660764112,396,"aten::view","cpu_op","thread 168079 (python)",2
4482558660774631,6397,"aten::transpose","cpu_op","thread 168079 (python)",1
4482558660778784,327,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558660808645,1228,"aten::dropout","cpu_op","thread 168079 (python)",1
4482558660871009,53052,"MakeViewlessTensor","cpu_op","thread 168079 (python)",1
4482558660886755,4292,"aten::empty","cpu_op","thread 168079 (python)",2
4482558660907811,490,"aten::_has_compatible_shallow_copy_type","cpu_op","thread 168079 (python)",2
4482558660916254,1133,"aten::detach_","cpu_op","thread 168079 (python)",2
4482558660916949,272,"detach_","cpu_op","thread 168079 (python)",3
4482558661052718,136773,"_OperationFuserAutogradFunction","cpu_op","thread 168079 (python)",1
4482558661086704,3630,"aten::view","cpu_op","thread 168079 (python)",2
4482558661093953,904,"aten::view","cpu_op","thread 168079 (python)",2
4482558661121189,3894,"aten::empty","cpu_op","thread 168079 (python)",2
4482558661129840,3484,"aten::empty","cpu_op","thread 168079 (python)",2
4482558661139750,2394,"aten::empty","cpu_op","thread 168079 (python)",2
4482558661148687,11870,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558661168156,1634,"aten::view","cpu_op","thread 168079 (python)",2
4482558661228302,20659,"FineGrainedOffloadingGroupStartFunction","cpu_op","thread 168079 (python)",1
4482558661243159,3364,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558661244058,2172,"aten::view","cpu_op","thread 168079 (python)",3
4482558661311906,978,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",1
4482558661363653,147312,"_Linear","cpu_op","thread 168079 (python)",1
4482558661404053,3905,"aten::empty","cpu_op","thread 168079 (python)",2
4482558661562445,12660,"_CopyToModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558661569522,2903,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558661570195,1984,"aten::view","cpu_op","thread 168079 (python)",3
4482558661597092,136955,"LinearWithGradAccumulationAndAsyncCommunication","cpu_op","thread 168079 (python)",1
4482558661609215,7027,"aten::t","cpu_op","thread 168079 (python)",2
4482558661611571,3822,"aten::transpose","cpu_op","thread 168079 (python)",3
4482558661613511,1407,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558661619768,72692,"aten::matmul","cpu_op","thread 168079 (python)",2
4482558661622982,1866,"aten::reshape","cpu_op","thread 168079 (python)",3
4482558661623452,1188,"aten::view","cpu_op","thread 168079 (python)",4
4482558661626331,57701,"aten::mm","cpu_op","thread 168079 (python)",3
4482558661688109,2815,"aten::_unsafe_view","cpu_op","thread 168079 (python)",3
4482558661742915,12692,"_GatherFromModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558661751985,1782,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558661752402,1166,"aten::view","cpu_op","thread 168079 (python)",3
