Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.3,9791351188,1845,5306965.4,12862.0,1917,120968218,22837428.5,cudaStreamSynchronize
3.0,310986320,16,19436645.0,18999692.0,3320197,34738840,15166146.4,cudaEventSynchronize
1.4,149469179,20,7473459.0,1147579.5,488,31206749,12057969.2,cuKernelSetAttribute
1.2,122499618,26135,4687.2,4060.0,2472,95775,2586.9,cudaLaunchKernel
0.7,70699767,2365,29894.2,5101.0,2577,38928867,802963.3,cudaMemcpyAsync
0.2,21282165,2604,8172.9,6659.0,3168,81757,5121.1,cuLaunchKernelEx
0.1,11316321,6342,1784.3,784.5,371,85322,2475.4,cudaEventQuery
0.0,3671447,556,6603.3,5108.5,2627,28353,4211.4,cudaLaunchKernelExC_v11060
0.0,3202168,1616,1981.5,1054.0,339,21288,2025.7,cudaEventRecord
0.0,3015454,26367,114.4,54.0,40,10151,209.2,cuKernelGetName
0.0,2457861,380,6468.1,3792.0,2390,56743,6455.1,cudaMemsetAsync
0.0,1898906,1400,1356.4,977.0,323,12662,1237.2,cudaStreamWaitEvent
0.0,999147,4072,245.4,109.0,42,18182,559.2,cuKernelGetAttribute
0.0,940912,3180,295.9,185.0,130,16748,376.3,cudaThreadExchangeStreamCaptureMode_v10010
0.0,873952,480,1820.7,1410.0,507,13778,1463.7,cudaEventRecordWithFlags_v11010
0.0,811998,682,1190.6,1127.0,294,11117,794.1,cudaEventCreateWithFlags
0.0,706865,1661,425.6,288.0,159,5981,403.8,cudaStreamIsCapturing_v10000
0.0,649059,232,2797.7,2168.5,305,9882,1594.0,cudaGetFuncBySymbol_v11000
0.0,475050,8,59381.3,56880.0,49341,75468,8273.6,cudaMemGetInfo
0.0,472441,664,711.5,691.5,250,2521,312.4,cudaEventDestroy
0.0,436388,5064,86.2,74.0,45,9320,134.8,cuStreamGetGreenCtx
0.0,419956,10,41995.6,35907.5,26925,67353,13381.2,cuLibraryLoadData
0.0,382711,40,9567.8,7956.5,6366,22529,4143.7,cudaLaunchCooperativeKernel
0.0,235403,232,1014.7,997.5,310,2753,321.6,cudaStreamGetCaptureInfo_v12030
0.0,59956,128,468.4,173.0,152,2532,549.4,cudaGetDriverEntryPointByVersion_v12050
0.0,55594,128,434.3,181.5,116,3573,545.3,cuTensorMapEncodeTiled
0.0,5426,2,2713.0,2713.0,778,4648,2736.5,cudaGetDevice
0.0,4869,2,2434.5,2434.5,479,4390,2765.5,cudaSetDevice
0.0,1734,10,173.4,160.5,145,214,27.8,cuLibraryGetKernel
0.0,715,1,715.0,715.0,715,715,0.0,cuDevicePrimaryCtxGetState
0.0,219,1,219.0,219.0,219,219,0.0,cudaGetLastError
