"scope","id","ts_us","dur_us","name","track_id"
"layer_0/forward/attention",121,6042179602310.657227,1919.832000,"void transformer_engine::normalization::rmsnorm_fwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, 8192u, 1u, 1u, 4u, 16u, transformer_engine::normalization::Kernel_traits_base<8192u, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, 128u> > >(transformer_engine::normalization::ForwardKernelParams)",4
"layer_0/forward/attention",347,6042179604230.489258,1719.605000,"nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT",4
"layer_0/forward/attention",643,6042179605947.469727,238.659000,"nvjet_sm103_tst_32x128_64x12_1x2_2cta_h_bz_TNN",5
"layer_0/forward/attention",647,6042179606184.657227,89.473000,"nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT",4
"layer_0/forward/attention",651,6042179606276.274414,166.786000,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",4
"layer_0/forward/attention",670,6042179606446.419922,239.619000,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)",4
"layer_0/forward/attention",695,6042179606686.006836,619.176000,"nvjet_sm103_tst_192x128_64x5_1x2_h_bz_TNT",5
"layer_0/forward/attention",747,6042179607302.462891,236.611000,"nvjet_sm103_tst_32x128_64x12_1x2_2cta_h_bz_TNN",4
"layer_0/forward/attention",772,6042179607537.282227,31.712000,"nvjet_sm103_tst_192x192_64x4_1x2_h_bz_TNT",5
"layer_0/forward/attention",780,6042179607571.106445,50.017000,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",4
"layer_0/forward/attention",794,6042179607622.915039,69.920000,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)",4
"layer_0/forward/attention",797,6042179607694.723633,167.586000,"void transformer_engine::normalization::rmsnorm_fwd_tuned_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, 2048u, 1u, 4u, 1u, 16u, transformer_engine::normalization::Kernel_traits_base<2048u, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, 128u> > >(transformer_engine::normalization::ForwardKernelParams)",4
