"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6041268464161.820312,27.218903
"user_annotation","layer_0/forward/mlp",6041268491460.990234,1.439588
"user_annotation","layer_1/forward/attention",6041268493191.237305,4.360377
"user_annotation","layer_1/forward/mlp",6041268497627.332031,49.185080
"user_annotation","python_gc/generation_0",6041268533777.663086,0.862633
"user_annotation","layer_2/forward/attention",6041268547085.006836,16.943224
"user_annotation","layer_2/forward/mlp",6041268564105.064453,39.219202
"user_annotation","layer_2/recompute/attention",6041268695873.589844,26.159184
"user_annotation","layer_2/recompute/mlp",6041268722131.530273,19.881269
"user_annotation","python_gc/generation_0",6041268736962.274414,0.182690
"user_annotation","layer_1/recompute/attention",6041268767236.374023,4.882381
"user_annotation","layer_1/recompute/mlp",6041268772210.522461,60.857325
"user_annotation","layer_0/recompute/attention",6041268852118.230469,54.632350
"user_annotation","layer_0/recompute/mlp",6041268906842.916016,1.191244
