"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6053146199328.862305,55.075717
"user_annotation","layer_0/forward/mlp",6053146254562.670898,2.579257
"user_annotation","layer_1/forward/attention",6053146257474.203125,8.658176
"user_annotation","layer_1/forward/mlp",6053146266212.177734,34.448023
"user_annotation","layer_2/forward/attention",6053146300973.016602,25.862749
"user_annotation","layer_2/forward/mlp",6053146326912.208008,29.799685
"user_annotation","layer_2/recompute/attention",6053146453056.302734,28.969303
"user_annotation","layer_2/recompute/mlp",6053146482178.032227,12.755284
"user_annotation","python_gc/generation_0",6053146482686.225586,1.758322
"user_annotation","layer_1/recompute/attention",6053146506507.123047,4.867719
"user_annotation","layer_1/recompute/mlp",6053146511463.335938,66.850429
"user_annotation","layer_0/recompute/attention",6053146587854.512695,72.226319
"user_annotation","layer_0/recompute/mlp",6053146660172.674805,1.404383
