"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6033728565928.886719,1570.015439
"user_annotation","layer_0/forward/mlp",6033730136041.508789,1.418819
"user_annotation","layer_1/forward/attention",6033730137821.656250,4.281197
"user_annotation","layer_1/forward/mlp",6033730142180.212891,67.795190
"user_annotation","python_gc/generation_0",6033730179079.396484,1.950150
"user_annotation","python_gc/generation_0",6033730188638.182617,0.085920
"user_annotation","python_gc/generation_0",6033730199686.348633,0.084763
"user_annotation","python_gc/generation_1",6033730203162.942383,1.062314
"user_annotation","layer_2/forward/attention",6033730210265.002930,20.467377
"user_annotation","layer_2/forward/mlp",6033730230803.267578,54.215320
"user_annotation","python_gc/generation_0",6033730255608.975586,0.096184
"user_annotation","python_gc/generation_0",6033730261107.143555,0.079064
"user_annotation","python_gc/generation_0",6033730273878.939453,0.080236
"user_annotation","python_gc/generation_0",6033730277431.651367,0.089219
"user_annotation","layer_2/recompute/attention",6033730378387.923828,24.420903
"user_annotation","layer_2/recompute/mlp",6033730402907.949219,34.934024
"user_annotation","python_gc/generation_0",6033730412968.883789,0.127703
"user_annotation","python_gc/generation_0",6033730419867.482422,0.103456
"user_annotation","python_gc/generation_0",6033730429480.872070,0.084915
"user_annotation","python_gc/generation_0",6033730432883.716797,0.085208
"user_annotation","layer_1/recompute/attention",6033730465419.988281,5.250784
"user_annotation","layer_1/recompute/mlp",6033730470766.913086,69.016456
"user_annotation","python_gc/generation_0",6033730516956.310547,0.112956
"user_annotation","python_gc/generation_0",6033730523492.069336,0.091393
"user_annotation","python_gc/generation_0",6033730531884.894531,0.077667
"user_annotation","python_gc/generation_1",6033730535204.657227,0.207760
"user_annotation","layer_0/recompute/attention",6033730561016.348633,52.628001
"user_annotation","layer_0/recompute/mlp",6033730613736.666992,1.203828
