"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6033240220656.732422,122.026242
"user_annotation","layer_0/forward/mlp",6033240342769.106445,1.315141
"user_annotation","layer_1/forward/attention",6033240344391.316406,4.230689
"user_annotation","layer_1/forward/mlp",6033240348696.302734,68.336563
"user_annotation","python_gc/generation_0",6033240385985.793945,0.883631
"user_annotation","python_gc/generation_0",6033240395031.113281,0.090982
"user_annotation","python_gc/generation_0",6033240405763.019531,0.091019
"user_annotation","python_gc/generation_0",6033240409211.308594,0.085004
"user_annotation","layer_2/forward/attention",6033240417317.809570,19.652992
"user_annotation","layer_2/forward/mlp",6033240437042.592773,58.029297
"user_annotation","python_gc/generation_1",6033240463456.711914,1.185850
"user_annotation","python_gc/generation_0",6033240470203.468750,0.089971
"user_annotation","python_gc/generation_0",6033240483515.684570,0.088884
"user_annotation","python_gc/generation_0",6033240486992.959961,0.088212
"user_annotation","layer_2/recompute/attention",6033241176090.850586,26.162209
"user_annotation","layer_2/recompute/mlp",6033241202355.920898,34.435527
"user_annotation","python_gc/generation_0",6033241212336.099609,0.144213
"user_annotation","python_gc/generation_0",6033241219626.788086,0.105477
"user_annotation","python_gc/generation_0",6033241228413.485352,0.108467
"user_annotation","python_gc/generation_0",6033241231828.304688,0.096798
"user_annotation","layer_1/recompute/attention",6033241263507.410156,4.813103
"user_annotation","layer_1/recompute/mlp",6033241268409.258789,69.486099
"user_annotation","python_gc/generation_0",6033241316776.596680,0.110477
"user_annotation","python_gc/generation_0",6033241322971.079102,0.099094
"user_annotation","python_gc/generation_0",6033241330760.986328,0.087374
"user_annotation","python_gc/generation_0",6033241333993.041016,0.092656
"user_annotation","layer_0/recompute/attention",6033241357749.784180,44.357736
"user_annotation","layer_0/recompute/mlp",6033241402197.793945,1.171634
