"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6035294948019.378906,32.662775
"user_annotation","layer_0/forward/mlp",6035294980764.821289,1.450278
"user_annotation","layer_1/forward/attention",6035294982540.773438,4.331352
"user_annotation","layer_1/forward/mlp",6035294986949.482422,44.144661
"user_annotation","layer_2/forward/attention",6035295031403.649414,24.285372
"user_annotation","layer_2/forward/mlp",6035295055763.486328,33.084665
"user_annotation","python_gc/generation_0",6035295081191.736328,0.942626
"user_annotation","layer_2/recompute/attention",6035295181079.783203,30.887439
"user_annotation","layer_2/recompute/mlp",6035295212065.073242,14.463563
"user_annotation","layer_1/recompute/attention",6035295237734.982422,4.705104
"user_annotation","layer_1/recompute/mlp",6035295242540.344727,67.612678
"user_annotation","layer_0/recompute/attention",6035295319862.543945,72.395093
"user_annotation","layer_0/recompute/mlp",6035295392345.599609,1.188639
