"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6054724006971.827148,52.884747
"user_annotation","layer_0/forward/mlp",6054724059940.010742,1.645701
"user_annotation","layer_1/forward/attention",6054724068638.184570,4.960906
"user_annotation","layer_1/forward/mlp",6054724073683.416016,55.106180
"user_annotation","layer_2/forward/attention",6054724131981.376953,12.306316
"user_annotation","layer_2/forward/mlp",6054724144369.969727,41.630318
"user_annotation","layer_2/recompute/attention",6054724288110.404297,44.872150
"user_annotation","layer_2/recompute/mlp",6054724333079.768555,20.027256
"user_annotation","layer_1/recompute/attention",6054724405684.261719,4.861813
"user_annotation","layer_1/recompute/mlp",6054724410643.116211,45.657538
"user_annotation","layer_0/recompute/attention",6054724483430.168945,36.370493
"user_annotation","layer_0/recompute/mlp",6054724519897.278320,1.190976
