"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6060070364719.690430,25.739283
"user_annotation","layer_0/forward/mlp",6060070390552.397461,1.649080
"user_annotation","layer_1/forward/attention",6060070393259.512695,36.774214
"user_annotation","layer_1/forward/mlp",6060070430112.800781,1.320359
"user_annotation","layer_2/forward/attention",6060070432442.264648,42.817877
"user_annotation","layer_2/forward/mlp",6060070475338.316406,1.318937
"user_annotation","layer_3/forward/attention",6060070483707.438477,5.005937
"user_annotation","layer_3/forward/mlp",6060070488794.193359,59.438455
"user_annotation","layer_4/forward/attention",6060071280307.223633,5.820353
"user_annotation","layer_4/forward/mlp",6060071286217.328125,33.844213
"user_annotation","layer_5/forward/attention",6060071328436.172852,5.259102
"user_annotation","layer_5/forward/mlp",6060071333775.199219,33.857874
"user_annotation","layer_6/forward/attention",6060071375779.709961,17.366799
"user_annotation","layer_6/forward/mlp",6060071393223.469727,40.025940
"user_annotation","layer_7/forward/attention",6060071441268.491211,4.980587
"user_annotation","layer_7/forward/mlp",6060071446326.108398,33.469335
"user_annotation","layer_8/forward/attention",6060071487781.350586,4.834911
"user_annotation","layer_8/forward/mlp",6060071492692.897461,34.763487
"user_annotation","layer_9/forward/attention",6060071535438.644531,5.074026
"user_annotation","layer_9/forward/mlp",6060071540588.451172,32.888936
"user_annotation","layer_10/forward/attention",6060071581387.150391,17.351716
"user_annotation","layer_10/forward/mlp",6060071598816.987305,41.630512
"user_annotation","layer_11/forward/attention",6060071648522.537109,6.119370
"user_annotation","layer_11/forward/mlp",6060071654720.433594,34.348602
"user_annotation","layer_12/forward/attention",6060071697013.224609,4.920753
"user_annotation","layer_12/forward/mlp",6060071702010.179688,32.202298
"user_annotation","layer_13/forward/attention",6060071742055.745117,5.069954
"user_annotation","layer_13/forward/mlp",6060071747208.032227,34.494580
"user_annotation","layer_14/forward/attention",6060071789507.819336,17.222018
"user_annotation","layer_14/forward/mlp",6060071806802.571289,39.533566
"user_annotation","layer_15/forward/attention",6060071854402.390625,4.887126
"user_annotation","layer_15/forward/mlp",6060071859366.473633,33.532072
"user_annotation","layer_16/forward/attention",6060071900659.455078,4.891695
"user_annotation","layer_16/forward/mlp",6060071905626.986328,33.006277
"user_annotation","layer_17/forward/attention",6060071946567.897461,4.947581
"user_annotation","layer_17/forward/mlp",6060071951592.496094,32.517885
"user_annotation","layer_18/forward/attention",6060071992054.638672,17.541638
"user_annotation","layer_18/forward/mlp",6060072009671.815430,39.960995
"user_annotation","layer_19/forward/attention",6060072057775.466797,4.850168
"user_annotation","layer_19/forward/mlp",6060072062702.217773,33.755919
"user_annotation","layer_20/forward/attention",6060072104378.751953,4.975708
"user_annotation","layer_20/forward/mlp",6060072109433.058594,33.383074
"user_annotation","layer_21/forward/attention",6060072150764.396484,4.948227
"user_annotation","layer_21/forward/mlp",6060072155787.657227,32.233066
"user_annotation","layer_22/forward/attention",6060072195762.364258,18.574513
"user_annotation","layer_22/forward/mlp",6060072214412.019531,40.277447
"user_annotation","layer_23/forward/attention",6060072262656.903320,4.930337
"user_annotation","layer_23/forward/mlp",6060072267660.690430,33.653390
"user_annotation","layer_24/forward/attention",6060072309172.426758,5.135588
"user_annotation","layer_24/forward/mlp",6060072314385.975586,32.686697
"user_annotation","layer_25/forward/attention",6060072354898.929688,5.167614
