"id","ts","dur","kind","gemm","pg","collective","marker"
15,6061441037777231,1457890885,"comm",0,"default_pg","broadcast",""
75,6061442495670100,14326109559,"marker",0,"","","ProfilerStep#0"
76,6061442495670101,3360,"compute",0,"","",""
77,6061442495677908,3616,"memory",0,"","",""
89,6061442496072888,15489,"comm",0,"default_pg","broadcast",""
100,6061442496250746,1440,"compute",0,"","",""
105,6061442496295003,3456,"memory",0,"","",""
111,6061442496348891,1440,"compute",0,"","",""
118,6061442496438044,13920,"memory",0,"","",""
129,6061442496642910,3648,"memory",0,"","",""
138,6061442512719516,22912,"memory",0,"","",""
152,6061442512953502,22849,"memory",0,"","",""
163,6061442518391124,22848,"memory",0,"","",""
177,6061442524603505,6464,"memory",0,"","",""
191,6061442524656562,864,"memory",0,"","",""
203,6061442524684658,1792,"memory",0,"","",""
215,6061442526253377,1824,"memory",0,"","",""
221,6061442526334434,1440,"compute",0,"","",""
228,6061442526400163,1920,"compute",0,"","",""
232,6061442526438243,2016,"compute",0,"","",""
238,6061442526491076,1600,"compute",0,"","",""
248,6061442526551332,2400,"compute",0,"","",""
253,6061442526584356,1185,"compute",0,"","",""
258,6061442526598341,1952,"compute",0,"","",""
265,6061442526631269,3840,"memory",0,"","",""
268,6061442526681445,1505,"compute",0,"","",""
272,6061442526712134,2656,"compute",0,"","",""
277,6061442526724678,3904,"memory",0,"","",""
280,6061442526763558,16096,"compute",0,"","",""
291,6061442526826983,5440,"compute",0,"","",""
297,6061442526862759,2496,"compute",0,"","",""
302,6061442526933288,1920,"compute",0,"","",""
314,6061442526968200,7808,"compute",0,"","",""
318,6061442526985000,1568,"compute",0,"","",""
329,6061442527007593,8864,"compute",0,"","",""
333,6061442527020393,1536,"compute",0,"","",""
344,6061442527043209,7520,"compute",0,"","",""
349,6061442527064457,1952,"compute",0,"","",""
359,6061442527092554,8768,"compute",0,"","",""
365,6061442527391116,1633,"compute",0,"","",""
383,6061442528615352,5238852417,"marker",0,"","","CustomFSDP.forward"
384,6061442528615353,78816,"compute",0,"","",""
536,6061442530284361,1160206965,"comm",0,"DATA_PARALLEL_GROUP_WITH_CP","allgather_into_tensor_coalesced",""
1253,6061443690496254,249475,"compute",0,"","",""
1255,6061443690735008,1510799,"comm",0,"DATA_PARALLEL_GROUP_WITH_CP","allgather_into_tensor_coalesced",""
1256,6061443690745793,277378,"compute",1,"","",""
1257,6061443691017187,59009,"compute",1,"","",""
1258,6061443691072260,20032,"compute",1,"","",""
1259,6061443691096356,32416,"compute",0,"","",""
1260,6061443691131108,45473,"compute",0,"","",""
1261,6061443691176869,107745,"compute",1,"","",""
1262,6061443691282534,52544,"compute",1,"","",""
1263,6061443691333414,16769,"compute",1,"","",""
1264,6061443691352871,15808,"compute",0,"","",""
1265,6061443691370791,17888,"compute",0,"","",""
1266,6061443691391591,44800,"compute",0,"","",""
1267,6061443691439143,34593,"compute",0,"","",""
1268,6061443691476232,9952,"compute",0,"","",""
1269,6061443691485960,692519,"compute",1,"","",""
1270,6061443692175567,17568,"compute",1,"","",""
1271,6061443692190863,92737,"compute",1,"","",""
1272,6061443692286320,166529,"compute",0,"","",""
1273,6061443692454289,239587,"compute",0,"","",""
1274,6061443692694292,225602,"compute",1,"","",""
1275,6061443692921526,1266956,"compute",0,"","",""
1276,6061443694190242,1793,"compute",0,"","",""
1277,6061443694194050,2368,"compute",0,"","",""
1278,6061443694197827,1535,"compute",0,"","",""
1279,6061443694201923,2047,"compute",0,"","",""
1280,6061443694206019,1248,"compute",0,"","",""
1281,6061443694210115,1184,"compute",0,"","",""
1282,6061443694212610,2337,"compute",0,"","",""
1283,6061443694216547,1856,"memory",0,"","",""
1284,6061443694220675,2144,"compute",0,"","",""
1285,6061443694224771,1824,"compute",0,"","",""
1286,6061443694228515,1600,"compute",0,"","",""
1287,6061443694232643,6176,"compute",0,"","",""
1288,6061443694241283,1664,"compute",0,"","",""
1289,6061443694244931,2912,"compute",0,"","",""
1290,6061443694249347,2976,"compute",0,"","",""
1291,6061443694255459,2912,"compute",0,"","",""
1292,6061443694259683,1824,"compute",0,"","",""
1293,6061443694263651,1856,"compute",0,"","",""
1294,6061443694267459,1376,"compute",0,"","",""
1295,6061443694271555,1504,"compute",0,"","",""
1296,6061443694275651,1408,"compute",0,"","",""
1297,6061443694279747,1472,"compute",0,"","",""
1298,6061443694284131,1856,"compute",0,"","",""
1299,6061443694288227,1857,"compute",0,"","",""
1300,6061443694292356,1983,"compute",0,"","",""
1301,6061443694296419,1857,"compute",0,"","",""
1302,6061443694300227,10272,"compute",0,"","",""
1303,6061443694312516,345251,"compute",0,"","",""
1304,6061443694658951,4512,"compute",0,"","",""
1305,6061443694664775,2144,"compute",0,"","",""
1306,6061443694669159,2048,"compute",0,"","",""
1307,6061443694673223,4032,"compute",0,"","",""
1308,6061443694679399,2112,"compute",0,"","",""
1309,6061443694683495,1952,"compute",0,"","",""
1310,6061443694687303,171586,"compute",0,"","",""
1311,6061443694861705,82145,"compute",0,"","",""
1312,6061443694945706,339203,"compute",0,"","",""
1313,6061443695287725,171746,"compute",0,"","",""
1314,6061443695461103,62273,"compute",0,"","",""
1315,6061443695526576,40192,"compute",0,"","",""
1316,6061443695569584,1824,"compute",0,"","",""
1317,6061443695573360,2304,"compute",0,"","",""
1318,6061443695577168,1536,"compute",0,"","",""
1319,6061443695581264,2048,"compute",0,"","",""
1320,6061443695585360,1248,"compute",0,"","",""
