"name","ts","en"
"layer_0/forward/attention",6061443692096647,6061443747332182
"layer_0/forward/mlp",6061443747339444,6061443753288963
"layer_1/forward/attention",6061443753301601,6061443792769156
"layer_1/forward/mlp",6061443792777474,6061443798729553
"layer_2/forward/attention",6061443798741583,6061443838966428
"layer_2/forward/mlp",6061443838974234,6061443844901673
"layer_3/forward/attention",6061443844916039,6061443865121007
"layer_3/forward/mlp",6061443865143085,6061443907066320
"layer_4/forward/attention",6061443916882989,6061443935780197
"layer_4/forward/mlp",6061443935799395,6061443958147943
"layer_5/forward/attention",6061443968231240,6061443986814875
"layer_5/forward/mlp",6061443986841914,6061444006961281
"layer_6/forward/attention",6061444016246712,6061444055271636
"layer_6/forward/mlp",6061444055280403,6061444074239659
"layer_7/forward/attention",6061444083374047,6061444101806961
"layer_7/forward/mlp",6061444101835119,6061444121174092
"layer_8/forward/attention",6061444130250080,6061444148950581
"layer_8/forward/mlp",6061444148965907,6061444169035738
"layer_9/forward/attention",6061444178131822,6061444196513919
"layer_9/forward/mlp",6061444196533853,6061444216319424
"layer_10/forward/attention",6061444225115792,6061444265026040
"layer_10/forward/mlp",6061444265034230,6061444283706635
"layer_11/forward/attention",6061444292505019,6061444310748138
"layer_11/forward/mlp",6061444310767561,6061444329924995
"layer_12/forward/attention",6061444338857557,6061444357008995
"layer_12/forward/mlp",6061444357030625,6061444377621806
"layer_13/forward/attention",6061444386458879,6061444404869809
"layer_13/forward/mlp",6061444404896367,6061444423553539
"layer_14/forward/attention",6061444432407540,6061444470829609
"layer_14/forward/mlp",6061444470837991,6061444488561423
"layer_15/forward/attention",6061444497459329,6061444516130389
"layer_15/forward/mlp",6061444516157587,6061444535650707
"layer_16/forward/attention",6061444544208192,6061444562591568
"layer_16/forward/mlp",6061444562623119,6061444581316003
"layer_17/forward/attention",6061444590012946,6061444609130285
"layer_17/forward/mlp",6061444609158795,6061444627896993
"layer_18/forward/attention",6061444636509646,6061444677875785
"layer_18/forward/mlp",6061444677883272,6061444695933492
"layer_19/forward/attention",6061444704606274,6061444726371999
"layer_19/forward/mlp",6061444726397822,6061444748295292
"layer_20/forward/attention",6061444756661895,6061444775059896
"layer_20/forward/mlp",6061444775085270,6061444795253373
"layer_21/forward/attention",6061444803896076,6061444822178587
"layer_21/forward/mlp",6061444822201946,6061444840327751
"layer_22/forward/attention",6061444853587825,6061444897443725
"layer_22/forward/mlp",6061444897451595,6061444924461483
"layer_23/forward/attention",6061444939543309,6061444968294148
"layer_23/forward/mlp",6061444968336163,6061444997291837
"layer_24/forward/attention",6061445014582044,6061445033733302
"layer_24/forward/mlp",6061445033758869,6061445053411478
"layer_25/forward/attention",6061445062330184,6061445081047133
"layer_25/forward/mlp",6061445081069019,6061445099798608
"layer_26/forward/attention",6061445108499487,6061445147743039
"layer_26/forward/mlp",6061445147750909,6061445165603751
"layer_27/forward/attention",6061445174380535,6061445193000939
"layer_27/forward/mlp",6061445193033417,6061445212269989
"layer_28/forward/attention",6061445221210359,6061445239841931
"layer_28/forward/mlp",6061445239864937,6061445258231033
"layer_29/forward/attention",6061445266872520,6061445285947393
"layer_29/forward/mlp",6061445285975744,6061445304270383
"layer_30/forward/attention",6061445313207726,6061445351980228
"layer_30/forward/mlp",6061445351988162,6061445370564979
"layer_31/forward/attention",6061445379488901,6061445401352768
"layer_31/forward/mlp",6061445401378111,6061445419362537
"layer_32/forward/attention",6061445428001462,6061445446978157
"layer_32/forward/mlp",6061445447009579,6061445465299065
"layer_33/forward/attention",6061445474042824,6061445492720283
"layer_33/forward/mlp",6061445492749594,6061445510957895
"layer_34/forward/attention",6061445519444210,6061445558764335
"layer_34/forward/mlp",6061445558771213,6061445576249329
"layer_35/forward/attention",6061445584971999,6061445605096069
"layer_35/forward/mlp",6061445605114915,6061445623033804
"layer_36/forward/attention",6061445631482423,6061445650062409
"layer_36/forward/mlp",6061445650089063,6061445667257799
"layer_37/forward/attention",6061445675560751,6061445694278979
"layer_37/forward/mlp",6061445694300033,6061445712519374
"layer_38/forward/attention",6061445720872792,6061445760456377
"layer_38/forward/mlp",6061445760465527,6061445778345727
"layer_39/forward/attention",6061445786497542,6061445805193658
"layer_39/forward/mlp",6061445805223800,6061445823574790
"layer_40/forward/attention",6061445832442679,6061445851257067
"layer_40/forward/mlp",6061445851277802,6061445868938671
"layer_41/forward/attention",6061445878751180,6061445897284125
"layer_41/forward/mlp",6061445897306748,6061445919240216
"layer_42/forward/attention",6061445929060085,6061445968494132
"layer_42/forward/mlp",6061445968502738,6061445985913588
"layer_43/forward/attention",6061445994796741,6061446013789692
"layer_43/forward/mlp",6061446013813850,6061446032111688
"layer_44/forward/attention",6061446040354865,6061446059769485
"layer_44/forward/mlp",6061446059797355,6061446080186868
"layer_45/forward/attention",6061446088467421,6061446107073967
"layer_45/forward/mlp",6061446107102414,6061446124591025
"layer_46/forward/attention",6061446133451585,6061446172467643
"layer_46/forward/mlp",6061446172475225,6061446189454102
"layer_47/forward/attention",6061446197647101,6061446216872023
"layer_47/forward/mlp",6061446216894902,6061446234207223
"layer_48/forward/attention",6061446242316734,6061446260874607
"layer_48/forward/mlp",6061446260894029,6061446278391217
"layer_49/forward/attention",6061446288132556,6061446307144132
"layer_49/forward/mlp",6061446307165058,6061446324471555
"layer_50/forward/attention",6061446332437832,6061446373810975
"layer_50/forward/mlp",6061446373819358,6061446390578296
"layer_51/forward/attention",6061446398735871,6061446418211292
"layer_51/forward/mlp",6061446418237018,6061446436189572
"layer_52/forward/attention",6061446444978739,6061446464226542
"layer_52/forward/mlp",6061446464249484,6061446482540218
"layer_53/forward/attention",6061446491145735,6061446509969883
"layer_53/forward/mlp",6061446509993338,6061446527361564
"layer_54/forward/attention",6061446535596740,6061446574613085
"layer_54/forward/mlp",6061446574621244,6061446592636550
"layer_55/forward/attention",6061446601399349,6061446620200585
"layer_55/forward/mlp",6061446620220584,6061446638857082
"layer_56/forward/attention",6061446647286949,6061446665881398
"layer_56/forward/mlp",6061446665897749,6061446685014605
"layer_57/forward/attention",6061446693568442,6061446712108555
"layer_57/forward/mlp",6061446712136041,6061446730665146
"layer_58/forward/attention",6061446739981872,6061446779799892
"layer_58/forward/mlp",6061446779806770,6061446796411978
"layer_59/forward/attention",6061446804975159,6061446823670346
"layer_59/forward/mlp",6061446823694376,6061446848529194
"layer_60/forward/attention",6061446857138775,6061446876065325
"layer_60/forward/mlp",6061446876093452,6061446894202679
"layer_61/forward/attention",6061446903175209,6061446921535480
"layer_61/forward/mlp",6061446921561782,6061446939548384
"layer_62/forward/attention",6061446948142189,6061446987426601
"layer_62/forward/mlp",6061446987433736,6061447004074240
"layer_63/forward/attention",6061447012582732,6061447031205918
"layer_63/forward/mlp",6061447031225693,6061447050024529
"layer_64/forward/attention",6061447059507657,6061447079377964
"layer_64/forward/mlp",6061447079403306,6061447098329760
"layer_65/forward/attention",6061447107131568,6061447125974469
"layer_65/forward/mlp",6061447125995171,6061447144029358
"layer_66/forward/attention",6061447152976415,6061447192063417
"layer_66/forward/mlp",6061447192069975,6061447209066869
"layer_67/forward/attention",6061447217700258,6061447236257427
"layer_67/forward/mlp",6061447236285074,6061447261023251
"layer_68/forward/attention",6061447271422583,6061447291072022
"layer_68/forward/mlp",6061447291097172,6061447310151244
"layer_69/forward/attention",6061447319521832,6061447338292219
"layer_69/forward/mlp",6061447338311738,6061447357373969
"layer_70/forward/attention",6061447373379678,6061447412770267
"layer_70/forward/mlp",6061447412778777,6061447430465023
"layer_71/forward/attention",6061447439993527,6061447458660586
"layer_71/forward/mlp",6061447458689896,6061447479199826
"layer_72/forward/attention",6061447488034850,6061447506799894
"layer_72/forward/mlp",6061447506821524,6061447524862558
"layer_73/forward/attention",6061447533903025,6061447552411777
"layer_73/forward/mlp",6061447552439711,6061447571033649
"layer_74/forward/attention",6061447580289318,6061447621090422
"layer_74/forward/mlp",6061447621098516,6061447637870990
"layer_75/forward/attention",6061447646649021,6061447665745685
"layer_75/forward/mlp",6061447665780756,6061447685468691
"layer_76/forward/attention",6061447694293315,6061447712787859
"layer_76/forward/mlp",6061447712810289,6061447730519127
"layer_77/forward/attention",6061447734232453,6061447747792054
"layer_77/forward/mlp",6061447747800340,6061447762808599
"layer_77/recompute/attention",6061448322541612,6061448335778233
"layer_77/recompute/mlp",6061448335785591,6061448351919081
"block_77/backward_including_recompute",6061448359255302,6061448420810049
"layer_76/recompute/attention",6061448421435527,6061448434004939
"layer_76/recompute/mlp",6061448434013513,6061448448324516
"block_76/backward_including_recompute",6061448455479454,6061448515699721
"layer_75/recompute/attention",6061448516323311,6061448528929396
"layer_75/recompute/mlp",6061448528937266,6061448542611620
"block_75/backward_including_recompute",6061448549831583,6061448610521136
"layer_74/recompute/attention",6061448611185751,6061448626705185
"layer_74/recompute/mlp",6061448626713343,6061448641597729
"block_74/backward_including_recompute",6061448648903901,6061448709114696
"layer_73/recompute/attention",6061448709741070,6061448722358323
"layer_73/recompute/mlp",6061448722365617,6061448736621291
"block_73/backward_including_recompute",6061448743771173,6061448803952367
"layer_72/recompute/attention",6061448804579893,6061448817164474
"layer_72/recompute/mlp",6061448817172088,6061448832074554
"block_72/backward_including_recompute",6061448839247764,6061448899812772
"layer_71/recompute/attention",6061448900442698,6061448913087214
"layer_71/recompute/mlp",6061448913095629,6061448927107523
"block_71/backward_including_recompute",6061448934382943,6061448994746412
"layer_70/recompute/attention",6061448995401394,6061449010544535
"layer_70/recompute/mlp",6061449010553110,6061449024523596
"block_70/backward_including_recompute",6061449031806216,6061449092719643
"layer_69/recompute/attention",6061449093366466,6061449105979878
"layer_69/recompute/mlp",6061449105987205,6061449119949243
"block_69/backward_including_recompute",6061449127541786,6061449187834630
"layer_68/recompute/attention",6061449188469677,6061449201089425
"layer_68/recompute/mlp",6061449201096239,6061449214817986
"block_68/backward_including_recompute",6061449222073278,6061449283141172
"layer_67/recompute/attention",6061449283774330,6061449296383967
"layer_67/recompute/mlp",6061449296391293,6061449310680695
"block_67/backward_including_recompute",6061449318200470,6061449378968488
"layer_66/recompute/attention",6061449379622478,6061449394815700
"layer_66/recompute/mlp",6061449394824338,6061449410135098
"block_66/backward_including_recompute",6061449417481463,6061449477904196
"layer_65/recompute/attention",6061449478541097,6061449491162798
"layer_65/recompute/mlp",6061449491172045,6061449505496871
"block_65/backward_including_recompute",6061449513538381,6061449576165367
"layer_64/recompute/attention",6061449576826237,6061449589475267
"layer_64/recompute/mlp",6061449589482657,6061449603387350
"block_64/backward_including_recompute",6061449610690098,6061449672102284
"layer_63/recompute/attention",6061449672723346,6061449685385240
"layer_63/recompute/mlp",6061449685392982,6061449699809202
"block_63/backward_including_recompute",6061449707274000,6061449767969688
"layer_62/recompute/attention",6061449768627327,6061449784016359
"layer_62/recompute/mlp",6061449784024261,6061449798712292
"block_62/backward_including_recompute",6061449806136002,6061449866946035
"layer_61/recompute/attention",6061449867574873,6061449880212926
"layer_61/recompute/mlp",6061449880220060,6061449894692729
"block_61/backward_including_recompute",6061449902118934,6061449962310943
"layer_60/recompute/attention",6061449962949414,6061449975581482
"layer_60/recompute/mlp",6061449975590024,6061449990567243
"block_60/backward_including_recompute",6061449998037770,6061450059229088
"layer_59/recompute/attention",6061450059871718,6061450072498667
"layer_59/recompute/mlp",6061450072506441,6061450086981541
"block_59/backward_including_recompute",6061450094578181,6061450154945745
"layer_58/recompute/attention",6061450155603575,6061450170804573
"layer_58/recompute/mlp",6061450170812219,6061450185424121
"block_58/backward_including_recompute",6061450192920216,6061450253360164
"layer_57/recompute/attention",6061450254003530,6061450266668591
"layer_57/recompute/mlp",6061450266677485,6061450281032361
"block_57/backward_including_recompute",6061450288304004,6061450349113493
"layer_56/recompute/attention",6061450349743740,6061450362474849
"layer_56/recompute/mlp",6061450362482943,6061450376220466
"block_56/backward_including_recompute",6061450383568879,6061450446211064
"layer_55/recompute/attention",6061450446845726,6061450459444770
"layer_55/recompute/mlp",6061450459451904,6061450473217876
"block_55/backward_including_recompute",6061450480429583,6061450541376258
"layer_54/recompute/attention",6061450542031304,6061450557180941
"layer_54/recompute/mlp",6061450557189611,6061450572105837
"block_54/backward_including_recompute",6061450579333832,6061450640064632
"layer_53/recompute/attention",6061450640694399,6061450653412900
"layer_53/recompute/mlp",6061450653422018,6061450667001460
"block_53/backward_including_recompute",6061450674439857,6061450735186626
"layer_52/recompute/attention",6061450735821736,6061450748501901
"layer_52/recompute/mlp",6061450748509643,6061450762504930
"block_52/backward_including_recompute",6061450769857726,6061450830534638
"layer_51/recompute/attention",6061450831168500,6061450843913274
"layer_51/recompute/mlp",6061450843921816,6061450857923567
"block_51/backward_including_recompute",6061450865285771,6061450925849977
