"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6061442531083.879883,1192.720386
"user_annotation","layer_0/forward/mlp",6061443723921.965820,1.939100
"user_annotation","layer_1/forward/attention",6061443727910.631836,37.152584
"user_annotation","layer_1/forward/mlp",6061443765145.315430,1.490346
"user_annotation","layer_2/forward/attention",6061443773749.277344,40.451201
"user_annotation","layer_2/forward/mlp",6061443814277.778320,1.254037
"user_annotation","layer_3/forward/attention",6061443822085.393555,4.840485
"user_annotation","layer_3/forward/mlp",6061443827004.363281,61.432281
"user_annotation","layer_4/forward/attention",6061443896745.634766,4.948943
"user_annotation","layer_4/forward/mlp",6061443901770.661133,52.735359
"user_annotation","layer_5/forward/attention",6061443962490.235352,4.987259
"user_annotation","layer_5/forward/mlp",6061443967558.342773,37.044037
"user_annotation","layer_6/forward/attention",6061444012501.999023,18.879144
"user_annotation","layer_6/forward/mlp",6061444031458.900391,40.988997
"user_annotation","layer_7/forward/attention",6061444080390.685547,4.925684
"user_annotation","layer_7/forward/mlp",6061444085391.624023,33.663719
"user_annotation","layer_8/forward/attention",6061444127080.853516,4.976770
"user_annotation","layer_8/forward/mlp",6061444132133.697266,34.865017
"user_annotation","layer_9/forward/attention",6061444174934.434570,4.935173
"user_annotation","layer_9/forward/mlp",6061444179947.680664,34.570513
"user_annotation","layer_10/forward/attention",6061444222190.368164,17.955764
"user_annotation","layer_10/forward/mlp",6061444240223.458984,42.699701
"user_annotation","layer_11/forward/attention",6061444290762.753906,4.941804
"user_annotation","layer_11/forward/mlp",6061444295784.642578,32.992763
"user_annotation","layer_12/forward/attention",6061444336575.547852,4.792762
"user_annotation","layer_12/forward/mlp",6061444341445.440430,33.608472
"user_annotation","layer_13/forward/attention",6061444382808.708984,4.962105
"user_annotation","layer_13/forward/mlp",6061444387849.041016,34.742045
"user_annotation","layer_14/forward/attention",6061444430539.141602,17.194703
"user_annotation","layer_14/forward/mlp",6061444447810.761719,39.918959
"user_annotation","layer_15/forward/attention",6061444495322.845703,4.792770
"user_annotation","layer_15/forward/mlp",6061444500190.569336,34.386781
"user_annotation","layer_16/forward/attention",6061444542151.998047,5.024166
"user_annotation","layer_16/forward/mlp",6061444547254.143555,32.425131
"user_annotation","layer_17/forward/attention",6061444587402.985352,4.970944
"user_annotation","layer_17/forward/mlp",6061444592455.154297,36.779924
"user_annotation","layer_18/forward/attention",6061444638770.005859,15.556404
"user_annotation","layer_18/forward/mlp",6061444654404.339844,41.372641
"user_annotation","layer_19/forward/attention",6061444703675.276367,5.058188
"user_annotation","layer_19/forward/mlp",6061444708813.322266,35.367012
"user_annotation","layer_20/forward/attention",6061444751951.784180,4.861732
"user_annotation","layer_20/forward/mlp",6061444756888.551758,36.159841
"user_annotation","layer_21/forward/attention",6061444800820.978516,5.057324
"user_annotation","layer_21/forward/mlp",6061444805958.760742,33.539342
"user_annotation","layer_22/forward/attention",6061444847224.365234,24.697168
"user_annotation","layer_22/forward/mlp",6061444871999.586914,41.494753
"user_annotation","layer_23/forward/attention",6061444921364.404297,5.191586
"user_annotation","layer_23/forward/mlp",6061444926632.336914,59.404978
