"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6068217852516.296875,24.597900
"user_annotation","layer_0/forward/mlp",6068217877207.663086,1.635353
"user_annotation","layer_1/forward/attention",6068217880545.024414,73.406371
"user_annotation","layer_1/forward/mlp",6068217954031.093750,1.403173
"user_annotation","layer_2/forward/attention",6068217956980.910156,91.394275
"user_annotation","layer_2/forward/mlp",6068218048456.165039,1.295096
"user_annotation","layer_3/forward/attention",6068218056896.289062,5.062830
"user_annotation","layer_3/forward/mlp",6068218062039.307617,133.992249
"user_annotation","layer_4/forward/attention",6068218204358.087891,5.139762
"user_annotation","layer_4/forward/mlp",6068218209578.661133,71.454451
"user_annotation","layer_5/forward/attention",6068218289267.983398,5.051670
"user_annotation","layer_5/forward/mlp",6068218294395.143555,69.402077
"user_annotation","layer_6/forward/attention",6068218372063.302734,44.758839
"user_annotation","layer_6/forward/mlp",6068218416895.575195,69.818570
"user_annotation","layer_7/forward/attention",6068218494864.332031,5.105013
"user_annotation","layer_7/forward/mlp",6068218500047.245117,68.058501
"user_annotation","layer_8/forward/attention",6068218576266.126953,5.357406
"user_annotation","layer_8/forward/mlp",6068218581702.531250,67.978394
"user_annotation","layer_9/forward/attention",6068218657922.672852,4.971463
"user_annotation","layer_9/forward/mlp",6068218662971.932617,69.620268
"user_annotation","layer_10/forward/attention",6068218740723.066406,46.958228
"user_annotation","layer_10/forward/mlp",6068218787761.044922,66.925338
"user_annotation","layer_11/forward/attention",6068218862775.678711,6.508745
"user_annotation","layer_11/forward/mlp",6068218869362.339844,69.996381
"user_annotation","layer_12/forward/attention",6068218947504.684570,5.066636
"user_annotation","layer_12/forward/mlp",6068218952648.080078,71.651082
"user_annotation","layer_13/forward/attention",6068219032366.536133,5.000784
"user_annotation","layer_13/forward/mlp",6068219037457.630859,69.129654
"user_annotation","layer_14/forward/attention",6068219114840.328125,44.683942
"user_annotation","layer_14/forward/mlp",6068219159604.310547,64.419228
"user_annotation","layer_15/forward/attention",6068219232169.647461,4.935006
"user_annotation","layer_15/forward/mlp",6068219237182.342773,81.898326
"user_annotation","layer_16/forward/attention",6068219327098.694336,5.001459
"user_annotation","layer_16/forward/mlp",6068219332177.581055,68.715353
"user_annotation","layer_17/forward/attention",6068219408782.405273,5.022187
"user_annotation","layer_17/forward/mlp",6068219413881.669922,68.183405
"user_annotation","layer_18/forward/attention",6068219490131.843750,49.164767
