"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6065072129453.778320,24.800335
"user_annotation","layer_0/forward/mlp",6065072154344.230469,1.578982
"user_annotation","layer_1/forward/attention",6065072157457.591797,74.188998
"user_annotation","layer_1/forward/mlp",6065072231725.069336,1.326138
"user_annotation","layer_2/forward/attention",6065072234530.709961,89.566845
"user_annotation","layer_2/forward/mlp",6065072324171.626953,1.258985
"user_annotation","layer_3/forward/attention",6065072331951.661133,4.861269
"user_annotation","layer_3/forward/mlp",6065072336891.051758,128.419445
"user_annotation","layer_4/forward/attention",6065072475908.359375,4.877343
"user_annotation","layer_4/forward/mlp",6065072480863.218750,71.841521
"user_annotation","layer_5/forward/attention",6065072560250.657227,4.843060
"user_annotation","layer_5/forward/mlp",6065072565168.557617,70.706210
"user_annotation","layer_6/forward/attention",6065072643765.197266,47.062509
"user_annotation","layer_6/forward/mlp",6065072690901.259766,68.929412
"user_annotation","layer_7/forward/attention",6065072767642.006836,5.399700
"user_annotation","layer_7/forward/mlp",6065072773115.833008,66.784911
"user_annotation","layer_8/forward/attention",6065072847740.008789,4.912832
"user_annotation","layer_8/forward/mlp",6065072852726.905273,68.974344
"user_annotation","layer_9/forward/attention",6065072929406.541016,5.130394
"user_annotation","layer_9/forward/mlp",6065072934612.892578,72.200741
"user_annotation","layer_10/forward/attention",6065073014425.869141,49.854455
"user_annotation","layer_10/forward/mlp",6065073064354.309570,69.197589
"user_annotation","layer_11/forward/attention",6065073141145.819336,5.300057
"user_annotation","layer_11/forward/mlp",6065073146530.420898,71.115101
"user_annotation","layer_12/forward/attention",6065073225269.928711,4.798181
"user_annotation","layer_12/forward/mlp",6065073230144.539062,66.853589
"user_annotation","layer_13/forward/attention",6065073304734.503906,4.809690
"user_annotation","layer_13/forward/mlp",6065073309621.826172,71.350412
"user_annotation","layer_14/forward/attention",6065073388788.824219,48.118116
"user_annotation","layer_14/forward/mlp",6065073436981.759766,66.164695
"user_annotation","layer_15/forward/attention",6065073510793.370117,4.931402
"user_annotation","layer_15/forward/mlp",6065073515802.548828,66.927784
"user_annotation","layer_16/forward/attention",6065073590495.524414,4.772861
"user_annotation","layer_16/forward/mlp",6065073595345.155273,70.517875
"user_annotation","layer_17/forward/attention",6065073673574.487305,4.929040
"user_annotation","layer_17/forward/mlp",6065073678581.711914,65.800847
"user_annotation","layer_18/forward/attention",6065073752171.536133,47.832459
"user_annotation","layer_18/forward/mlp",6065073800085.058594,65.410356
"user_annotation","layer_19/forward/attention",6065073873000.420898,4.896558
"user_annotation","layer_19/forward/mlp",6065073877974.782227,68.579696
"user_annotation","layer_20/forward/attention",6065073954085.630859,4.786767
"user_annotation","layer_20/forward/mlp",6065073958946.171875,68.905853
"user_annotation","layer_21/forward/attention",6065074036679.564453,4.888196
"user_annotation","layer_21/forward/mlp",6065074041649.182617,70.560895
"user_annotation","layer_22/forward/attention",6065074119827.199219,44.886122
"user_annotation","layer_22/forward/mlp",6065074164786.333984,65.967157
"user_annotation","layer_23/forward/attention",6065074238520.484375,4.901312
"user_annotation","layer_23/forward/mlp",6065074243506.903320,67.440809
"user_annotation","layer_24/forward/attention",6065074318884.157227,5.189000
"user_annotation","layer_24/forward/mlp",6065074324152.152344,69.790242
"user_annotation","layer_25/forward/attention",6065074401512.154297,5.092575
"user_annotation","layer_25/forward/mlp",6065074406679.367188,68.398617
"user_annotation","layer_26/forward/attention",6065074482849.427734,46.878680
"user_annotation","layer_26/forward/mlp",6065074529804.633789,64.980847
"user_annotation","layer_27/forward/attention",6065074602356.554688,5.271956
"user_annotation","layer_27/forward/mlp",6065074607703.251953,68.317980
"user_annotation","layer_28/forward/attention",6065074683506.058594,5.050450
"user_annotation","layer_28/forward/mlp",6065074688632.865234,73.272056
"user_annotation","layer_29/forward/attention",6065074769616.286133,5.171092
"user_annotation","layer_29/forward/mlp",6065074774864.883789,73.451282
"user_annotation","layer_30/forward/attention",6065074856105.914062,48.911924
"user_annotation","layer_30/forward/mlp",6065074905091.692383,68.696020
"user_annotation","layer_31/forward/attention",6065074981462.389648,5.121915
"user_annotation","layer_31/forward/mlp",6065074986661.237305,64.591754
"user_annotation","layer_32/forward/attention",6065075058874.093750,5.041938
"user_annotation","layer_32/forward/mlp",6065075063995.115234,67.070675
"user_annotation","layer_33/forward/attention",6065075138549.968750,5.051462
"user_annotation","layer_33/forward/mlp",6065075143676.148438,67.407182
"user_annotation","layer_34/forward/attention",6065075218764.127930,46.888079
"user_annotation","layer_34/forward/mlp",6065075265733.004883,67.276787
"user_annotation","layer_35/forward/attention",6065075340676.873047,5.102657
"user_annotation","layer_35/forward/mlp",6065075345857.652344,68.386331
"user_annotation","layer_36/forward/attention",6065075421935.294922,5.202953
"user_annotation","layer_36/forward/mlp",6065075427214.051758,65.606190
"user_annotation","layer_37/forward/attention",6065075500343.465820,5.139076
"user_annotation","layer_37/forward/mlp",6065075505556.358398,67.975516
"user_annotation","layer_38/forward/attention",6065075581211.782227,57.645444
"user_annotation","layer_38/forward/mlp",6065075638931.724609,66.258983
"user_annotation","layer_39/forward/attention",6065075712906.801758,5.131201
"user_annotation","layer_39/forward/mlp",6065075718115.972656,69.772005
"user_annotation","layer_40/forward/attention",6065075795496.598633,5.303605
"user_annotation","layer_40/forward/mlp",6065075800877.841797,70.377137
"user_annotation","layer_41/forward/attention",6065075879005.035156,5.087921
"user_annotation","layer_41/forward/mlp",6065075884172.456055,68.010745
"user_annotation","layer_42/forward/attention",6065075959976.925781,46.377910
"user_annotation","layer_42/forward/mlp",6065076006429.042969,66.478383
"user_annotation","layer_43/forward/attention",6065076080614.224609,5.180230
"user_annotation","layer_43/forward/mlp",6065076085872.284180,68.989554
"user_annotation","layer_44/forward/attention",6065076162425.183594,5.015230
