Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.5,112015034306,2003,55923631.7,13042.0,2466,12965917341,765439687.6,cudaStreamSynchronize
0.2,176135497,18,9785305.4,35317.0,518,49109930,18002776.7,cuKernelSetAttribute
0.1,136891281,27880,4910.0,4021.5,2449,903101,6475.4,cudaLaunchKernel
0.1,128460862,2486,51673.7,5469.5,2484,91515388,1836020.9,cudaMemcpyAsync
0.0,22022189,2754,7996.4,6338.0,2875,253816,7084.6,cuLaunchKernelEx
0.0,14824515,5992,2474.1,1225.0,432,68009,3162.7,cudaEventQuery
0.0,7536800,1440,5233.9,3773.5,1814,70286,4790.8,cudaEventRecord
0.0,6586185,1097,6003.8,4735.0,2692,77195,4987.0,cudaLaunchKernelExC_v11060
0.0,3826335,28576,133.9,66.0,48,10625,261.4,cuKernelGetName
0.0,2371463,380,6240.7,3550.0,2567,42233,5378.1,cudaMemsetAsync
0.0,2141373,8,267671.6,69045.0,60941,1653872,560132.6,cudaMemGetInfo
0.0,1749690,1112,1573.5,1153.5,332,23466,1505.4,cudaStreamWaitEvent
0.0,1503091,4256,353.2,219.0,144,22654,567.1,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1160178,4516,256.9,111.0,50,11462,588.9,cuKernelGetAttribute
0.0,897366,200,4486.8,3701.5,2040,21191,2334.1,cudaEventRecordWithFlags_v11010
0.0,787966,535,1472.8,1324.0,303,12730,1044.5,cudaEventCreateWithFlags
0.0,714658,1102,648.5,488.5,173,14351,898.2,cudaStreamIsCapturing_v10000
0.0,597780,176,3396.5,2988.0,400,10890,1649.3,cudaGetFuncBySymbol_v11000
0.0,577715,5892,98.1,78.0,57,10559,284.3,cuStreamGetGreenCtx
0.0,531160,56,9485.0,7828.0,6059,23848,4098.8,cudaLaunchCooperativeKernel
0.0,471794,528,893.5,889.5,259,4156,358.3,cudaEventDestroy
0.0,400871,9,44541.2,37992.0,27313,69044,15940.4,cuLibraryLoadData
0.0,239449,16,14965.6,13068.5,7620,32183,7182.7,cuLaunchKernel
0.0,198659,176,1128.7,1052.0,375,3499,430.3,cudaStreamGetCaptureInfo_v12030
0.0,95601,128,746.9,209.0,177,21004,2023.5,cudaGetDriverEntryPointByVersion_v12050
0.0,55290,128,432.0,184.5,120,2567,500.5,cuTensorMapEncodeTiled
0.0,3548,2,1774.0,1774.0,612,2936,1643.3,cudaGetDevice
0.0,3185,2,1592.5,1592.5,437,2748,1634.1,cudaSetDevice
0.0,1681,9,186.8,189.0,153,229,30.0,cuLibraryGetKernel
0.0,633,1,633.0,633.0,633,633,0.0,cuDevicePrimaryCtxGetState
0.0,186,1,186.0,186.0,186,186,0.0,cudaGetLastError
