category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
activation,elementwise_kernel,4500,0.374,758.6,1.678
cat_copy,CatArrayBatchedCopy,9504,1.006,361.8,8.288
cat_copy,elementwise_kernel,9768,0.659,41.0,3.217
cat_copy,CatArrayBatchedCopy_vectorized,11556,0.309,41.4,1.312
cat_copy,index_elementwise_kernel,12428,0.258,3.3,1.724
cat_copy,vectorized_gather_kernel,9752,0.251,142.7,0.51
cat_copy,unrolled_elementwise_kernel,10796,0.176,2.8,1.607
cat_copy,vectorized_elementwise_kernel,10356,0.123,2.8,0.458
cat_copy,indexFuncLargeIndex,624,0.097,1235.2,1.322
cat_copy,_scatter_gather_elementwise_kernel,7512,0.029,9.1,0.295
cat_copy,CatArrayBatchedCopy_alignedK_contig,1400,0.0,2.0,0.003
cross_entropy,cross_entropy_kernel,64,0.006,756.8,0.761
cub_scan_sort,radixSortKVInPlace,336,0.067,1613.5,2.072
cub_scan_sort,bitonicSortKVInPlace,2400,0.007,23.9,0.031
cub_scan_sort,DeviceScanInitKernel,3384,0.001,1.3,0.002
cub_scan_sort,DeviceScanKernel,3384,0.001,2.0,0.003
cub_scan_sort,DeviceRadixSortExclusiveSumKernel,9,0.0,1.7,0.002
cub_scan_sort,DeviceRadixSortHistogramKernel,9,0.0,3.9,0.004
cub_scan_sort,DeviceRadixSortOnesweepKernel,66,0.0,8.2,0.012
cub_scan_sort,DeviceReduceKernel,624,0.0,2.0,0.002
dsa_backward,kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100Fla,624,3.62,45887.1,56.286
dsa_backward,kernel_cutlass_sum_OdO_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.06,770.7,0.814
dsa_backward,kernel_cutlass_convert_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.023,296.7,0.311
dsa_backward,kernel_cutlass_sum_dSink_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm,624,0.002,21.9,0.024
dsa_forward,sparse_attn_fwd_kernel,1248,1.237,7890.7,9.745
dsa_indexer,kernel_cutlass_kernel_cudnndeepseek_sparse_attentionindexer_forwardindexer_fwd_sm100Indexe,3318,0.874,2098.0,3.164
dsa_indexer,kernel_cutlass_indexer_topk_kernel_cudnndeepseek_sparse_attentionindexer_top_kindexer_top_,3318,0.221,464.3,2.443
elementwise,vectorized_elementwise_kernel,166462,1.011,2.6,0.956
elementwise,elementwise_kernel,23564,0.868,159.9,2.346
elementwise,unrolled_elementwise_kernel,4117,0.131,1.9,1.953
