layer,gpu,start_ns,wall_ms
layer:1,0,543815528,54.662
layer:1,0,26899693492,95.01
layer:1,1,562227971,38.086
layer:1,1,26901463657,93.613
layer:1,2,561148046,39.984
layer:1,2,26900780835,94.242
layer:1,3,562001321,38.809
layer:1,3,26901322315,93.987
layer:1,4,562671537,39.628
layer:1,4,26902187722,93.145
layer:1,5,560381958,42.224
layer:1,5,26900999947,94.237
layer:1,6,561684967,39.594
layer:1,6,26901254773,93.698
layer:1,7,561955475,38.597
layer:1,7,26901145737,93.936
layer:2,0,598654156,105.133
layer:2,0,26758909851,94.471
layer:2,1,600478443,105.382
layer:2,1,26761061594,92.744
layer:2,2,601309059,105.263
layer:2,2,26760276792,93.555
layer:2,3,600969447,105.178
layer:2,3,26760541164,93.253
layer:2,4,602466150,105.088
layer:2,4,26760583792,94.581
layer:2,5,602778005,105.87
layer:2,5,26760206333,93.819
layer:2,6,601446793,105.337
layer:2,6,26760317642,93.207
layer:2,7,600714872,105.749
layer:2,7,26760150452,93.676
layer:3,0,703942915,133.066
layer:3,0,26622670319,90.689
layer:3,1,706015201,134.204
layer:3,1,26623319613,90.305
layer:3,2,706718073,133.564
layer:3,2,26623340908,89.966
layer:3,3,706293814,134.408
layer:3,3,26624131815,89.581
layer:3,4,707709669,134.5
layer:3,4,26623309085,90.376
layer:3,5,708816390,133.635
layer:3,5,26623623931,90.083
layer:3,6,706931106,134.285
layer:3,6,26623311690,89.991
layer:3,7,706612539,133.128
layer:3,7,26623342660,90.4
layer:4,0,837174697,133.847
layer:4,0,26419882121,107.799
layer:4,1,840364485,129.992
layer:4,1,26420641050,107.096
layer:4,2,840424535,128.76
layer:4,2,26420629622,108.133
layer:4,3,840843714,128.695
layer:4,3,26420756657,107.037
layer:4,4,842353961,125.83
layer:4,4,26420712039,107.338
layer:4,5,842609655,126.376
layer:4,5,26420701674,107.756
layer:4,6,841371220,126.78
layer:4,6,26420842079,107.24
layer:4,7,839885257,128.763
layer:4,7,26420889441,108.113
layer:5,0,971192751,69.353
layer:5,0,26236782430,107.402
layer:5,1,970510410,70.638
layer:5,1,26237616953,107.469
layer:5,2,969352116,71.095
layer:5,2,26237470202,108.069
layer:5,3,969683209,70.915
layer:5,3,26237657378,107.356
layer:5,4,968341561,73.113
layer:5,4,26237633810,107.408
layer:5,5,969159385,71.576
layer:5,5,26237588865,107.782
layer:5,6,968325056,71.781
layer:5,6,26237429063,107.974
layer:5,7,968806374,72.667
layer:5,7,26237689768,107.675
layer:6,0,1040698280,74.037
layer:6,0,26018235967,109.868
layer:6,1,1041343260,62.576
layer:6,1,26019374908,109.06
layer:6,2,1040600652,63.541
layer:6,2,26019344628,109.41
layer:6,3,1040736975,64.005
layer:6,3,26019225089,109.156
layer:6,4,1041610037,62.911
layer:6,4,26019155527,109.11
layer:6,5,1040899269,63.379
layer:6,5,26019263830,110.175
layer:6,6,1040268824,64.49
layer:6,6,26019159497,109.504
layer:6,7,1041629317,63.116
layer:6,7,26019241259,109.109
layer:7,0,1114887953,137.358
layer:7,0,25821301312,117.162
layer:7,1,1104069029,151.246
layer:7,1,25822042995,117.395
layer:7,2,1104303528,147.028
layer:7,2,25822025945,118.474
layer:7,3,1104883318,147.616
layer:7,3,25822015818,117.615
layer:7,4,1104671455,149.819
layer:7,4,25822104105,117.545
layer:7,5,1104432877,150.068
layer:7,5,25822262333,117.806
layer:7,6,1104908103,149.652
layer:7,6,25822283806,117.437
layer:7,7,1104898651,148.778
layer:7,7,25822213849,116.85
layer:8,0,1252400069,63.404
layer:8,0,25601287963,109.563
layer:8,1,1255464037,60.262
layer:8,1,25602257308,108.977
layer:8,2,1251485043,66.853
layer:8,2,25602214986,109.254
layer:8,3,1252640126,66.073
layer:8,3,25602246789,108.645
layer:8,4,1254635030,61.864
layer:8,4,25602580546,108.624
layer:8,5,1254656244,61.369
layer:8,5,25602388617,108.828
layer:8,6,1254719352,61.062
layer:8,6,25602224992,109.537
layer:8,7,1253819776,62.11
layer:8,7,25602519590,108.321
layer:9,0,1315947510,78.131
layer:9,0,25403103750,96.429
layer:9,1,1315874019,78.884
layer:9,1,25390938352,109.547
layer:9,2,1318482597,76.159
layer:9,2,25405391503,95.084
layer:9,3,1318880721,75.664
layer:9,3,25406053015,94.47
layer:9,4,1316646174,78.197
layer:9,4,25391089628,109.359
layer:9,5,1316184446,78.098
layer:9,5,25407316967,93.733
layer:9,6,1315934871,78.573
layer:9,6,25398709744,101.892
layer:9,7,1316076675,78.548
layer:9,7,25391276584,109.208
layer:10,0,1394229357,74.057
layer:10,0,25197410968,108.397
layer:10,1,1394911974,73.139
layer:10,1,25198309201,108.323
layer:10,2,1394783137,72.987
layer:10,2,25198516949,108.848
layer:10,3,1394686715,73.583
layer:10,3,25198411328,108.482
layer:10,4,1394989748,73.342
layer:10,4,25198294677,108.604
layer:10,5,1394432354,74.017
layer:10,5,25198666027,108.222
layer:10,6,1394654562,72.915
layer:10,6,25198596917,108.129
layer:10,7,1394765315,82.358
layer:10,7,25198536222,108.077
layer:11,0,1468434679,138.738
layer:11,0,24994899033,110.801
layer:11,1,1468214993,138.828
layer:11,1,24995786798,111.177
layer:11,2,1467909531,138.718
layer:11,2,24995487106,111.719
layer:11,3,1468409494,138.557
layer:11,3,24995794947,111.071
layer:11,4,1468475839,139.284
layer:11,4,24995693120,110.935
layer:11,5,1468596067,138.666
layer:11,5,24995704426,111.398
layer:11,6,1467704789,138.993
layer:11,6,24995576120,111.602
layer:11,7,1477264027,129.222
layer:11,7,24995718762,111.508
layer:12,0,1607311517,68.208
layer:12,0,24788132251,111.061
layer:12,1,1607194500,67.781
layer:12,1,24789374939,110.682
layer:12,2,1606772279,68.922
layer:12,2,24789130012,111.144
layer:12,3,1607108757,69.113
layer:12,3,24789062114,111.097
layer:12,4,1607902491,68.396
layer:12,4,24789044429,110.722
layer:12,5,1607416964,68.891
layer:12,5,24789346745,111.186
layer:12,6,1606845242,69.095
layer:12,6,24789164247,110.67
layer:12,7,1606630468,69.452
layer:12,7,24789262620,110.85
layer:13,0,1675655796,72.914
layer:13,0,24556115154,107.775
layer:13,1,1675138483,73.737
layer:13,1,24556779244,107.612
layer:13,2,1675829984,72.962
layer:13,2,24556642292,106.956
layer:13,3,1676357305,72.236
layer:13,3,24556727168,109.963
layer:13,4,1676441525,72.266
layer:13,4,24556862122,106.898
layer:13,5,1676469282,72.461
layer:13,5,24556769931,106.962
layer:13,6,1676080671,72.442
layer:13,6,24556909207,107.861
layer:13,7,1676245869,72.738
layer:13,7,24557369740,106.458
layer:14,0,1748704100,84.134
layer:14,0,24344273890,108.638
layer:14,1,1749032539,83.873
layer:14,1,24346250508,105.765
layer:14,2,1748925947,83.331
layer:14,2,24346049232,105.932
layer:14,3,1748732620,83.139
layer:14,3,24346171132,105.929
layer:14,4,1748853177,83.903
layer:14,4,24346240128,105.799
layer:14,5,1749085993,83.728
layer:14,5,24346120817,106.165
layer:14,6,1748662836,83.771
layer:14,6,24346219657,105.686
layer:14,7,1749136912,83.179
layer:14,7,24345920719,107.969
layer:15,0,1832982476,149.474
layer:15,0,24140682987,110.395
layer:15,1,1833046483,149.238
