phase,gpu,metric,avg
step,0,GR Active [Throughput %],97.01
step,0,SMs Active [Throughput %],70.65
step,0,SM Issue [Throughput %],19.73
step,0,Tensor Active [Throughput %],26.95
step,0,DRAM Read Bandwidth [Throughput %],11.36
step,0,DRAM Write Bandwidth [Throughput %],7.61
step,0,NVLink RX Requests Protocol Data [Throughput %],0.89
step,0,NVLink RX Requests User Data [Throughput %],2.06
step,0,NVLink RX Responses Protocol Data [Throughput %],0.27
step,0,NVLink RX Responses User Data [Throughput %],1.76
step,0,NVLink TX Requests Protocol Data [Throughput %],0.73
step,0,NVLink TX Requests User Data [Throughput %],2.09
step,0,NVLink TX Responses Protocol Data [Throughput %],0.45
step,0,NVLink TX Responses User Data [Throughput %],1.93
step,1,GR Active [Throughput %],98.96
step,1,SMs Active [Throughput %],72.58
step,1,SM Issue [Throughput %],20.29
step,1,Tensor Active [Throughput %],28.21
step,1,DRAM Read Bandwidth [Throughput %],11.4
step,1,DRAM Write Bandwidth [Throughput %],7.63
step,1,NVLink RX Requests Protocol Data [Throughput %],0.72
step,1,NVLink RX Requests User Data [Throughput %],2.07
step,1,NVLink RX Responses Protocol Data [Throughput %],0.39
step,1,NVLink RX Responses User Data [Throughput %],1.9
step,1,NVLink TX Requests Protocol Data [Throughput %],0.85
step,1,NVLink TX Requests User Data [Throughput %],2.11
step,1,NVLink TX Responses Protocol Data [Throughput %],0.28
step,1,NVLink TX Responses User Data [Throughput %],1.75
step,2,GR Active [Throughput %],96.93
step,2,SMs Active [Throughput %],71.99
step,2,SM Issue [Throughput %],20.13
step,2,Tensor Active [Throughput %],27.54
step,2,DRAM Read Bandwidth [Throughput %],11.39
step,2,DRAM Write Bandwidth [Throughput %],7.66
step,2,NVLink RX Requests Protocol Data [Throughput %],0.73
step,2,NVLink RX Requests User Data [Throughput %],2.1
step,2,NVLink RX Responses Protocol Data [Throughput %],0.39
step,2,NVLink RX Responses User Data [Throughput %],1.88
step,2,NVLink TX Requests Protocol Data [Throughput %],0.84
step,2,NVLink TX Requests User Data [Throughput %],2.08
step,2,NVLink TX Responses Protocol Data [Throughput %],0.28
