k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,121.806,148.631,1.22,0,148.631,142.058,136.967,135.582,102.027,98.383,105.514,105.285
1,134.594,138.416,1.028,0,138.416,137.892,136.351,132.647,134.655,134.466,131.673,130.649
2,106.007,109.851,1.036,6,102.6,103.985,105.49,107.5,107.017,103.631,109.851,107.98
3,63.489,74.104,1.167,0,74.104,63.693,63.979,59.81,62.117,70.619,56.874,56.721
4,54.989,58.165,1.058,3,55.46,56.42,55.806,58.165,52.699,51.081,56.021,54.257
5,55.281,66.944,1.211,7,58.755,52.583,50.866,57.392,51.248,50.401,54.063,66.944
6,126.931,130.583,1.029,1,125.526,130.583,129.431,125.834,124.742,126.401,129.558,123.372
7,55.623,66.484,1.195,6,53.864,58.509,53.633,57.327,51.679,50.585,66.484,52.907
8,62.126,70.363,1.133,4,63.363,59.407,59.349,61.129,70.363,57.968,62.984,62.445
9,57.49,61.315,1.067,5,57.401,56.618,55.826,56.101,58.118,61.315,56.085,58.457
10,127.694,134.558,1.054,2,125.597,124.167,134.558,130.046,121.329,126.942,133.236,125.678
11,55.407,63.61,1.148,3,52.791,49.4,58.444,63.61,58.211,54.487,55.297,51.02
12,58.626,72.249,1.232,6,54.802,61.97,61.45,50.285,50.726,59.348,72.249,58.18
13,59.143,68.793,1.163,6,57.847,57.142,57.72,55.803,60.981,52.686,68.793,62.17
14,128.02,134.774,1.053,3,124.215,130.087,132.58,134.774,129.158,123.489,125.55,124.307
15,55.947,69.425,1.241,2,49.012,51.232,69.425,54.317,57.878,51.864,62.738,51.105
16,58.745,69.626,1.185,4,60.497,56.111,54.999,58.239,69.626,51.307,61.642,57.537
17,58.763,74.129,1.261,4,53.684,54.414,53.307,58.194,74.129,53.373,61.687,61.313
18,127.483,140.292,1.1,3,123.167,127.499,126.856,140.292,133.116,120.405,120.804,127.728
19,61.089,68.412,1.12,0,68.412,55.896,67.476,59.999,57.317,54.264,61.245,64.105
20,55.441,69.824,1.259,4,51.999,61.807,50.53,46.459,69.824,51.738,47.271,63.902
21,59.578,72.099,1.21,0,72.099,51.949,63.755,56.129,57.777,51.723,63.527,59.661
22,123.537,136.356,1.104,6,122.158,121.82,119.484,123.909,120.907,130.148,136.356,113.514
23,57.071,62.027,1.087,1,58.48,62.027,53.514,54.667,61.354,53.974,61.621,50.934
24,57.493,61.686,1.073,1,56.093,61.686,58.299,59.923,54.841,57.732,57.227,54.141
25,56.68,61.818,1.091,5,56.677,56.773,55.631,61.384,50.185,61.818,56.007,54.963
26,128.777,135.782,1.054,7,130.963,133.308,125.842,128.718,123.198,127.399,125.009,135.782
27,58.467,64.24,1.099,6,62.042,53.381,52.248,59.704,59.031,63.389,64.24,53.702
28,56.254,65.762,1.169,3,54.592,62.197,55.407,65.762,49.111,63.536,53.353,46.069
29,56.446,69.199,1.226,3,56.176,53.707,54.628,69.199,49.999,56.252,59.88,51.731
30,127.075,137.02,1.078,2,125.734,127.922,137.02,128.189,122.564,122.657,123.856,128.662
31,56.187,65.735,1.17,5,49.203,54.758,51.847,61.777,52.233,65.735,60.281,53.666
32,56.433,64.046,1.135,0,64.046,53.212,59.274,52.268,53.99,62.548,51.799,54.324
33,56.992,68.272,1.198,6,57.215,63.099,49.2,52.402,56.381,52.371,68.272,56.997
34,123.889,128.981,1.041,3,126.415,123.705,118.925,128.981,120.711,127.687,124.122,120.564
35,55.82,59.767,1.071,6,49.511,54.866,56.673,54.918,57.886,55.621,59.767,57.317
