k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,13.812,21.051,1.524,0,21.051,12.468,13.747,8.807,12.074,18.929,13.897,9.526
1,14.069,16.589,1.179,3,13.944,14.932,15.08,16.589,12.55,11.022,15.286,13.147
2,14.044,25.05,1.784,7,16.175,11.368,10.674,14.991,10.862,10.122,13.11,25.05
3,14.039,16.928,1.206,1,12.569,16.928,16.153,13.049,12.215,13.699,16.51,11.189
4,14.212,24.713,1.739,6,12.299,15.725,12.746,14.99,11.211,10.341,24.713,11.668
5,14.01,22.162,1.582,4,14.526,11.419,12.016,12.888,22.162,10.947,14.191,13.932
6,13.93,17.759,1.275,5,13.721,13.098,12.915,12.422,14.172,17.759,12.856,14.497
7,13.983,20.389,1.458,2,11.47,10.463,20.389,15.475,9.232,13.899,19.095,11.84
8,13.953,20.792,1.49,3,11.537,8.838,16.513,20.792,16.685,13.253,13.941,10.068
9,13.828,27.233,1.969,6,10.209,15.766,16.121,6.654,7.58,14.263,27.233,12.8
10,13.943,22.521,1.615,6,12.57,11.859,13.007,10.966,15.697,9.133,22.521,15.791
11,13.922,19.631,1.41,3,10.274,15.143,18.14,19.631,14.903,10.404,12.306,10.577
12,13.947,25.857,1.854,2,7.994,9.567,25.857,12.02,15.325,10.688,20.602,9.52
13,13.897,23.981,1.726,4,14.839,11.321,10.921,13.188,23.981,8.283,16.263,12.381
14,13.821,27.751,2.008,4,9.421,9.98,9.695,12.699,27.751,9.682,16.244,15.092
15,13.861,25.793,1.861,3,9.765,13.087,13.282,25.793,19.109,8.053,8.506,13.293
16,13.753,20.763,1.51,0,20.763,9.229,19.139,12.229,10.745,8.404,13.919,15.598
17,13.582,26.786,1.972,4,9.921,18.652,9.655,6.002,26.786,10.506,7.182,19.949
18,13.728,24.215,1.764,0,24.215,7.221,17.347,10.443,11.841,7.677,18.043,13.04
19,13.811,26.445,1.915,6,12.028,11.925,10.657,13.262,11.694,18.874,26.445,5.601
