k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,109.406,136.387,1.247,0,136.387,129.433,124.607,123.149,89.589,86.105,92.992,92.983
1,122.165,126.161,1.033,0,126.161,125.275,123.962,120.173,122.182,122.17,119.123,118.272
2,93.581,97.377,1.041,6,90.286,91.33,93.163,94.992,94.525,91.364,97.377,95.61
3,31.189,33.676,1.08,0,33.676,32.649,31.908,33.437,31.785,32.16,23.868,30.025
4,24.283,24.634,1.014,5,24.362,24.235,24.059,24.193,24.055,24.634,24.215,24.515
5,24.09,24.296,1.009,7,24.079,23.999,23.853,24.268,24.102,24.066,24.054,24.296
6,87.692,96.305,1.098,7,84.472,84.354,84.568,87.196,84.898,87.619,92.121,96.305
7,23.926,24.2,1.011,1,23.553,24.2,23.975,23.936,23.943,23.792,24.122,23.886
8,26.597,30.071,1.131,6,25.823,26.3,25.915,26.548,26.006,26.092,30.071,26.024
9,24.913,26.952,1.082,4,24.739,24.527,24.335,24.737,26.952,24.37,25.152,24.495
10,90.782,97.051,1.069,7,87.085,87.108,87.5,87.944,93.135,91.014,95.421,97.051
11,24.227,24.631,1.017,3,23.787,24.078,24.385,24.631,24.05,24.328,24.462,24.095
12,25.248,27.01,1.07,4,24.559,24.839,24.849,25.943,27.01,24.992,24.953,24.838
13,25.481,27.422,1.076,6,24.621,25.687,25.838,25.092,25.08,24.898,27.422,25.213
14,87.149,97.463,1.118,6,82.975,83.191,83.398,83.459,87.91,85.676,97.463,93.123
15,24.344,24.905,1.023,2,23.736,24.58,24.905,24.48,24.882,24.044,24.09,24.032
16,25.507,27.392,1.074,2,24.725,25.078,27.392,25.084,25.924,24.938,25.889,25.024
17,25.235,26.909,1.066,4,24.52,24.872,24.95,25.315,26.909,24.868,25.279,25.164
18,89.744,95.692,1.066,4,85.964,86.356,86.422,86.537,95.692,89.363,94.545,93.077
19,25.928,28.839,1.112,4,25.095,25.486,25.394,26.212,28.839,25.445,25.551,25.402
20,24.184,24.487,1.013,0,24.487,24.144,24.342,24.121,24.232,23.953,24.167,24.029
21,25.72,27.947,1.087,7,25.437,25.675,25.151,25.221,25.786,25.276,25.267,27.947
22,87.712,92.74,1.057,6,87.09,85.135,85.381,85.33,85.821,88.185,92.74,92.012
23,24.727,25.999,1.051,6,24.16,24.49,24.44,24.744,24.446,25.002,25.999,24.533
