range,gpu,instances,wall_s,gpu_kernel_s
forward,0,1,7.32,6.836
forward,1,1,7.31,7.283
forward,2,1,7.309,6.827
forward,3,1,7.308,7.271
forward,4,1,7.27,7.24
forward,5,1,7.269,7.228
forward,6,1,7.269,7.236
forward,7,1,7.27,7.234
backward,0,1,15.202,15.354
backward,1,1,15.203,15.356
backward,2,1,15.204,15.348
backward,3,1,15.204,15.343
backward,4,1,15.203,15.345
backward,5,1,15.203,15.352
backward,6,1,15.203,15.349
backward,7,1,15.203,15.327
optimizer,0,1,0.0,0.0
optimizer,1,1,0.0,0.0
optimizer,2,1,0.0,0.0
optimizer,3,1,0.0,0.0
optimizer,4,1,0.0,0.0
optimizer,5,1,0.0,0.0
optimizer,6,1,0.0,0.0
optimizer,7,1,0.0,0.0
attention,0,156,3.113,3.135
attention,1,156,3.124,3.172
attention,2,156,3.114,3.159
attention,3,156,3.135,3.161
attention,4,156,3.12,3.151
attention,5,156,3.113,3.167
attention,6,156,3.077,3.258
attention,7,156,3.092,3.244
moe,0,150,11.53,6.394
moe,1,150,11.439,6.299
moe,2,150,11.409,6.35
moe,3,150,11.413,6.318
moe,4,150,11.403,6.292
moe,5,150,11.411,6.305
moe,6,150,11.433,6.168
moe,7,150,11.403,6.203
hybridep_dispatch,0,150,0.158,1.054
hybridep_dispatch,1,150,0.16,1.059
hybridep_dispatch,2,150,0.161,1.054
hybridep_dispatch,3,150,0.161,1.06
hybridep_dispatch,4,150,0.161,1.056
hybridep_dispatch,5,150,0.162,1.05
hybridep_dispatch,6,150,0.163,1.083
hybridep_dispatch,7,150,0.16,1.044
hybridep_combine,0,150,0.021,2.482
hybridep_combine,1,150,0.021,2.383
hybridep_combine,2,150,0.021,2.354
hybridep_combine,3,150,0.021,2.359
hybridep_combine,4,150,0.021,2.402
hybridep_combine,5,150,0.022,2.503
hybridep_combine,6,150,0.021,2.115
hybridep_combine,7,150,0.022,2.519
recompute,0,78,15.09,15.234
recompute,1,78,15.09,15.233
recompute,2,78,15.091,15.227
recompute,3,78,15.09,15.222
recompute,4,78,15.089,15.222
recompute,5,78,15.091,15.231
recompute,6,78,15.09,15.226
recompute,7,78,15.09,15.205
lm_head,0,1,0.553,0.07
lm_head,1,1,0.045,0.071
lm_head,2,1,0.551,0.069
lm_head,3,1,0.045,0.07
lm_head,4,1,0.044,0.07
lm_head,5,1,0.045,0.069
lm_head,6,1,0.046,0.07
lm_head,7,1,0.045,0.07
dsa_indexer,0,42,2.78,0.111
dsa_indexer,1,42,2.734,0.113
dsa_indexer,2,42,2.698,0.111
dsa_indexer,3,42,2.698,0.111
dsa_indexer,4,42,2.678,0.114
dsa_indexer,5,42,2.666,0.111
dsa_indexer,6,42,2.657,0.112
dsa_indexer,7,42,2.666,0.112
dsa_core,0,156,0.053,1.499
dsa_core,1,156,0.058,1.548
dsa_core,2,156,0.062,1.534
dsa_core,3,156,0.061,1.541
dsa_core,4,156,0.06,1.542
dsa_core,5,156,0.061,1.531
dsa_core,6,156,0.061,1.56
dsa_core,7,156,0.062,1.539
