k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
0,7,0.038,77.109,457.054,0.375,forward|layer|moe|hybridep_dispatch
1,7,0.88,0.004,4.544,5.149,forward|layer|moe|moe_experts
2,0,9.301,0.173,24.768,68.606,forward|layer|moe
3,5,0.038,0.004,3.664,0.564,forward|layer|moe
4,3,0.033,0.922,31.302,0.282,forward|layer|moe|hybridep_dispatch
5,0,0.551,0.004,3.988,3.831,forward|layer|moe|moe_experts
6,3,2.348,0.154,18.921,22.493,forward|layer|moe
7,0,0.033,0.001,3.427,0.265,forward|layer|moe
8,7,0.074,0.903,30.903,0.577,forward|layer|moe|hybridep_dispatch
9,0,0.757,0.003,4.612,4.71,forward|layer|moe|moe_experts
10,7,15.218,0.131,29.002,104.372,forward|layer|attention
11,3,0.113,0.003,3.911,1.531,forward|layer|attention
12,6,0.018,3.278,105.685,0.208,forward|layer|moe|hybridep_dispatch
13,0,0.559,0.004,4.026,3.603,forward|layer|moe|moe_experts
14,1,4.365,0.171,19.582,28.286,forward|layer|moe
15,2,0.044,0.003,3.443,0.387,forward|layer|moe
16,6,0.046,0.856,30.938,0.407,forward|layer|moe|hybridep_dispatch
17,1,0.563,0.006,4.696,5.132,forward|layer|moe|moe_experts
18,6,14.454,0.176,28.579,100.358,forward|layer|moe
19,3,0.054,0.003,3.856,0.827,forward|layer|moe
20,6,0.19,0.884,37.936,1.391,forward|layer|moe|hybridep_dispatch
21,1,0.463,0.004,4.492,4.451,forward|layer|moe|moe_experts
22,4,10.591,0.161,25.879,78.407,forward|layer|moe
23,6,0.101,0.002,3.755,1.128,forward|layer|moe
24,4,0.048,0.847,33.719,0.374,forward|layer|moe|hybridep_dispatch
25,7,0.451,0.005,4.103,3.901,forward|layer|moe|moe_experts
26,5,4.967,0.148,20.473,35.513,forward|layer|attention
27,4,0.159,0.004,3.623,1.278,forward|layer|attention
28,6,0.041,3.259,105.992,0.346,forward|layer|moe|hybridep_dispatch
29,0,0.395,0.003,4.499,4.955,forward|layer|moe|moe_experts
30,2,8.809,0.152,23.447,60.545,forward|layer|moe
31,5,0.03,0.005,3.735,0.485,forward|layer|moe
32,3,0.039,0.873,31.276,0.444,forward|layer|moe|hybridep_dispatch
33,7,0.682,0.005,4.396,4.481,forward|layer|moe|moe_experts
34,3,8.559,0.184,24.309,66.641,forward|layer|moe
35,4,0.037,0.004,3.694,0.387,forward|layer|moe
36,4,0.054,0.884,34.042,0.472,forward|layer|moe|hybridep_dispatch
37,3,0.559,0.005,4.945,5.643,forward|layer|moe|moe_experts
38,6,15.639,0.149,31.691,126.095,forward|layer|moe
39,2,0.101,0.004,4.053,1.384,forward|layer|moe
40,6,0.146,0.869,34.638,1.143,forward|layer|moe|hybridep_dispatch
41,1,0.507,0.004,4.656,4.371,forward|layer|moe|moe_experts
42,6,12.409,0.169,27.013,87.336,forward|layer|attention
43,7,0.037,0.004,3.843,0.661,forward|layer|attention
44,3,0.031,3.279,106.661,0.277,forward|layer|moe|hybridep_dispatch
45,7,0.72,0.007,4.283,4.478,forward|layer|moe|moe_experts
46,3,7.382,0.151,22.986,56.363,forward|layer|moe
47,4,0.051,0.003,3.605,0.556,forward|layer|moe
48,2,0.039,0.832,31.611,0.39,forward|layer|moe|hybridep_dispatch
49,1,0.429,0.007,4.67,5.674,forward|layer|moe|moe_experts
50,2,17.644,0.186,30.487,115.82,forward|layer|moe
51,2,0.101,0.004,3.898,0.957,forward|layer|moe
52,4,0.102,0.827,34.401,0.767,forward|layer|moe|hybridep_dispatch
53,1,0.488,0.003,4.613,4.673,forward|layer|moe|moe_experts
54,4,13.253,0.188,28.084,96.38,forward|layer|moe
55,2,0.077,0.006,3.822,0.733,forward|layer|moe
56,4,0.144,0.836,34.05,1.1,forward|layer|moe|hybridep_dispatch
57,1,0.438,0.003,4.852,4.298,forward|layer|moe|moe_experts
58,4,19.942,0.183,32.963,135.539,forward|layer|attention
59,6,0.03,0.002,4.046,0.822,forward|layer|attention
60,3,0.046,3.199,105.468,0.425,forward|layer|moe|hybridep_dispatch
61,1,0.74,0.006,4.722,4.686,forward|layer|moe|moe_experts
62,3,14.945,0.159,30.01,113.237,forward|layer|moe
63,4,0.312,0.005,4.158,2.873,forward|layer|moe
64,4,0.123,1.073,36.491,1.006,forward|layer|moe|hybridep_dispatch
65,3,0.77,0.004,4.915,4.847,forward|layer|moe|moe_experts
66,0,9.522,0.147,24.808,69.669,forward|layer|moe
67,3,0.045,0.003,4.075,1.124,forward|layer|moe
68,4,0.066,0.915,31.06,0.482,forward|layer|moe|hybridep_dispatch
69,0,0.802,0.004,5.015,6.289,forward|layer|moe|moe_experts
70,4,19.833,0.164,31.659,126.854,forward|layer|moe
71,7,0.196,0.003,4.191,1.633,forward|layer|moe
72,6,0.014,0.884,34.857,0.308,forward|layer|moe|hybridep_dispatch
73,1,0.802,0.004,4.978,5.872,forward|layer|moe|moe_experts
74,0,13.745,0.15,28.655,101.109,forward|layer|attention
75,0,0.06,0.003,4.095,0.886,forward|layer|attention
76,6,0.044,3.661,101.876,0.342,forward|layer|moe|hybridep_dispatch
77,0,0.397,0.003,4.723,4.626,forward|layer|moe|moe_experts
78,6,17.113,0.186,30.722,119.454,forward|layer|moe
79,5,0.037,0.004,3.919,0.998,forward|layer|moe
80,6,0.128,0.89,32.944,0.958,forward|layer|moe|hybridep_dispatch
81,0,0.547,0.003,4.338,4.241,forward|layer|moe|moe_experts
82,4,6.379,0.162,21.397,43.033,forward|layer|moe
83,5,0.03,0.004,3.617,0.261,forward|layer|moe
84,1,0.081,0.948,33.741,0.564,forward|layer|moe|hybridep_dispatch
85,7,0.705,0.004,4.044,4.274,forward|layer|moe|moe_experts
86,1,4.521,0.182,20.813,37.218,forward|layer|moe
87,6,0.093,0.004,3.5,0.658,forward|layer|moe
88,1,0.12,0.859,32.724,0.923,forward|layer|moe|hybridep_dispatch
89,0,0.5,0.003,4.266,4.027,forward|layer|moe|moe_experts
90,5,6.812,0.157,22.288,49.77,forward|layer|attention
91,2,0.106,0.003,3.648,0.928,forward|layer|attention
92,7,0.031,3.089,106.587,0.298,forward|layer|moe|hybridep_dispatch
93,0,0.795,0.003,4.69,4.518,forward|layer|moe|moe_experts
94,7,8.567,0.153,23.855,63.244,forward|layer|moe
95,1,0.143,0.003,3.999,1.592,forward|layer|moe
96,1,0.049,0.851,33.618,0.433,forward|layer|moe|hybridep_dispatch
97,1,0.544,0.005,5.001,5.594,forward|layer|moe|moe_experts
98,6,7.377,0.177,24.013,64.463,forward|layer|moe
99,1,0.111,0.006,4.11,1.469,forward|layer|moe
100,3,0.041,0.874,31.67,0.376,forward|layer|moe|hybridep_dispatch
101,0,0.775,0.003,4.81,5.058,forward|layer|moe|moe_experts
102,3,12.896,0.194,27.252,90.445,forward|layer|moe
103,5,0.03,0.006,3.972,1.036,forward|layer|moe
104,3,0.102,0.884,31.761,0.751,forward|layer|moe|hybridep_dispatch
105,1,0.761,0.004,4.874,5.317,forward|layer|moe|moe_experts
106,3,15.941,0.182,30.703,117.763,forward|layer|attention
107,6,0.21,0.005,4.212,2.2,forward|layer|attention
108,2,0.046,3.076,105.453,0.416,forward|layer|moe|hybridep_dispatch
109,3,0.396,0.004,4.405,4.084,forward|layer|moe|moe_experts
110,2,12.137,0.164,27.18,90.137,forward|layer|moe
111,1,0.034,0.004,3.695,0.699,forward|layer|moe
112,3,0.042,0.901,31.227,0.366,forward|layer|moe|hybridep_dispatch
113,0,0.417,0.003,5.006,5.797,forward|layer|moe|moe_experts
114,5,13.289,0.17,26.626,84.858,forward|layer|moe
115,3,0.061,0.004,4.134,0.821,forward|layer|moe
116,5,0.045,0.888,31.642,0.384,forward|layer|moe|hybridep_dispatch
117,3,0.838,0.005,4.976,5.136,forward|layer|moe|moe_experts
118,0,11.327,0.168,24.833,70.816,forward|layer|moe
119,3,0.016,0.004,4.069,0.887,forward|layer|moe
120,0,0.027,0.866,32.316,0.303,forward|layer|moe|hybridep_dispatch
121,0,0.536,0.003,4.968,5.576,forward|layer|moe|moe_experts
122,6,14.284,0.15,29.6,108.693,forward|layer|attention
123,1,0.064,0.003,4.052,1.264,forward|layer|attention
124,3,0.023,3.578,103.152,0.232,forward|layer|moe|hybridep_dispatch
125,1,0.498,0.002,4.183,4.15,forward|layer|moe|moe_experts
126,5,4.845,0.132,20.759,39.543,forward|layer|moe
127,3,0.017,0.003,3.493,0.295,forward|layer|moe
128,6,0.029,0.918,31.146,0.292,forward|layer|moe|hybridep_dispatch
129,0,0.557,0.005,4.809,5.088,forward|layer|moe|moe_experts
130,6,4.99,0.195,21.565,43.377,forward|layer|moe
131,1,0.048,0.003,3.945,0.645,forward|layer|moe
132,6,0.059,0.922,31.58,0.498,forward|layer|moe|hybridep_dispatch
133,1,0.434,0.007,4.875,5.189,forward|layer|moe|moe_experts
134,5,17.921,0.179,31.908,128.567,forward|layer|moe
135,2,0.054,0.006,4.003,1.097,forward|layer|moe
136,7,0.068,0.96,32.093,0.564,forward|layer|moe|hybridep_dispatch
137,0,0.653,0.003,4.39,3.624,forward|layer|moe|moe_experts
138,1,7.191,0.157,22.949,55.552,forward|layer|attention
139,5,0.031,0.005,3.723,0.337,forward|layer|attention
140,2,0.031,3.368,101.785,0.285,forward|layer|moe|hybridep_dispatch
141,3,0.409,0.005,4.477,4.436,forward|layer|moe|moe_experts
142,2,7.948,0.168,23.288,58.641,forward|layer|moe
143,4,0.19,0.005,3.826,1.591,forward|layer|moe
144,0,1.164,4.532,37.317,7.365,forward|layer|moe|hybridep_dispatch
