gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,gemm,21499,5.134,7.529,77.8
0,dsa_backward,312,3.666,56.368,531.1
0,hybridep_sync,900,2.878,75.262,70.9
0,cat_copy,9890,2.682,8.967,12.8
0,nccl,429,1.368,76.062,692.2
0,elementwise,33646,1.237,0.767,8.4
0,dsa_forward,156,1.219,9.235,7713.5
0,dsa_indexer,714,1.063,2.721,1168.3
0,hybridep_dispatch,225,0.975,5.005,4455.4
0,hybridep_combine,225,0.873,4.43,3925.8
0,moe_permute,450,0.772,3.606,1658.5
0,topk_router,836,0.354,4.731,427.2
0,norm,1251,0.308,1.042,45.1
0,hybridep_meta,750,0.194,90.935,1.7
0,activation,381,0.172,1.596,378.4
0,cub_scan_sort,1280,0.076,2.18,1.9
0,other,1076,0.014,0.092,2.3
0,cross_entropy,8,0.006,0.758,757.1
0,nonzero_cub,384,0.001,0.006,1.8
1,gemm,21560,5.165,7.371,75.5
1,dsa_backward,312,3.787,58.16,531.1
1,hybridep_sync,900,3.056,90.587,71.3
1,cat_copy,9907,2.698,9.464,12.9
1,dsa_forward,156,1.257,9.659,7941.8
1,elementwise,33680,1.239,0.765,8.5
1,nccl,429,1.167,72.825,593.3
1,dsa_indexer,756,1.073,3.112,1506.5
1,hybridep_dispatch,225,0.972,4.986,4445.7
1,hybridep_combine,225,0.876,4.508,3917.9
1,moe_permute,450,0.774,4.1,1618.1
1,topk_router,836,0.359,6.071,427.7
1,norm,1251,0.308,1.062,45.1
1,hybridep_meta,750,0.19,90.935,1.7
1,activation,381,0.175,2.056,357.6
1,cub_scan_sort,1276,0.077,2.114,2.0
1,other,1070,0.014,0.097,2.3
1,cross_entropy,8,0.006,0.762,760.0
1,nonzero_cub,369,0.001,0.006,1.8
2,gemm,21556,5.1,7.421,76.5
2,dsa_backward,312,3.74,52.737,529.5
2,hybridep_sync,900,3.057,102.272,77.2
2,cat_copy,9907,2.671,8.397,12.8
2,nccl,429,1.323,74.855,714.0
2,dsa_forward,156,1.246,10.056,7889.9
2,elementwise,33764,1.233,0.763,8.4
2,dsa_indexer,840,1.057,2.292,764.7
2,hybridep_dispatch,225,0.979,5.108,4451.5
2,hybridep_combine,225,0.873,4.441,3902.3
2,moe_permute,450,0.787,3.647,1703.4
2,topk_router,836,0.432,7.21,427.3
2,norm,1251,0.306,1.019,45.1
2,activation,381,0.247,2.081,572.8
2,hybridep_meta,750,0.183,90.902,1.6
2,cub_scan_sort,1276,0.076,2.058,2.0
2,other,1070,0.014,0.09,2.3
2,cross_entropy,8,0.006,0.759,757.4
2,nonzero_cub,369,0.001,0.006,1.8
3,gemm,21522,5.128,7.525,75.2
3,dsa_backward,312,3.779,55.674,532.0
3,hybridep_sync,900,3.061,115.09,651.5
3,cat_copy,9907,2.696,8.845,12.9
3,dsa_forward,156,1.255,10.325,7940.4
3,elementwise,33764,1.238,0.764,8.5
3,dsa_indexer,840,1.079,3.139,1861.1
3,nccl,429,0.995,43.862,640.3
3,hybridep_combine,225,0.876,4.621,3936.3
3,hybridep_dispatch,225,0.817,4.256,3726.3
3,moe_permute,450,0.799,4.179,1745.6
3,topk_router,836,0.358,4.604,427.0
3,norm,1251,0.308,1.037,45.1
3,activation,381,0.176,1.567,374.8
3,hybridep_meta,750,0.103,12.624,1.9
3,cub_scan_sort,1276,0.077,2.106,2.2
3,other,1070,0.014,0.106,2.4
3,cross_entropy,8,0.006,0.76,757.9
3,nonzero_cub,369,0.001,0.006,1.9
4,gemm,21567,5.064,7.35,75.7
4,dsa_backward,312,3.774,57.306,529.4
4,hybridep_sync,900,3.239,113.758,80.3
4,cat_copy,9907,2.685,9.157,12.8
4,dsa_forward,156,1.256,10.592,7942.3
4,elementwise,33848,1.236,0.765,8.5
4,nccl,429,1.174,74.781,701.0
4,dsa_indexer,924,1.084,3.104,1324.7
4,hybridep_dispatch,225,0.968,5.065,4423.3
4,hybridep_combine,225,0.869,4.427,3886.7
4,moe_permute,450,0.774,3.941,1602.0
4,topk_router,836,0.356,5.671,426.6
4,norm,1251,0.308,1.018,44.8
4,hybridep_meta,750,0.185,90.89,1.7
4,activation,381,0.174,1.756,365.5
4,cub_scan_sort,1276,0.077,2.082,2.0
4,other,1070,0.014,0.107,2.2
4,cross_entropy,8,0.006,0.759,757.4
4,nonzero_cub,369,0.001,0.006,1.8
5,gemm,21575,4.981,7.05,77.3
5,dsa_backward,312,3.776,56.049,529.4
5,hybridep_sync,900,3.317,103.846,82.5
5,cat_copy,9907,2.676,8.729,12.9
5,dsa_forward,156,1.251,10.112,7914.0
5,elementwise,33890,1.233,0.766,8.1
5,nccl,429,1.216,70.728,719.5
5,dsa_indexer,966,1.119,2.895,1511.4
5,hybridep_dispatch,225,0.987,4.98,4498.7
5,hybridep_combine,225,0.877,4.588,3929.5
5,moe_permute,450,0.756,3.621,1535.0
5,topk_router,836,0.347,4.669,426.7
5,norm,1251,0.307,1.045,44.8
5,hybridep_meta,750,0.176,90.892,1.7
5,activation,381,0.169,1.621,365.4
5,cub_scan_sort,1276,0.077,2.145,2.0
5,other,1070,0.014,0.095,2.2
5,cross_entropy,8,0.006,0.758,757.9
5,nonzero_cub,369,0.001,0.006,1.8
6,gemm,21583,5.361,7.756,75.7
6,dsa_backward,312,3.798,53.816,528.1
6,hybridep_sync,900,2.946,90.624,673.2
6,cat_copy,9907,2.696,8.506,12.9
6,dsa_forward,156,1.266,10.668,7954.7
6,elementwise,33722,1.237,0.764,8.0
6,dsa_indexer,798,1.211,3.223,1548.6
6,nccl,429,1.074,71.491,649.4
6,moe_permute,450,0.879,3.769,1839.1
6,hybridep_combine,225,0.853,4.443,3795.6
6,hybridep_dispatch,225,0.763,4.176,3481.0
6,topk_router,836,0.383,5.082,424.8
6,norm,1251,0.308,1.033,44.8
6,activation,381,0.196,1.702,421.8
6,hybridep_meta,750,0.186,90.844,1.7
6,cub_scan_sort,1276,0.076,2.071,1.9
6,other,1070,0.014,0.108,2.3
6,cross_entropy,8,0.006,0.76,757.1
6,nonzero_cub,369,0.001,0.006,1.8
7,gemm,21564,4.907,7.335,74.1
7,dsa_backward,312,3.743,57.01,527.6
7,hybridep_sync,900,3.41,106.169,88.3
7,cat_copy,9907,2.667,8.418,12.9
7,dsa_forward,156,1.251,8.967,7931.6
7,elementwise,33722,1.232,0.766,8.4
7,nccl,429,1.217,72.84,718.7
7,dsa_indexer,798,1.189,2.903,1384.5
7,hybridep_dispatch,225,0.984,5.004,4451.0
7,hybridep_combine,225,0.868,4.48,3886.8
7,moe_permute,450,0.751,3.545,1632.5
7,topk_router,836,0.342,4.202,424.1
7,norm,1251,0.306,1.03,45.1
7,hybridep_meta,750,0.188,90.914,1.7
7,activation,381,0.165,1.441,380.3
7,cub_scan_sort,1276,0.076,2.043,2.0
7,other,1070,0.014,0.091,2.2
7,cross_entropy,8,0.006,0.76,758.1
7,nonzero_cub,369,0.001,0.006,1.8
