k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,104.072,122.604,1.178,0,122.604,109.766,98.697,71.231,108.573,115.576,96.313,109.82
1,107.709,111.561,1.036,1,108.693,111.561,106.122,111.097,107.035,108.011,104.924,104.225
2,79.799,86.468,1.084,7,77.418,77.158,77.499,77.701,78.666,81.594,81.888,86.468
3,17.985,22.551,1.254,4,21.077,18.874,21.249,18.702,22.551,16.306,13.858,11.263
4,10.921,11.323,1.037,1,10.509,11.323,10.836,10.762,11.037,10.808,11.041,11.051
5,11.212,11.71,1.044,6,11.695,11.113,11.616,10.926,10.947,10.843,11.71,10.846
6,72.536,79.018,1.089,7,69.921,69.848,70.199,70.321,70.599,72.829,77.555,79.018
7,11.104,12.167,1.096,1,10.456,12.167,10.881,11.232,10.865,11.065,11.001,11.166
8,12.818,13.574,1.059,6,12.387,12.926,12.604,12.933,12.683,12.632,13.574,12.808
9,11.238,11.386,1.013,3,10.998,11.216,11.386,11.386,11.265,11.303,11.056,11.297
10,76.888,81.71,1.063,7,73.209,74.414,73.698,76.239,75.873,78.92,81.043,81.71
11,10.837,11.064,1.021,3,10.558,10.814,11.042,11.064,10.772,10.83,10.83,10.786
12,11.11,11.529,1.038,3,10.641,10.952,10.944,11.529,11.527,11.154,11.103,11.028
13,12.417,13.062,1.052,6,12.051,12.426,12.318,12.326,12.347,12.402,13.062,12.405
14,72.448,81.458,1.124,6,69.46,69.248,69.561,69.673,70.676,72.179,81.458,77.327
15,11.115,11.327,1.019,3,10.795,11.263,11.061,11.327,11.233,11.021,11.134,11.088
16,12.353,14.38,1.164,2,11.707,11.862,14.38,12.003,12.231,11.946,12.665,12.03
17,12.701,13.505,1.063,4,12.237,12.529,12.631,12.598,13.505,12.646,12.712,12.753
18,77.631,84.993,1.095,4,73.674,73.722,74.052,74.247,84.993,76.949,82.311,81.103
19,10.861,11.641,1.072,4,10.491,10.964,10.745,10.751,11.641,10.72,10.781,10.794
20,11.059,11.266,1.019,7,10.995,10.984,11.009,11.196,11.026,11.008,10.99,11.266
21,12.114,12.741,1.052,4,11.695,12.102,11.923,12.107,12.741,11.995,12.107,12.241
22,75.579,80.315,1.063,7,79.283,71.942,72.344,72.569,73.255,75.375,79.547,80.315
23,10.888,11.061,1.016,3,10.545,10.802,10.812,11.061,10.977,11.002,11.03,10.876
24,10.961,12.074,1.102,6,10.959,10.812,10.683,10.642,11.015,10.706,12.074,10.798
25,11.56,11.731,1.015,6,11.308,11.712,11.572,11.506,11.613,11.545,11.731,11.492
26,74.636,80.321,1.076,6,73.082,69.9,72.562,74.783,70.484,79.122,80.321,76.832
27,10.499,10.704,1.02,7,10.376,10.437,10.433,10.593,10.496,10.467,10.486,10.704
28,11.203,11.966,1.068,5,11.019,11.025,11.012,11.018,11.182,11.966,11.325,11.076
29,11.13,11.546,1.037,3,10.852,11.19,11.079,11.546,11.004,11.151,11.198,11.019
30,75.125,80.99,1.078,3,71.762,72.654,71.601,80.99,71.848,75.052,78.942,78.154
31,11.206,11.445,1.021,2,11.09,11.172,11.445,11.248,11.22,11.115,11.196,11.161
32,11.314,11.55,1.021,3,10.988,11.199,11.293,11.55,11.302,11.549,11.33,11.303
33,11.633,12.08,1.038,2,11.884,11.473,12.08,11.465,11.388,11.694,11.553,11.529
34,75.184,82.778,1.101,6,73.123,75.435,72.329,72.313,72.315,74.677,82.778,78.5
35,10.833,11.048,1.02,3,10.519,10.968,10.715,11.048,10.767,11.006,10.806,10.837
36,11.417,11.786,1.032,6,10.93,11.68,11.206,11.487,11.651,11.428,11.786,11.166
37,11.931,14.102,1.182,5,11.52,11.476,11.696,11.994,11.617,14.102,11.358,11.684
38,74.801,78.951,1.055,6,71.341,75.176,71.787,73.466,72.125,77.202,78.951,78.358
39,10.89,11.272,1.035,2,10.512,10.796,11.272,10.905,10.742,10.92,11.008,10.969
40,10.799,11.025,1.021,4,10.639,10.792,10.796,10.763,11.025,10.788,10.729,10.858
41,11.431,11.969,1.047,5,11.268,11.36,11.277,11.304,11.455,11.969,11.391,11.422
42,73.1,78.486,1.074,6,71.718,70.395,70.915,70.92,70.933,74.066,78.486,77.364
43,10.702,11.436,1.069,6,10.528,10.565,10.58,10.534,10.569,10.596,11.436,10.812
44,11.582,12.042,1.04,3,11.299,11.553,11.514,12.042,11.634,11.591,11.639,11.382
45,11.706,11.98,1.023,2,11.958,11.465,11.98,11.614,11.696,11.546,11.54,11.849
46,97.711,104.898,1.074,6,98.54,99.678,98.401,99.274,102.578,73.55,104.898,104.771
47,11.326,11.631,1.027,7,11.131,11.472,11.287,11.26,11.257,11.277,11.297,11.631
48,11.799,12.314,1.044,6,11.53,11.909,11.644,11.657,11.761,11.729,12.314,11.845
49,11.915,12.421,1.042,1,11.578,12.421,11.831,11.991,11.806,11.807,11.822,12.064
50,77.808,82.183,1.056,6,74.764,80.749,76.49,74.713,75.092,77.453,82.183,81.015
51,10.618,11.105,1.046,4,10.382,10.511,10.78,10.496,11.105,10.572,10.554,10.542
52,11.81,12.329,1.044,6,11.427,11.727,11.69,11.61,12.127,11.778,12.329,11.794
53,10.767,11.41,1.06,0,11.41,10.558,10.583,10.565,10.971,10.591,10.822,10.634
54,74.596,78.86,1.057,6,71.881,71.812,72.227,71.887,77.606,74.463,78.86,78.034
55,11.03,11.455,1.039,3,10.519,10.858,11.024,11.455,10.897,11.183,11.324,10.977
56,11.365,11.583,1.019,5,11.024,11.267,11.223,11.43,11.488,11.583,11.405,11.497
57,12.308,13.196,1.072,3,12.082,12.106,12.11,13.196,12.246,12.102,12.122,12.504
58,78.433,82.468,1.051,3,77.151,77.482,81.285,82.468,73.353,75.39,80.229,80.101
59,10.87,11.087,1.02,2,10.578,10.984,11.087,10.832,10.844,10.797,10.855,10.981
60,11.021,11.39,1.034,2,10.61,10.878,11.39,11.151,10.905,11.129,10.915,11.187
61,10.755,11.006,1.023,6,10.739,10.685,10.507,10.717,10.613,10.823,11.006,10.955
62,74.83,78.229,1.045,7,75.178,73.707,71.267,71.367,76.85,73.815,78.227,78.229
63,11.042,11.246,1.018,1,10.789,11.246,11.039,11.161,11.018,11.177,11.023,10.882
64,11.432,12.346,1.08,6,11.087,11.434,11.557,11.306,11.307,11.203,12.346,11.221
65,11.32,11.481,1.014,6,11.336,11.43,11.222,11.232,11.41,11.184,11.481,11.261
66,76.545,83.479,1.091,6,74.816,76.963,73.789,73.689,73.634,76.119,83.479,79.867
67,11.884,12.281,1.033,1,11.465,12.281,11.76,11.744,11.736,11.914,12.131,12.039
68,10.704,10.959,1.024,4,10.54,10.726,10.872,10.633,10.959,10.534,10.813,10.553
69,11.549,12.099,1.048,5,11.369,11.398,11.329,11.475,11.533,12.099,11.649,11.539
70,74.281,78.523,1.057,6,71.581,71.122,71.448,72.632,75.606,75.573,78.523,77.762
71,11.073,11.348,1.025,3,10.74,11.185,11.0,11.348,11.054,11.017,11.229,11.012
72,11.811,12.411,1.051,2,11.456,12.122,12.411,11.731,11.646,11.578,11.93,11.611
73,10.826,11.086,1.024,3,10.809,10.716,10.86,11.086,10.701,10.699,10.683,11.056
74,76.227,80.029,1.05,6,73.722,73.744,74.375,73.854,74.995,79.213,80.029,79.883
75,10.695,11.227,1.05,7,10.377,10.564,10.549,10.627,10.954,10.618,10.647,11.227
76,11.137,12.867,1.155,6,10.625,10.866,10.847,10.864,10.954,11.068,12.867,11.008
77,11.737,12.558,1.07,3,11.423,11.433,11.414,12.558,11.485,11.96,11.879,11.747
78,25.882,29.061,1.123,7,26.094,11.024,28.401,28.808,28.616,28.023,27.029,29.061
79,10.75,10.927,1.016,6,10.546,10.541,10.795,10.803,10.806,10.741,10.927,10.844
80,10.628,10.798,1.016,6,10.375,10.646,10.643,10.383,10.731,10.711,10.798,10.738
81,13.39,13.518,1.01,7,13.142,13.458,13.272,13.447,13.477,13.493,13.311,13.518
82,10.486,10.563,1.007,7,10.157,10.514,10.516,10.543,10.498,10.555,10.544,10.563
83,10.384,10.479,1.009,6,10.15,10.334,10.417,10.408,10.39,10.436,10.479,10.461
84,10.529,10.656,1.012,6,10.185,10.519,10.536,10.563,10.547,10.604,10.656,10.619
85,26.114,28.028,1.073,6,27.852,27.909,27.786,13.309,27.987,28.018,28.028,28.025
86,10.602,10.729,1.012,4,10.423,10.411,10.617,10.59,10.729,10.671,10.684,10.688
87,10.416,10.55,1.013,6,10.214,10.399,10.407,10.397,10.485,10.403,10.55,10.475
88,10.415,10.557,1.014,7,10.129,10.454,10.443,10.439,10.432,10.362,10.508,10.557
89,13.836,14.058,1.016,6,13.742,13.852,13.201,13.971,13.901,13.948,14.058,14.013
90,10.379,10.454,1.007,6,10.197,10.405,10.375,10.364,10.39,10.401,10.454,10.444
91,10.767,10.933,1.015,6,10.58,10.461,10.799,10.828,10.824,10.861,10.933,10.852
92,10.483,10.546,1.006,6,10.194,10.515,10.513,10.541,10.531,10.493,10.546,10.532
93,13.508,13.628,1.009,7,13.414,13.386,13.456,13.526,13.621,13.42,13.613,13.628
94,10.854,11.055,1.019,6,10.687,10.497,10.887,10.895,10.94,10.861,11.055,11.008
95,10.583,10.728,1.014,6,10.152,10.58,10.574,10.639,10.65,10.636,10.728,10.707
96,10.494,10.573,1.008,6,10.18,10.492,10.557,10.557,10.549,10.475,10.573,10.569
97,13.615,13.743,1.009,3,13.504,13.603,13.495,13.743,13.731,13.647,13.513,13.686
98,10.552,10.691,1.013,4,10.375,10.367,10.521,10.614,10.691,10.589,10.668,10.591
99,10.681,10.814,1.012,6,10.491,10.722,10.33,10.784,10.735,10.774,10.814,10.8
100,10.35,10.452,1.01,6,10.151,10.365,10.335,10.368,10.399,10.342,10.452,10.389
101,13.326,13.454,1.01,3,13.237,13.277,13.273,13.454,13.345,13.314,13.368,13.339
102,10.426,10.507,1.008,7,10.218,10.415,10.424,10.485,10.502,10.41,10.444,10.507
103,10.496,10.632,1.013,6,10.246,10.482,10.495,10.528,10.425,10.551,10.632,10.606
104,10.398,10.511,1.011,7,10.178,10.475,10.355,10.384,10.407,10.412,10.462,10.511
105,14.125,14.502,1.027,7,14.262,14.324,13.352,14.5,14.326,13.445,14.291,14.502
106,10.52,10.633,1.011,6,10.178,10.521,10.546,10.516,10.564,10.582,10.633,10.618
107,10.503,10.643,1.013,6,10.244,10.414,10.526,10.543,10.527,10.56,10.643,10.57
108,10.366,10.449,1.008,6,10.142,10.358,10.368,10.38,10.428,10.422,10.449,10.382
109,13.656,13.813,1.012,4,13.635,13.6,13.724,13.449,13.813,13.791,13.54,13.695
110,10.534,10.753,1.021,6,10.295,10.521,10.486,10.517,10.619,10.573,10.753,10.505
111,10.519,10.682,1.015,6,10.318,10.455,10.491,10.502,10.486,10.579,10.682,10.641
112,10.795,10.972,1.016,6,10.416,10.819,10.797,10.847,10.839,10.798,10.972,10.869
113,13.601,13.799,1.015,6,13.484,13.611,13.458,13.598,13.789,13.506,13.799,13.561
114,10.54,10.633,1.009,7,10.35,10.535,10.542,10.595,10.59,10.603,10.47,10.633
115,10.603,10.826,1.021,6,10.421,10.47,10.566,10.606,10.643,10.606,10.826,10.684
116,10.543,10.692,1.014,6,10.354,10.424,10.566,10.557,10.567,10.517,10.692,10.664
