k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,11.71,11.898,1.016,1,11.858,11.898,11.699,11.696,11.679,11.656,11.548,11.648
1,11.728,11.927,1.017,0,11.927,11.885,11.743,11.742,11.704,11.624,11.522,11.679
2,11.752,12.027,1.023,0,12.027,11.937,11.744,11.74,11.725,11.645,11.514,11.683
3,30.861,39.921,1.294,0,39.921,29.118,30.978,24.534,28.343,37.841,30.602,25.555
4,30.246,32.268,1.067,3,31.66,30.975,31.946,32.268,28.527,26.701,30.756,29.134
5,111.255,135.166,1.215,7,125.176,119.425,118.435,33.3,119.281,118.825,120.429,135.166
6,35.756,41.729,1.167,1,37.987,41.729,40.891,36.014,35.137,35.703,32.435,26.154
7,31.521,41.998,1.332,6,30.455,33.225,30.443,32.176,28.324,26.864,41.998,28.682
8,34.348,43.651,1.271,4,36.785,30.99,32.548,31.459,43.651,31.143,33.665,34.547
9,29.813,35.049,1.176,5,30.38,28.794,28.661,27.341,29.952,35.049,27.284,31.04
10,34.15,44.676,1.308,2,36.101,32.619,44.676,35.42,29.282,32.544,34.993,27.564
11,30.232,37.335,1.235,3,28.189,23.944,33.623,37.335,33.561,29.913,29.5,25.794
12,31.493,45.306,1.439,6,28.251,34.867,35.047,20.862,23.248,32.959,45.306,31.404
13,32.86,39.524,1.203,6,32.602,30.193,32.233,28.964,35.626,27.407,39.524,36.333
14,38.727,47.708,1.232,3,38.058,44.037,46.592,47.708,41.895,35.519,26.565,29.438
15,30.899,44.296,1.434,2,24.561,25.522,44.296,28.084,32.922,27.832,37.543,26.432
16,32.53,43.491,1.337,4,36.025,30.352,27.615,31.655,43.491,26.112,33.045,31.948
17,34.6,46.82,1.353,4,30.552,30.599,30.124,33.537,46.82,30.341,37.193,37.632
18,39.524,55.249,1.398,3,39.719,43.46,43.145,55.249,36.834,34.118,27.238,36.433
19,31.389,39.813,1.268,0,39.813,25.145,38.636,29.321,27.289,25.456,31.434,34.016
20,30.723,46.717,1.521,4,26.932,37.139,25.987,20.219,46.717,27.732,22.171,38.889
21,33.305,47.062,1.413,0,47.062,25.136,38.721,29.302,29.787,26.173,37.236,33.022
22,34.737,42.568,1.225,6,29.695,36.594,34.734,37.524,34.955,42.294,42.568,19.53
23,30.243,35.224,1.165,1,32.217,35.224,27.61,26.424,35.116,27.728,33.594,24.033
24,30.553,34.599,1.132,1,29.647,34.599,32.522,32.336,27.941,31.842,28.306,27.228
25,30.766,36.966,1.202,5,31.562,30.068,29.548,34.946,24.938,36.966,28.758,29.339
26,35.891,45.13,1.257,1,39.223,45.13,35.204,33.825,35.061,31.562,25.743,41.38
27,30.571,36.457,1.193,5,34.89,24.474,25.085,30.475,32.044,36.457,35.723,25.421
28,31.365,40.18,1.281,3,29.368,36.999,31.538,40.18,24.751,39.133,27.66,21.292
29,31.262,43.458,1.39,3,31.489,27.862,30.226,43.458,25.354,31.744,33.571,26.393
30,37.057,51.893,1.4,2,39.976,39.701,51.893,30.352,37.075,33.532,27.505,36.425
31,31.717,42.364,1.336,5,24.776,30.222,27.276,36.11,28.409,42.364,35.394,29.182
32,31.947,40.866,1.279,0,40.866,28.73,35.614,25.599,30.237,37.975,26.892,29.66
33,32.005,43.213,1.35,6,31.093,38.094,24.578,26.794,32.358,27.602,43.213,32.304
34,37.621,44.833,1.192,3,42.563,36.144,35.888,44.833,38.519,43.118,28.724,31.18
35,30.808,33.949,1.102,6,24.869,29.44,32.448,28.747,33.368,31.194,33.949,32.447
36,31.127,45.578,1.464,5,28.194,21.98,30.43,28.707,23.944,45.578,38.593,31.586
37,32.081,38.871,1.212,1,34.213,38.871,35.2,35.001,26.573,26.108,29.717,30.967
38,33.763,43.723,1.295,2,38.337,31.977,43.723,30.305,41.42,25.601,33.955,24.786
39,30.611,43.033,1.406,0,43.033,29.402,29.604,29.083,32.72,28.219,27.319,25.505
40,30.43,37.719,1.24,5,30.774,33.804,27.457,25.306,34.052,37.719,25.885,28.448
41,31.006,39.534,1.275,1,32.628,39.534,28.874,29.853,34.448,25.299,27.295,30.118
42,35.657,39.576,1.11,6,36.187,36.516,37.743,33.263,34.301,32.058,39.576,35.611
43,30.912,40.259,1.302,7,31.754,28.182,29.629,34.813,30.955,26.066,25.638,40.259
44,31.24,37.575,1.203,0,37.575,28.147,33.362,26.465,34.208,35.143,25.653,29.37
45,31.839,41.624,1.307,4,29.993,37.738,22.539,34.746,41.624,28.695,30.406,28.968
46,34.149,39.944,1.17,7,33.708,38.005,39.808,32.787,33.047,31.761,24.136,39.944
47,31.759,42.495,1.338,6,31.924,30.291,26.443,35.022,28.61,26.846,42.495,32.445
48,33.087,42.326,1.279,1,33.056,42.326,29.005,39.524,27.074,33.961,28.693,31.056
49,32.751,52.574,1.605,1,28.104,52.574,37.009,26.964,27.015,29.512,33.11,27.723
50,34.928,45.866,1.313,0,45.866,25.542,41.35,40.14,39.057,32.661,26.97,27.842
51,30.697,42.132,1.373,6,30.846,27.999,31.232,24.489,39.611,23.782,42.132,25.485
52,32.214,42.059,1.306,0,42.059,25.486,39.305,24.443,34.608,29.6,34.873,27.336
53,31.334,47.165,1.505,4,24.57,29.404,33.91,25.096,47.165,29.958,26.836,33.732
54,34.526,41.086,1.19,3,35.585,30.737,36.521,41.086,28.295,38.19,37.956,27.836
55,31.305,37.3,1.192,7,29.977,25.807,34.306,30.184,33.997,31.73,27.142,37.3
56,31.198,37.258,1.194,3,35.531,28.278,25.219,37.258,30.898,30.743,25.278,36.383
57,34.467,42.393,1.23,2,33.38,33.636,42.393,37.027,32.859,27.725,30.975,37.736
58,34.969,50.129,1.434,1,33.046,50.129,40.443,25.979,33.716,30.806,28.036,37.595
59,32.264,42.897,1.33,2,26.258,29.014,42.897,33.258,32.966,33.652,29.102,30.968
60,29.79,32.199,1.081,7,31.072,29.752,27.342,30.328,26.439,29.983,31.201,32.199
61,30.233,39.847,1.318,4,34.358,29.765,27.788,23.297,39.847,24.484,27.618,34.707
62,33.461,42.337,1.265,1,31.862,42.337,38.823,38.045,26.016,39.757,24.282,26.566
63,30.382,35.097,1.155,1,27.449,35.097,31.627,32.872,27.366,31.243,33.102,24.301
64,30.53,36.283,1.188,0,36.283,29.821,24.782,29.789,28.943,30.346,32.789,31.485
65,31.202,44.336,1.421,1,29.696,44.336,31.848,28.653,25.585,30.187,31.207,28.1
66,36.687,42.948,1.171,1,35.044,42.948,39.711,30.392,32.729,39.444,35.976,37.25
67,36.705,45.225,1.232,4,38.721,30.33,43.612,28.229,45.225,36.428,34.793,36.305
68,30.17,37.931,1.257,0,37.931,23.849,30.164,27.916,25.763,34.893,31.07,29.772
69,31.42,40.377,1.285,3,30.098,23.366,33.453,40.377,34.514,35.67,25.0,28.884
70,33.663,45.944,1.365,1,33.904,45.944,42.65,38.799,26.362,23.774,36.072,21.8
71,31.093,39.978,1.286,1,24.102,39.978,37.453,36.039,22.872,27.102,33.57,27.63
72,32.235,41.015,1.272,0,41.015,28.292,29.537,35.396,32.128,28.178,29.423,33.908
73,30.577,40.413,1.322,5,22.931,29.697,28.774,23.313,32.766,40.413,35.477,31.246
74,33.553,43.21,1.288,4,38.559,27.943,29.59,35.894,43.21,28.573,31.963,32.694
75,30.367,44.418,1.463,6,22.441,24.585,35.083,32.993,27.171,27.696,44.418,28.55
76,31.068,38.941,1.253,6,35.739,23.967,23.69,37.201,21.353,34.038,38.941,33.618
77,31.081,50.47,1.624,1,26.527,50.47,36.25,24.895,29.024,43.354,18.675,19.451
78,30.403,49.05,1.613,1,25.668,49.05,35.207,24.851,27.517,42.896,19.446,18.59
79,29.331,37.719,1.286,6,33.716,21.837,21.706,35.635,19.369,32.512,37.719,32.154
80,29.764,43.849,1.473,6,22.095,23.903,34.48,31.859,26.939,26.751,43.849,28.236
81,29.466,38.324,1.301,4,31.906,20.99,24.013,28.995,38.324,27.158,32.106,32.239
82,30.276,39.999,1.321,5,22.755,29.501,28.248,23.154,32.357,39.999,35.034,31.164
83,40.718,50.734,1.246,0,50.734,39.259,39.843,45.498,41.49,25.547,39.686,43.685
84,30.177,38.772,1.285,1,23.222,38.772,36.147,35.956,22.198,25.927,32.636,26.562
85,29.928,38.43,1.284,1,27.04,38.43,35.941,33.463,25.401,21.542,36.172,21.437
86,29.487,38.245,1.297,3,28.214,20.832,31.346,38.245,32.154,35.208,23.204,26.692
87,29.891,37.998,1.271,0,37.998,23.78,29.87,27.279,25.591,33.992,31.254,29.363
88,29.506,36.481,1.236,4,30.285,23.222,34.622,28.699,36.481,28.154,26.193,28.394
