range,instances_all_pids,instances_in_window,wall_s_per_pid_mean,gpu_kernel_s_per_gpu_mean
forward_backward,8,8,23.301,23.173
backward,8,8,16.226,16.233
autograd::engine::evaluate_function: CheckpointFunctionBackward,546,546,16.113,16.142
CheckpointFunctionBackward,546,546,16.112,16.142
recompute,624,624,16.11,16.109
megatron.core.transformer.transformer_layer._run_mlp.mlp,1248,1248,11.911,6.962
forward,8,8,6.994,6.939
moe,1200,1200,11.876,6.892
CheckpointFunction,546,546,6.871,6.857
megatron.core.transformer.transformer_layer._forward_attention.self_attention,1248,1248,3.942,5.39
autograd::engine::evaluate_function: FusedSparseAttentionFuncBackward,546,546,5.852,4.935
FusedSparseAttentionFuncBackward,546,546,5.851,4.935
nvte_cublas_gemm_v2,139110,139110,0.938,4.566
hybrid-ep combine with unpermute phase,1800,1800,0.02,3.897
flash_attn_bwd_sm100_kernel,624,624,0.005,3.758
combine_core in hybrid-ep,1800,1800,0.008,3.471
attention,1248,1248,3.228,3.274
nvte_multi_tensor_gemm,3600,3600,0.955,2.876
HybridEPCombine,1050,1050,0.017,2.48
moe_combine,1200,1200,0.023,2.472
hybridep_combine,1200,1200,0.022,2.472
moe_experts,1200,1200,1.119,2.107
hybrid-ep dispatch with permute phase,1800,1800,0.321,1.999
HybridEPDispatch,1050,1050,0.294,1.589
moe_dispatch,1200,1200,0.331,1.567
hybridep_dispatch,1200,1200,0.33,1.567
dsa_core,1248,1248,0.06,1.539
dispatch_core in hybrid-ep,1800,1800,0.008,1.452
hybridep_dispatch_bwd,600,600,0.008,1.426
autograd::engine::evaluate_function: HybridEPDispatchBackward,525,525,0.011,1.422
HybridEPDispatchBackward,525,525,0.01,1.422
aten::cat,18774,18774,0.038,1.284
FusedSparseAttentionFunc,1092,1092,0.028,1.267
flash_mla_sparse_fwd,1248,1248,0.008,1.25
record_param_comms,4109,4060,0.171,1.167
autograd::engine::evaluate_function: _GroupedLinearBackward,1050,1050,0.495,0.979
_GroupedLinearBackward,1050,1050,0.489,0.979
_GroupedLinear,1050,1050,0.194,0.949
indexer_fwd_kernel,3318,3318,0.045,0.887
aten::copy_,46459,33273,0.31,0.763
ncclReduceScatter,624,624,0.018,0.702
autograd::engine::evaluate_function: _GatherFromSequenceParallelRegionBackward,546,546,0.037,0.691
_GatherFromSequenceParallelRegionBackward,546,546,0.036,0.691
c10d::_reduce_scatter_base_,546,546,0.031,0.691
nccl:_reduce_scatter_base,546,546,0.024,0.691
autograd::engine::evaluate_function: _LinearBackward,5439,5439,0.118,0.65
aten::contiguous,4914,4914,0.02,0.617
aten::clone,6265,6265,0.025,0.617
_LinearBackward,5439,5439,0.101,0.549
_Linear,5439,5439,0.084,0.515
autograd::engine::evaluate_function: HybridEPCombineBackward,525,525,0.009,0.432
HybridEPCombineBackward,525,525,0.009,0.432
hybridep_combine_bwd,600,600,0.008,0.432
combine_preprocess in hybrid-ep,1800,1800,0.004,0.427
aten::mul,37324,37317,0.081,0.366
dispatch_postprocess in hybrid-ep,1800,1800,0.002,0.36
moe_shared_experts,1200,1200,0.286,0.338
aten::add,25977,25928,0.062,0.326
aten::mm,17976,17976,0.106,0.32
ncclAllGather,1592,1592,0.037,0.286
_GatherFromSequenceParallelRegion,1386,1386,0.089,0.28
c10d::_allgather_base_,1393,1393,0.077,0.28
nccl:_all_gather_base,1393,1393,0.053,0.28
Torch-Compiled Region: 10/1,75,75,0.015,0.278
## Call CompiledFxGraph fh4rc4hrzhvxpzvc57iukild5cnxt3jwggjzejii65tk3mhftgnu ##,75,75,0.01,0.278
aten::gather,7056,7056,0.018,0.271
aten::index_copy_,546,546,0.002,0.252
## Call CompiledFxGraph fnvtskg5gtczk57au7ulhoryz2n5azih2rvn7wbbtwmldw4qt6bx ##,150,150,0.087,0.25
aten::index_select,4893,4893,0.025,0.247
layer:35,16,16,0.302,0.235
## Call CompiledFxGraph fz3lak3mb2g7nbxzpjgz5qy7bf7i5sb7c4vj565k63fooshrhais ##,75,75,0.009,0.234
layer:47,16,16,0.282,0.227
layer:6,16,16,0.266,0.224
