waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,1498299374,9.979,7,0.0,1.032,laggard_gpu_busy,gemm=7.2ms;moe_permute=3.1ms;hybridep_meta=0.0ms,forward|attention|dsa_indexer
0,1692539576,13.824,6,0.0,1.048,laggard_gpu_busy,gemm=10.2ms;moe_permute=3.0ms;activation=1.0ms,forward|moe
0,1770287747,8.377,4,0.0,1.034,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.8ms;hybridep_meta=0.0ms,forward|moe
0,1965018418,10.753,2,0.0,1.033,laggard_gpu_busy,gemm=6.5ms;moe_permute=2.8ms;activation=1.5ms,forward|moe
0,2028858979,11.04,3,0.0,1.037,laggard_gpu_busy,gemm=7.6ms;moe_permute=2.7ms;activation=0.9ms,forward|moe
0,2092892565,19.928,6,0.0,1.035,laggard_gpu_busy,gemm=15.4ms;moe_permute=3.7ms;activation=1.2ms,forward|moe
0,2172087117,11.851,6,0.0,1.041,laggard_gpu_busy,gemm=8.0ms;moe_permute=3.0ms;activation=1.0ms,forward|attention|dsa_indexer
0,2308122877,11.55,3,0.0,1.036,laggard_gpu_busy,gemm=8.2ms;moe_permute=2.6ms;activation=0.8ms,forward|moe
0,2369063420,21.85,2,0.0,1.016,laggard_gpu_busy,gemm=16.8ms;moe_permute=3.0ms;activation=2.1ms,forward|moe
0,2452977191,9.785,4,0.0,1.036,laggard_gpu_busy,gemm=7.2ms;moe_permute=2.9ms;hybridep_meta=0.0ms,forward|moe
0,2519797562,22.427,4,0.0,1.04,laggard_gpu_busy,gemm=18.1ms;moe_permute=3.5ms;activation=1.3ms,forward|attention|dsa_indexer
0,2672038342,18.938,3,0.0,1.046,laggard_gpu_busy,gemm=15.3ms;moe_permute=3.1ms;activation=1.1ms,forward|moe
0,2810556055,20.951,4,0.0,1.031,laggard_gpu_busy,gemm=16.2ms;moe_permute=3.9ms;activation=1.2ms,forward|moe
0,3031908938,15.823,6,0.0,1.023,laggard_gpu_busy,gemm=11.6ms;moe_permute=3.1ms;activation=1.1ms,forward|moe
0,3164324325,5.227,1,0.001,1.064,laggard_gpu_busy,gemm=3.2ms;moe_permute=2.3ms;hybridep_meta=0.0ms,forward|moe
0,3227468120,5.812,5,0.001,1.033,laggard_gpu_busy,gemm=3.5ms;moe_permute=2.5ms;hybridep_meta=0.0ms,forward|attention|dsa_indexer
0,3362956430,6.165,7,0.001,1.017,laggard_gpu_busy,gemm=3.5ms;moe_permute=2.8ms;hybridep_meta=0.0ms,forward|moe
0,3488037480,12.923,3,0.0,1.056,laggard_gpu_busy,gemm=9.5ms;moe_permute=2.9ms;activation=1.0ms,forward|moe
0,3558048887,14.911,3,0.0,1.018,laggard_gpu_busy,gemm=10.4ms;moe_permute=3.4ms;activation=1.2ms,forward|attention|dsa_indexer
0,3701597269,13.169,2,0.0,1.05,laggard_gpu_busy,gemm=8.8ms;moe_permute=2.9ms;activation=1.9ms,forward|moe
