what,gpu,instances,wall_s,gpu_kernel_s
layer_forward,0,78,7.22,7.256
layer_recompute_forward,0,78,8.518,6.716
backward_minus_recompute_forward,0,1,,10.797
layer_forward,1,78,7.213,7.239
layer_recompute_forward,1,78,8.759,6.443
backward_minus_recompute_forward,1,1,,10.805
layer_forward,2,78,7.202,7.228
layer_recompute_forward,2,78,8.518,6.708
backward_minus_recompute_forward,2,1,,10.799
layer_forward,3,78,7.195,7.219
layer_recompute_forward,3,78,8.484,6.707
backward_minus_recompute_forward,3,1,,10.8
layer_forward,4,78,7.215,7.25
layer_recompute_forward,4,78,8.474,6.711
backward_minus_recompute_forward,4,1,,10.804
layer_forward,5,78,7.216,7.249
layer_recompute_forward,5,78,8.506,6.715
backward_minus_recompute_forward,5,1,,10.798
layer_forward,6,78,7.211,7.245
layer_recompute_forward,6,78,9.178,6.031
backward_minus_recompute_forward,6,1,,10.8
layer_forward,7,78,7.216,7.249
layer_recompute_forward,7,78,8.493,6.717
backward_minus_recompute_forward,7,1,,10.798
