gpu,globalTid,api,calls,total_s,max_ms
0,0x100a74b00afad,cudaStreamSynchronize,279,14.911,782.133
0,0x100a74b00cede,cudaStreamSynchronize,254,5.698,115.495
1,0x100a74c00af7f,cudaStreamSynchronize,278,14.359,782.164
1,0x100a74c00a74c,cudaStreamSynchronize,253,5.602,112.09
2,0x100a74d00af52,cudaStreamSynchronize,278,14.613,781.368
2,0x100a74d00a74d,cudaStreamSynchronize,253,5.425,110.763
3,0x100a74e00af89,cudaStreamSynchronize,278,14.62,782.478
3,0x100a74e00a74e,cudaStreamSynchronize,253,5.437,110.26
4,0x100a75200af79,cudaStreamSynchronize,278,14.772,782.734
4,0x100a75200a752,cudaStreamSynchronize,253,5.631,111.327
5,0x100a75600af93,cudaStreamSynchronize,278,14.718,781.553
5,0x100a75600a756,cudaStreamSynchronize,253,5.552,110.469
6,0x100a75a00af9c,cudaStreamSynchronize,278,13.953,376.862
6,0x100a75a00a75a,cudaStreamSynchronize,253,5.624,112.636
7,0x100a75e00af72,cudaStreamSynchronize,278,14.848,780.673
7,0x100a75e00a75e,cudaStreamSynchronize,253,5.641,112.106
