k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,9.705,9.756,1.005,1,9.493,9.756,9.729,9.746,9.734,9.709,9.75,9.721
1,9.753,9.839,1.009,7,9.524,9.766,9.733,9.798,9.802,9.775,9.787,9.839
2,9.75,9.819,1.007,3,9.53,9.774,9.8,9.819,9.767,9.775,9.78,9.753
3,10.475,10.87,1.038,3,9.977,10.513,10.676,10.87,10.841,10.152,10.075,10.697
4,9.91,10.233,1.033,5,9.667,9.8,9.788,9.863,9.97,10.233,10.144,9.812
5,9.914,10.273,1.036,6,9.57,9.9,9.905,10.075,9.754,9.741,10.273,10.098
6,9.794,9.85,1.006,6,9.557,9.825,9.807,9.83,9.825,9.822,9.85,9.833
7,10.055,10.561,1.05,1,9.568,10.561,10.261,9.911,9.816,9.899,10.474,9.953
8,9.971,10.891,1.092,6,9.569,9.886,9.964,10.085,9.814,9.75,10.891,9.813
9,9.851,10.176,1.033,4,9.518,9.878,9.722,9.757,10.176,9.726,9.973,10.058
10,9.727,9.827,1.01,7,9.477,9.753,9.718,9.757,9.735,9.755,9.791,9.827
11,9.857,10.224,1.037,6,9.524,9.911,9.928,9.795,9.715,9.881,10.224,9.88
12,9.95,10.343,1.039,4,9.505,9.732,9.821,10.085,10.343,10.182,10.101,9.829
13,10.113,11.387,1.126,6,9.47,10.335,10.333,9.776,9.777,9.87,11.387,9.952
14,9.684,9.803,1.012,6,9.461,9.704,9.681,9.708,9.714,9.692,9.803,9.712
15,9.718,10.071,1.036,3,9.462,9.697,9.688,10.071,9.71,9.692,9.711,9.711
16,9.886,10.638,1.076,2,9.461,9.696,10.638,9.684,9.727,9.704,10.417,9.76
17,9.798,10.092,1.03,3,9.455,9.9,9.796,10.092,9.872,9.702,9.814,9.754
18,9.671,9.721,1.005,6,9.456,9.703,9.683,9.697,9.7,9.7,9.721,9.71
19,9.78,10.234,1.046,4,9.456,9.745,9.697,9.932,10.234,9.689,9.699,9.788
20,9.837,10.433,1.061,2,9.613,9.705,10.433,9.803,9.686,9.707,9.706,10.041
21,9.928,11.03,1.111,4,9.484,9.912,9.793,9.678,11.03,9.69,9.758,10.082
22,9.786,9.889,1.011,7,9.535,9.775,9.764,9.813,9.829,9.807,9.878,9.889
23,9.941,10.733,1.08,6,9.57,9.845,9.754,9.86,9.891,9.895,10.733,9.978
24,10.018,10.745,1.073,6,9.541,10.065,9.82,9.785,10.442,9.789,10.745,9.957
25,10.054,10.535,1.048,1,9.515,10.535,9.941,10.361,10.06,10.055,10.058,9.906
26,9.704,9.773,1.007,3,9.503,9.753,9.704,9.773,9.727,9.72,9.72,9.73
27,9.845,10.515,1.068,7,9.733,9.854,9.729,9.776,9.712,9.72,9.717,10.515
28,9.884,10.28,1.04,6,9.661,9.932,9.76,9.795,10.021,9.847,10.28,9.776
29,9.885,10.096,1.021,1,9.691,10.096,10.078,10.092,9.792,9.846,9.766,9.719
30,9.683,9.748,1.007,3,9.46,9.706,9.697,9.748,9.735,9.695,9.719,9.703
31,9.766,10.28,1.053,2,9.46,9.709,10.28,9.749,9.724,9.689,9.769,9.746
32,9.84,10.242,1.041,5,9.465,9.838,9.684,9.974,9.692,10.242,10.072,9.754
33,9.746,9.958,1.022,2,9.591,9.711,9.958,9.713,9.727,9.836,9.719,9.71
34,9.712,9.79,1.008,7,9.476,9.771,9.71,9.748,9.74,9.712,9.749,9.79
35,9.88,10.318,1.044,1,9.473,10.318,9.707,10.008,9.717,9.932,10.111,9.777
36,9.986,10.417,1.043,4,9.53,10.125,9.798,9.962,10.417,10.126,10.163,9.766
37,9.808,10.071,1.027,5,9.472,9.719,9.702,9.777,9.821,10.071,9.996,9.908
38,9.76,9.904,1.015,7,9.497,9.757,9.732,9.829,9.804,9.748,9.809,9.904
39,9.864,10.208,1.035,6,9.677,9.854,9.844,9.868,9.863,9.827,10.208,9.774
40,9.877,10.11,1.024,4,9.724,9.991,9.764,9.854,10.11,9.841,9.934,9.801
41,10.003,10.424,1.042,1,9.615,10.424,9.872,9.79,10.23,10.404,9.858,9.832
42,9.763,9.841,1.008,6,9.566,9.82,9.75,9.777,9.804,9.771,9.841,9.777
43,9.91,10.513,1.061,6,9.525,9.936,9.841,9.782,9.805,9.765,10.513,10.112
44,9.952,10.48,1.053,7,9.597,10.043,9.83,10.149,9.858,9.755,9.905,10.48
45,9.975,10.332,1.036,7,9.64,9.78,10.157,9.818,10.197,10.075,9.8,10.332
46,9.668,9.71,1.004,1,9.453,9.71,9.685,9.703,9.698,9.689,9.702,9.704
47,9.732,10.071,1.035,7,9.488,9.72,9.723,9.696,9.775,9.682,9.702,10.071
48,9.739,10.062,1.033,6,9.488,9.721,9.682,9.851,9.684,9.684,10.062,9.737
49,9.928,10.715,1.079,1,9.529,10.715,9.68,10.451,9.68,9.839,9.775,9.758
50,9.693,9.792,1.01,1,9.468,9.792,9.699,9.725,9.72,9.71,9.728,9.7
51,9.8,9.944,1.015,0,9.944,9.791,9.782,9.733,9.803,9.724,9.906,9.716
52,9.916,10.95,1.104,6,9.549,9.724,9.791,9.71,10.19,9.697,10.95,9.716
53,9.82,10.096,1.028,6,9.994,9.716,9.751,9.717,9.819,9.702,10.096,9.769
54,9.683,9.776,1.01,4,9.466,9.722,9.686,9.7,9.776,9.699,9.705,9.714
55,9.746,10.035,1.03,6,9.466,9.705,9.679,9.946,9.714,9.729,10.035,9.694
56,9.976,10.291,1.032,7,9.497,9.79,9.693,10.279,10.194,10.249,9.815,10.291
57,9.807,10.033,1.023,7,9.998,9.708,9.684,9.854,9.724,9.758,9.701,10.033
58,9.682,9.722,1.004,2,9.481,9.716,9.722,9.707,9.714,9.694,9.715,9.709
59,9.795,10.304,1.052,7,9.492,9.999,9.772,9.696,9.704,9.696,9.699,10.304
60,9.822,10.332,1.052,4,9.462,9.807,10.058,9.743,10.332,9.69,9.731,9.755
61,9.847,10.32,1.048,6,9.491,9.797,9.815,9.792,9.687,9.841,10.32,10.036
62,9.69,9.749,1.006,4,9.485,9.735,9.706,9.718,9.749,9.697,9.719,9.715
63,9.835,10.352,1.053,1,9.517,10.352,9.791,9.792,9.712,9.966,9.719,9.831
64,9.897,10.59,1.07,1,9.518,10.59,9.991,10.037,9.703,9.795,9.831,9.709
65,9.839,10.238,1.041,1,9.792,10.238,9.695,9.806,9.741,9.702,9.944,9.794
66,9.674,9.771,1.01,1,9.461,9.771,9.681,9.694,9.695,9.684,9.708,9.698
67,9.785,10.185,1.041,2,9.463,9.732,10.185,9.705,9.689,9.711,9.868,9.929
68,9.816,10.322,1.052,4,9.457,9.741,10.063,9.749,10.322,9.708,9.798,9.687
69,9.812,10.048,1.024,5,9.808,9.71,9.966,9.687,9.783,10.048,9.757,9.737
70,9.69,9.798,1.011,3,9.464,9.724,9.69,9.798,9.704,9.721,9.716,9.707
71,9.881,10.436,1.056,2,9.495,10.12,10.436,10.026,9.706,9.694,9.859,9.713
72,9.956,10.571,1.062,1,9.464,10.571,10.378,10.027,9.708,9.693,10.101,9.706
73,9.866,10.103,1.024,0,10.103,9.997,10.006,9.799,9.702,9.694,9.818,9.812
74,9.699,9.768,1.007,6,9.469,9.731,9.707,9.729,9.726,9.736,9.768,9.726
75,9.829,10.358,1.054,4,9.467,9.718,9.691,10.068,10.358,9.716,9.846,9.768
76,9.857,10.151,1.03,2,9.475,9.73,10.151,10.109,9.737,9.759,10.148,9.749
77,9.93,10.434,1.051,3,10.074,9.707,9.701,10.434,9.719,9.854,9.892,10.059
78,10.611,10.775,1.016,5,10.449,10.717,10.483,10.659,10.717,10.775,10.556,10.53
79,9.692,9.745,1.005,6,9.471,9.723,9.694,9.734,9.719,9.722,9.745,9.727
80,9.695,9.807,1.012,6,9.472,9.711,9.698,9.727,9.716,9.711,9.807,9.721
81,9.686,9.742,1.006,6,9.47,9.715,9.688,9.723,9.728,9.712,9.742,9.711
82,9.672,9.714,1.004,6,9.465,9.713,9.684,9.7,9.696,9.698,9.714,9.702
83,9.681,9.79,1.011,5,9.464,9.703,9.688,9.699,9.706,9.79,9.709,9.692
84,9.672,9.721,1.005,6,9.465,9.71,9.686,9.713,9.692,9.7,9.721,9.693
85,9.679,9.744,1.007,1,9.463,9.744,9.69,9.696,9.703,9.69,9.726,9.718
86,9.685,9.88,1.02,1,9.456,9.88,9.683,9.705,9.688,9.679,9.703,9.688
87,9.672,9.765,1.01,3,9.46,9.703,9.675,9.765,9.69,9.701,9.693,9.689
88,9.661,9.699,1.004,1,9.455,9.699,9.676,9.691,9.689,9.692,9.693,9.689
89,9.666,9.724,1.006,4,9.459,9.703,9.675,9.69,9.724,9.685,9.703,9.69
90,9.695,9.802,1.011,6,9.482,9.767,9.693,9.72,9.704,9.698,9.802,9.699
91,9.686,9.748,1.006,1,9.484,9.748,9.687,9.727,9.71,9.694,9.719,9.716
92,9.681,9.734,1.005,1,9.484,9.734,9.696,9.715,9.707,9.696,9.719,9.699
93,9.685,9.73,1.005,3,9.482,9.726,9.705,9.73,9.721,9.696,9.712,9.707
94,9.676,9.745,1.007,1,9.457,9.745,9.682,9.697,9.692,9.695,9.716,9.726
95,9.673,9.732,1.006,6,9.455,9.706,9.675,9.698,9.705,9.697,9.732,9.717
96,9.672,9.725,1.005,7,9.461,9.71,9.67,9.702,9.707,9.69,9.711,9.725
97,9.674,9.727,1.005,7,9.461,9.713,9.71,9.694,9.691,9.691,9.706,9.727
98,9.673,9.736,1.007,1,9.464,9.736,9.677,9.695,9.695,9.698,9.707,9.71
99,9.676,9.76,1.009,3,9.464,9.713,9.685,9.76,9.699,9.691,9.705,9.695
100,9.669,9.714,1.005,3,9.464,9.713,9.676,9.714,9.695,9.693,9.694,9.7
101,9.669,9.71,1.004,7,9.466,9.707,9.681,9.7,9.701,9.687,9.702,9.71
102,9.68,9.722,1.004,6,9.471,9.717,9.692,9.716,9.715,9.699,9.722,9.707
103,9.69,9.813,1.013,4,9.466,9.715,9.688,9.713,9.813,9.704,9.712,9.711
104,9.687,9.721,1.004,7,9.515,9.712,9.698,9.717,9.709,9.704,9.718,9.721
105,9.682,9.722,1.004,4,9.47,9.718,9.688,9.712,9.722,9.715,9.714,9.721
106,9.673,9.734,1.006,2,9.475,9.701,9.734,9.694,9.693,9.684,9.705,9.7
107,9.67,9.759,1.009,1,9.458,9.759,9.678,9.691,9.686,9.692,9.703,9.697
108,9.67,9.757,1.009,1,9.454,9.757,9.679,9.703,9.684,9.684,9.7,9.698
109,9.675,9.803,1.013,6,9.457,9.702,9.68,9.699,9.685,9.68,9.803,9.692
110,9.759,9.89,1.013,7,9.521,9.777,9.747,9.777,9.78,9.759,9.823,9.89
111,9.754,9.842,1.009,7,9.522,9.824,9.747,9.768,9.768,9.758,9.799,9.842
112,9.757,9.848,1.009,7,9.527,9.777,9.742,9.771,9.783,9.796,9.807,9.848
113,9.743,9.798,1.006,6,9.524,9.776,9.753,9.78,9.759,9.767,9.798,9.791
114,9.747,9.865,1.012,7,9.489,9.761,9.737,9.791,9.787,9.76,9.788,9.865
115,9.75,9.837,1.009,7,9.494,9.812,9.736,9.804,9.781,9.751,9.785,9.837
116,9.779,9.9,1.012,7,9.498,9.771,9.743,9.803,9.795,9.858,9.863,9.9
117,9.76,9.863,1.011,6,9.536,9.77,9.733,9.8,9.783,9.751,9.863,9.843
118,9.717,9.786,1.007,2,9.471,9.728,9.786,9.756,9.734,9.726,9.765,9.769
119,9.718,9.809,1.009,6,9.471,9.797,9.711,9.762,9.72,9.713,9.809,9.762
120,9.697,9.747,1.005,3,9.472,9.716,9.706,9.747,9.73,9.727,9.745,9.73
121,9.702,9.784,1.008,5,9.469,9.714,9.697,9.73,9.722,9.784,9.755,9.744
122,9.682,9.768,1.009,3,9.457,9.7,9.685,9.768,9.709,9.706,9.718,9.712
123,9.669,9.724,1.006,6,9.456,9.709,9.677,9.7,9.693,9.683,9.724,9.708
124,9.679,9.713,1.004,7,9.538,9.708,9.679,9.709,9.7,9.683,9.702,9.713
125,9.673,9.725,1.005,6,9.458,9.696,9.686,9.7,9.695,9.717,9.725,9.706
126,9.687,9.741,1.006,3,9.465,9.735,9.697,9.741,9.717,9.698,9.724,9.714
127,9.686,9.73,1.005,1,9.463,9.73,9.703,9.73,9.718,9.7,9.72,9.72
128,9.695,9.805,1.011,3,9.464,9.726,9.696,9.805,9.721,9.701,9.715,9.735
129,9.699,9.799,1.01,5,9.462,9.732,9.695,9.723,9.722,9.799,9.738,9.719
130,9.766,9.844,1.008,6,9.514,9.766,9.758,9.79,9.807,9.804,9.844,9.843
131,9.779,9.924,1.015,7,9.51,9.781,9.755,9.799,9.817,9.797,9.847,9.924
132,9.783,9.902,1.012,7,9.513,9.773,9.752,9.846,9.834,9.795,9.848,9.902
133,9.794,9.925,1.013,1,9.508,9.925,9.753,9.796,9.812,9.786,9.881,9.892
134,9.675,9.802,1.013,6,9.451,9.693,9.674,9.703,9.692,9.684,9.802,9.697
135,9.667,9.716,1.005,6,9.483,9.698,9.673,9.698,9.682,9.689,9.716,9.699
136,9.666,9.722,1.006,4,9.455,9.703,9.673,9.696,9.722,9.687,9.697,9.698
137,9.662,9.704,1.004,6,9.455,9.7,9.675,9.699,9.685,9.689,9.704,9.69
138,9.673,9.72,1.005,1,9.454,9.72,9.693,9.719,9.698,9.697,9.695,9.71
139,9.672,9.715,1.004,6,9.452,9.709,9.686,9.707,9.702,9.693,9.715,9.71
140,9.674,9.721,1.005,7,9.452,9.709,9.682,9.721,9.708,9.69,9.704,9.721
141,9.679,9.73,1.005,2,9.462,9.726,9.73,9.7,9.701,9.69,9.705,9.72
142,9.739,9.889,1.015,3,9.468,9.723,9.706,9.889,9.759,9.718,9.807,9.843
143,9.712,9.798,1.009,7,9.468,9.733,9.71,9.748,9.732,9.72,9.788,9.798
144,9.724,9.833,1.011,7,9.473,9.732,9.715,9.76,9.758,9.732,9.793,9.833
145,9.734,9.855,1.012,7,9.467,9.724,9.701,9.828,9.747,9.738,9.816,9.855
146,9.72,9.799,1.008,6,9.488,9.753,9.716,9.762,9.745,9.735,9.799,9.76
147,9.737,9.782,1.005,6,9.527,9.752,9.737,9.781,9.78,9.775,9.782,9.759
148,9.782,9.847,1.007,4,9.535,9.798,9.774,9.827,9.847,9.81,9.828,9.834
149,9.806,9.944,1.014,6,9.557,9.828,9.808,9.83,9.825,9.826,9.944,9.83
150,9.713,9.766,1.005,1,9.492,9.766,9.742,9.74,9.749,9.739,9.736,9.738
151,9.745,9.787,1.004,7,9.529,9.778,9.762,9.774,9.779,9.772,9.778,9.787
152,9.85,9.896,1.005,6,9.607,9.876,9.871,9.875,9.891,9.886,9.896,9.893
153,9.725,9.76,1.004,1,9.568,9.76,9.725,9.758,9.757,9.739,9.742,9.749
154,9.792,9.898,1.011,4,9.557,9.827,9.77,9.825,9.898,9.788,9.834,9.839
155,9.763,9.862,1.01,6,9.555,9.794,9.799,9.823,9.774,9.721,9.862,9.776
