k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,18.661,28.989,1.553,0,28.989,16.68,18.194,11.326,16.533,26.419,18.884,12.264
1,18.886,21.977,1.164,3,18.71,19.953,19.778,21.977,17.008,14.623,21.12,17.916
2,18.999,34.725,1.828,7,22.308,15.087,13.656,20.565,14.46,13.449,17.745,34.725
3,18.892,23.344,1.236,1,16.964,23.344,21.368,17.53,15.785,18.579,22.522,15.043
4,19.008,34.538,1.817,6,16.291,21.02,16.505,20.089,14.807,13.42,34.538,15.397
5,18.893,30.756,1.628,4,19.997,14.702,15.568,17.536,30.756,14.57,19.035,18.979
6,18.747,24.694,1.317,5,18.529,17.631,17.062,16.558,18.728,24.694,17.011,19.763
7,18.831,27.116,1.44,2,15.431,14.141,27.116,20.68,11.938,18.903,26.199,16.239
8,18.797,28.792,1.532,3,15.274,11.612,21.638,28.792,22.914,17.959,18.926,13.263
9,18.623,38.067,2.044,6,13.567,21.319,21.472,8.071,9.39,19.706,38.067,17.39
10,18.89,31.989,1.693,6,16.939,15.714,16.891,14.699,21.137,11.945,31.989,21.804
11,18.73,26.938,1.438,3,13.547,20.116,24.283,26.938,20.34,13.949,16.548,14.121
12,18.697,34.419,1.841,2,10.349,12.483,34.419,16.119,20.473,14.187,28.693,12.856
13,18.691,32.945,1.763,4,20.17,15.086,13.974,17.636,32.945,10.614,21.995,17.107
14,18.698,38.4,2.054,4,12.47,12.838,12.519,17.419,38.4,12.831,22.213,20.896
15,18.682,35.763,1.914,3,12.738,17.72,17.256,35.763,26.343,10.783,10.974,17.877
16,18.636,28.851,1.548,0,28.851,12.183,25.672,16.563,13.903,11.426,19.108,21.38
17,18.566,37.878,2.04,4,13.133,25.908,12.567,7.53,37.878,14.017,9.552,27.94
18,18.591,33.809,1.819,0,33.809,9.246,23.044,14.171,16.025,9.8,24.955,17.678
19,18.719,36.755,1.964,6,16.115,15.948,13.841,17.878,15.838,26.44,36.755,6.933
20,18.967,24.883,1.312,4,19.745,24.471,15.087,15.554,24.883,15.608,24.685,11.704
21,18.958,23.992,1.266,1,17.207,23.992,19.945,21.607,15.852,19.842,18.597,14.621
22,18.793,26.384,1.404,5,18.364,17.771,16.954,24.278,12.033,26.384,17.999,16.561
23,18.813,28.155,1.497,7,20.112,23.256,15.082,18.078,12.554,18.29,14.975,28.155
24,18.826,27.683,1.47,6,22.433,11.83,11.633,19.62,19.751,24.897,27.683,12.76
25,18.745,31.648,1.688,3,15.564,24.55,17.475,31.648,11.119,27.513,15.221,6.869
26,18.787,36.374,1.936,3,17.753,14.814,16.55,36.374,11.41,18.438,22.381,12.58
27,18.666,31.248,1.674,2,16.339,18.729,31.248,19.822,13.906,13.604,15.485,20.198
28,18.721,31.391,1.677,5,10.324,16.264,13.509,23.878,14.338,31.391,24.95,15.119
29,18.612,29.186,1.568,0,29.186,14.135,21.578,12.81,16.154,26.095,13.678,15.259
30,18.738,35.077,1.872,6,17.26,25.1,10.02,13.131,17.942,13.575,35.077,17.802
31,18.56,24.552,1.323,5,20.693,18.166,12.794,23.633,15.039,24.552,19.444,14.163
32,18.708,24.686,1.32,6,11.022,17.372,19.632,17.483,21.329,18.455,24.686,19.683
33,18.578,38.021,2.047,5,13.508,7.85,15.926,16.241,10.976,38.021,28.38,17.724
34,18.621,26.959,1.448,1,19.811,26.959,20.58,22.648,12.229,13.096,16.85,16.795
35,18.635,26.413,1.417,2,18.667,16.773,26.413,13.702,23.502,12.729,25.016,12.276
36,18.581,34.277,1.845,0,34.277,16.866,16.485,16.909,20.532,15.057,16.184,12.339
37,18.651,28.024,1.503,5,17.213,22.168,14.743,13.287,23.247,28.024,14.519,16.009
