k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,104.726,115.406,1.102,7,112.989,103.922,91.556,83.61,109.028,111.382,109.918,115.406
1,120.524,122.204,1.014,1,122.031,122.204,121.005,121.85,120.26,121.516,116.152,119.176
2,94.247,98.154,1.041,6,93.692,90.713,92.812,92.3,94.443,97.328,98.154,94.532
3,29.563,32.83,1.111,1,31.95,32.83,32.481,31.147,32.074,25.463,24.024,26.537
4,24.055,24.365,1.013,6,23.716,23.968,23.914,24.035,24.173,24.352,24.365,23.915
5,24.118,24.521,1.017,6,23.736,24.171,24.059,24.286,23.961,23.918,24.521,24.292
6,85.72,91.168,1.064,6,83.389,83.368,83.548,83.73,83.822,86.055,91.168,90.68
7,24.566,25.164,1.024,1,24.04,25.164,24.777,24.428,24.357,24.325,25.013,24.422
8,24.768,25.744,1.039,6,24.323,24.738,24.679,24.874,24.619,24.559,25.744,24.609
9,24.02,24.397,1.016,4,23.628,24.084,23.824,23.999,24.397,23.893,24.146,24.186
10,88.755,93.873,1.058,6,86.42,86.089,86.442,86.853,87.301,89.614,93.873,93.45
11,23.95,24.321,1.016,6,23.567,24.068,24.052,23.928,23.825,23.93,24.321,23.908
12,24.186,24.634,1.019,4,23.655,24.027,24.044,24.356,24.634,24.404,24.355,24.013
13,25.333,26.657,1.052,6,24.658,25.587,25.461,25.056,25.017,25.058,26.657,25.167
14,86.948,97.617,1.123,6,83.881,84.274,84.206,84.113,84.315,86.536,97.617,90.642
15,23.802,24.234,1.018,3,23.48,23.817,23.771,24.234,23.843,23.748,23.797,23.728
16,24.969,25.801,1.033,2,24.48,24.841,25.801,24.82,24.829,24.715,25.479,24.79
17,23.978,24.33,1.015,3,23.61,24.176,23.976,24.33,24.056,23.791,23.979,23.908
18,86.772,91.933,1.059,6,84.071,84.399,84.488,84.654,86.176,87.351,91.933,91.102
19,24.006,24.489,1.02,4,23.59,24.023,23.894,24.255,24.489,23.908,23.939,23.953
20,24.251,24.893,1.026,2,23.952,24.203,24.893,24.27,24.123,24.051,24.103,24.412
21,24.8,26.011,1.049,4,24.259,24.812,24.627,24.589,26.011,24.538,24.667,24.894
22,87.678,94.332,1.076,6,85.018,85.027,85.194,85.414,86.365,88.104,94.332,91.969
23,24.674,25.554,1.036,6,24.256,24.639,24.456,24.616,24.621,24.576,25.554,24.674
24,24.75,25.565,1.033,6,24.242,24.914,24.464,24.466,25.209,24.464,25.565,24.672
25,24.605,25.231,1.025,1,24.031,25.231,24.483,24.908,24.627,24.536,24.602,24.425
26,85.678,90.206,1.053,6,83.603,84.699,82.762,84.667,82.904,87.232,90.206,89.353
27,24.394,25.071,1.028,7,24.242,24.512,24.26,24.319,24.248,24.207,24.294,25.071
28,24.142,24.559,1.017,6,23.814,24.228,23.974,24.094,24.384,24.094,24.559,23.992
29,24.156,24.466,1.013,1,23.922,24.466,24.351,24.396,24.083,24.068,24.016,23.947
30,84.975,92.214,1.085,6,82.18,82.307,82.455,84.064,82.631,84.967,92.214,88.985
31,23.97,24.53,1.023,2,23.607,23.992,24.53,23.993,23.97,23.837,23.962,23.872
32,24.05,24.443,1.016,5,23.612,24.058,23.856,24.254,23.919,24.443,24.324,23.935
33,24.02,24.268,1.01,2,23.799,24.088,24.268,24.081,24.018,24.047,23.956,23.902
34,86.654,92.845,1.071,6,84.043,85.91,84.299,84.317,84.701,86.677,92.845,90.439
35,24.28,24.847,1.023,1,23.84,24.847,24.126,24.443,24.125,24.223,24.512,24.122
36,24.404,24.894,1.02,4,23.857,24.555,24.161,24.457,24.894,24.504,24.667,24.14
37,24.154,24.398,1.01,6,23.784,24.126,23.989,24.17,24.182,24.348,24.398,24.236
38,87.462,92.138,1.053,6,85.018,86.524,85.738,86.664,85.062,87.392,92.138,91.163
39,24.104,24.474,1.015,6,23.852,24.168,24.025,24.139,24.135,24.011,24.474,24.024
40,24.178,24.459,1.012,4,23.962,24.401,24.066,24.169,24.459,24.089,24.215,24.059
41,24.588,25.109,1.021,1,24.149,25.109,24.467,24.412,24.817,24.914,24.452,24.387
42,86.862,91.949,1.059,6,84.458,86.285,84.39,84.443,85.264,87.12,91.949,90.986
43,24.15,24.844,1.029,6,23.738,24.247,24.022,24.044,24.04,23.943,24.844,24.321
44,24.397,24.901,1.021,7,24.016,24.572,24.222,24.626,24.305,24.158,24.374,24.901
45,24.312,24.76,1.018,7,23.927,24.163,24.506,24.092,24.519,24.368,24.162,24.76
46,86.521,91.42,1.057,6,84.137,84.589,84.22,84.414,86.255,86.719,91.42,90.415
47,24.025,24.383,1.015,7,23.751,24.103,23.96,23.954,24.064,23.95,24.033,24.383
48,23.974,24.338,1.015,6,23.714,24.046,23.88,24.046,23.914,23.891,24.338,23.966
49,24.903,25.797,1.036,1,24.478,25.797,24.666,25.447,24.669,24.743,24.738,24.686
50,90.058,94.78,1.052,6,87.313,91.123,87.651,87.703,87.858,90.223,94.78,93.819
51,23.992,24.116,1.005,6,24.111,24.086,23.931,23.997,23.998,23.823,24.116,23.868
52,25.124,26.25,1.045,6,24.712,24.977,24.916,24.932,25.401,24.881,26.25,24.925
53,24.334,24.624,1.012,6,24.496,24.319,24.242,24.244,24.33,24.158,24.624,24.263
54,86.971,91.846,1.056,6,84.342,84.583,84.694,84.685,87.569,87.155,91.846,90.896
55,23.989,24.285,1.012,6,23.62,24.047,23.909,24.218,24.024,23.933,24.285,23.875
56,24.387,24.799,1.017,3,23.825,24.239,24.115,24.799,24.69,24.587,24.23,24.611
57,24.056,24.274,1.009,7,24.223,24.031,23.905,24.122,23.993,23.911,23.986,24.274
58,88.719,93.558,1.055,7,85.745,86.052,88.605,87.382,86.439,88.692,93.278,93.558
59,24.093,24.606,1.021,7,23.75,24.361,24.042,23.994,23.996,23.966,24.033,24.606
60,24.24,24.808,1.023,4,23.78,24.302,24.44,24.226,24.808,24.09,24.165,24.109
61,24.22,24.775,1.023,6,23.82,24.243,24.135,24.134,24.065,24.177,24.775,24.41
62,87.007,91.83,1.055,6,84.588,84.34,84.485,84.539,87.7,86.822,91.83,91.751
63,24.318,24.903,1.024,1,23.941,24.903,24.273,24.325,24.229,24.362,24.206,24.303
64,24.536,25.38,1.034,1,24.097,25.38,24.605,24.68,24.375,24.361,24.48,24.31
65,24.012,24.503,1.02,1,23.908,24.503,23.858,24.025,23.964,23.799,24.115,23.923
66,87.174,92.195,1.058,6,84.496,87.48,84.66,84.954,85.062,87.483,92.195,91.065
67,24.022,24.414,1.016,2,23.634,24.03,24.414,24.034,23.926,23.884,24.125,24.128
68,24.065,24.646,1.024,4,23.622,24.011,24.292,24.042,24.646,23.93,24.076,23.901
69,24.032,24.23,1.008,5,24.02,23.986,24.175,23.9,23.997,24.23,24.001,23.947
70,87.18,91.653,1.051,6,84.198,84.238,84.54,89.025,84.863,88.274,91.653,90.652
71,24.314,24.918,1.025,2,23.864,24.676,24.918,24.483,24.164,24.06,24.249,24.095
72,24.645,25.347,1.028,1,24.128,25.347,25.078,24.72,24.414,24.3,24.786,24.39
73,24.083,24.33,1.01,0,24.33,24.293,24.219,24.019,23.949,23.83,24.036,23.984
74,88.756,93.907,1.058,6,86.274,86.738,86.818,86.733,86.723,90.352,93.907,92.502
75,23.9,24.471,1.024,4,23.472,23.85,23.755,24.219,24.471,23.761,23.901,23.771
76,24.052,24.399,1.014,6,23.642,23.955,24.311,24.338,23.924,23.916,24.399,23.93
77,24.278,24.861,1.024,3,24.374,24.085,24.047,24.861,24.099,24.18,24.236,24.34
78,27.327,28.938,1.059,0,28.938,25.529,27.302,26.477,26.536,28.444,26.63,28.761
79,23.617,23.722,1.004,1,23.43,23.722,23.641,23.672,23.614,23.594,23.638,23.63
