layer,gpu,start_ns,wall_ms
layer:1,0,625243871,67.006
layer:1,0,25201607128,95.024
layer:1,1,633425385,61.013
layer:1,1,25203146593,93.395
layer:1,2,643452106,53.158
layer:1,2,25202215038,94.569
layer:1,3,649997414,48.218
layer:1,3,25203230124,93.532
layer:1,4,629376994,65.702
layer:1,4,25202656233,93.743
layer:1,5,629431494,66.943
layer:1,5,25201940319,94.436
layer:1,6,635168315,60.553
layer:1,6,25202665395,93.971
layer:1,7,629733775,65.481
layer:1,7,25202481873,94.071
layer:2,0,692424443,105.559
layer:2,0,25059317965,95.959
layer:2,1,694622883,106.118
layer:2,1,25061364314,93.86
layer:2,2,696795268,105.272
layer:2,2,25060504193,94.945
layer:2,3,698387300,103.704
layer:2,3,25061518352,93.893
layer:2,4,695231560,106.564
layer:2,4,25060763544,94.359
layer:2,5,696547795,106.264
layer:2,5,25059963279,95.075
layer:2,6,695884245,104.412
layer:2,6,25060876870,94.366
layer:2,7,695386653,105.49
layer:2,7,25060150470,94.977
layer:3,0,798160170,134.697
layer:3,0,24921582293,92.186
layer:3,1,800909535,134.641
layer:3,1,24922338838,91.302
layer:3,2,802233523,134.718
layer:3,2,24921956666,91.974
layer:3,3,802240014,134.982
layer:3,3,24922393482,91.504
layer:3,4,801949631,134.43
layer:3,4,24922113496,91.441
layer:3,5,802972818,134.61
layer:3,5,24921914738,91.755
layer:3,6,800454465,135.245
layer:3,6,24922286460,91.466
layer:3,7,801029754,134.862
layer:3,7,24921854434,91.866
layer:4,0,933014295,130.196
layer:4,0,24721312316,106.302
layer:4,1,935728063,127.898
layer:4,1,24719312876,108.567
layer:4,2,937132600,130.026
layer:4,2,24719124950,109.45
layer:4,3,937371025,132.393
layer:4,3,24719753020,108.247
layer:4,4,936535659,125.59
layer:4,4,24719341987,108.796
layer:4,5,937737356,125.451
layer:4,5,24718975416,108.794
layer:4,6,935850344,129.322
layer:4,6,24719512217,109.122
layer:4,7,936063307,126.865
layer:4,7,24718782213,108.308
layer:5,0,1063382056,70.889
layer:5,0,24534252601,109.159
layer:5,1,1063801368,71.384
layer:5,1,24535156415,108.718
layer:5,2,1067305076,68.559
layer:5,2,24534901851,108.667
layer:5,3,1069914503,67.063
layer:5,3,24535212827,108.744
