range,gpu,instances,wall_s,gpu_kernel_s
forward,0,1,7.359,7.327
forward,1,1,7.35,7.311
forward,2,1,7.351,7.3
forward,3,1,7.346,7.291
forward,4,1,7.353,7.322
forward,5,1,7.353,7.321
forward,6,1,7.35,7.316
forward,7,1,7.352,7.321
backward,0,1,17.365,17.512
backward,1,1,17.366,17.248
backward,2,1,17.365,17.507
backward,3,1,17.366,17.507
backward,4,1,17.366,17.514
backward,5,1,17.365,17.513
backward,6,1,17.366,16.831
backward,7,1,17.365,17.515
optimizer,0,1,0.0,0.0
optimizer,1,1,0.0,0.0
optimizer,2,1,0.0,0.0
optimizer,3,1,0.0,0.0
optimizer,4,1,0.0,0.0
optimizer,5,1,0.0,0.0
optimizer,6,1,0.0,0.0
optimizer,7,1,0.0,0.0
attention,0,156,3.211,3.064
attention,1,156,3.223,3.069
attention,2,156,3.218,3.068
attention,3,156,3.194,3.065
attention,4,156,3.256,3.092
attention,5,156,3.291,3.143
attention,6,156,3.222,3.216
attention,7,156,3.243,3.213
moe,0,150,11.682,8.553
moe,1,150,11.859,8.215
moe,2,150,11.554,8.503
moe,3,150,11.539,8.48
moe,4,150,11.567,8.49
moe,5,150,11.549,8.466
moe,6,150,12.289,7.674
moe,7,150,11.609,8.391
hybridep_dispatch,0,150,0.158,1.056
hybridep_dispatch,1,150,0.165,1.052
hybridep_dispatch,2,150,0.162,1.059
hybridep_dispatch,3,150,0.163,1.055
hybridep_dispatch,4,150,0.163,1.055
hybridep_dispatch,5,150,0.161,1.049
hybridep_dispatch,6,150,0.166,1.084
hybridep_dispatch,7,150,0.162,1.052
hybridep_combine,0,150,0.023,3.986
hybridep_combine,1,150,0.022,3.606
hybridep_combine,2,150,0.022,3.906
hybridep_combine,3,150,0.022,3.838
hybridep_combine,4,150,0.022,3.911
hybridep_combine,5,150,0.022,4.022
hybridep_combine,6,150,0.021,2.81
hybridep_combine,7,150,0.02,4.06
recompute,0,78,17.25,17.391
recompute,1,78,17.249,17.123
recompute,2,78,17.248,17.384
recompute,3,78,17.248,17.383
recompute,4,78,17.25,17.389
recompute,5,78,17.251,17.39
recompute,6,78,17.251,16.707
recompute,7,78,17.252,17.393
lm_head,0,1,0.119,0.069
lm_head,1,1,0.056,0.071
lm_head,2,1,0.056,0.069
lm_head,3,1,0.057,0.07
lm_head,4,1,0.058,0.07
lm_head,5,1,0.057,0.07
lm_head,6,1,0.057,0.07
lm_head,7,1,0.057,0.069
dsa_indexer,0,42,2.858,0.11
dsa_indexer,1,42,2.805,0.112
dsa_indexer,2,42,2.769,0.11
dsa_indexer,3,42,2.743,0.111
dsa_indexer,4,42,2.822,0.111
dsa_indexer,5,42,2.812,0.11
dsa_indexer,6,42,2.801,0.111
dsa_indexer,7,42,2.825,0.11
dsa_core,0,156,0.06,1.487
dsa_core,1,156,0.063,1.533
dsa_core,2,156,0.065,1.527
dsa_core,3,156,0.065,1.531
dsa_core,4,156,0.061,1.531
dsa_core,5,156,0.066,1.525
dsa_core,6,156,0.063,1.539
dsa_core,7,156,0.063,1.531
