range,instances_all_pids,instances_in_window,wall_s_per_pid_mean,gpu_kernel_s_per_gpu_mean
forward_backward,8,8,27.4,26.121
backward,8,8,18.345,17.817
recompute,624,624,17.501,16.861
autograd::engine::evaluate_function: CheckpointFunctionBackward,546,546,17.504,16.845
CheckpointFunctionBackward,546,546,17.503,16.845
forward,8,8,8.977,8.302
megatron.core.transformer.transformer_layer._run_mlp.mlp,1248,1248,5.166,7.878
moe,1200,1200,5.133,7.802
CheckpointFunction,546,546,7.954,7.322
megatron.core.transformer.transformer_layer._forward_attention.self_attention,1248,1248,12.025,5.471
hybrid-ep combine with unpermute phase,1800,1800,0.02,5.019
autograd::engine::evaluate_function: FusedSparseAttentionFuncBackward,546,546,6.892,4.864
FusedSparseAttentionFuncBackward,546,546,6.89,4.864
combine_core in hybrid-ep,1800,1800,0.008,4.598
nvte_cublas_gemm_v2,139074,139074,1.042,4.472
flash_attn_bwd_sm100_kernel,624,624,0.005,3.705
attention,1248,1248,11.306,3.381
moe_combine,1200,1200,0.023,3.251
hybridep_combine,1200,1200,0.022,3.251
HybridEPCombine,1050,1050,0.016,3.234
nvte_multi_tensor_gemm,3600,3600,1.057,2.819
moe_experts,1200,1200,1.181,2.797
aten::matmul,17920,17920,0.117,2.066
aten::mm,17920,17920,0.104,2.066
hybridep_dispatch_bwd,600,600,0.008,1.768
autograd::engine::evaluate_function: HybridEPDispatchBackward,525,525,0.011,1.76
HybridEPDispatchBackward,525,525,0.01,1.76
dsa_core,1248,1248,0.064,1.52
hybrid-ep dispatch with permute phase,1800,1800,0.152,1.473
aten::cat,40453,40453,0.075,1.331
FusedSparseAttentionFunc,1092,1092,0.029,1.251
flash_mla_sparse_fwd,1248,1248,0.008,1.233
aten::mul,63238,63231,0.12,1.072
HybridEPDispatch,1050,1050,0.152,1.046
moe_dispatch,1200,1200,0.161,1.045
hybridep_dispatch,1200,1200,0.16,1.045
dispatch_core in hybrid-ep,1800,1800,0.008,1.026
