gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,gemm,21481,4.767,7.052,74.8
0,cat_copy,30020,4.142,7.385,3.2
0,hybridep_sync,900,3.977,354.867,58.8
0,dsa_backward,312,3.592,49.881,526.5
0,fp32_simt_head,16,1.851,116.895,115672.8
0,elementwise,51499,1.313,0.964,1.9
0,dsa_forward,156,1.197,8.268,7635.4
0,nccl,429,1.179,22.067,2255.0
0,dsa_indexer,714,1.042,2.581,1088.6
0,hybridep_dispatch,225,0.972,4.986,4444.9
0,hybridep_combine,225,0.866,4.425,3893.0
0,moe_permute,450,0.757,3.329,1633.6
0,norm,1251,0.304,0.921,44.9
0,topk_router,458,0.14,0.567,436.7
0,cub_scan_sort,11200,0.1,2.034,1.4
0,hybridep_meta,750,0.08,1.21,1.7
0,nonzero_cub,21309,0.034,0.005,1.6
0,other,3866,0.029,0.08,5.6
0,cross_entropy,8,0.006,0.758,756.6
1,gemm,21503,4.97,7.316,74.6
1,cat_copy,30070,4.205,9.072,3.2
1,dsa_backward,312,3.734,56.001,530.9
1,hybridep_sync,900,3.51,62.887,47.7
1,fp32_simt_head,16,1.859,119.265,117127.4
1,elementwise,51550,1.32,0.906,1.9
1,dsa_forward,156,1.24,8.869,7890.2
1,dsa_indexer,756,1.051,2.49,1440.7
1,hybridep_dispatch,225,0.969,4.968,4464.3
1,hybridep_combine,225,0.871,4.406,3916.2
1,moe_permute,450,0.764,3.884,1586.3
1,nccl,429,0.654,21.046,771.6
1,norm,1251,0.305,1.05,44.7
1,topk_router,458,0.141,0.591,436.0
1,cub_scan_sort,11196,0.1,2.09,1.5
1,hybridep_meta,750,0.08,1.118,1.6
1,nonzero_cub,21294,0.035,0.006,1.6
1,other,3860,0.03,0.084,5.6
1,cross_entropy,8,0.006,0.76,758.1
2,gemm,21524,4.858,7.203,74.1
2,cat_copy,30059,4.178,8.161,3.3
2,hybridep_sync,900,4.022,340.958,267.3
2,dsa_backward,312,3.706,51.61,527.9
2,fp32_simt_head,16,1.851,116.991,115762.6
2,elementwise,51626,1.325,0.95,2.2
2,dsa_forward,156,1.235,8.648,7874.6
2,dsa_indexer,840,1.045,2.225,784.7
2,hybridep_combine,225,0.873,4.383,3902.4
2,hybridep_dispatch,225,0.815,4.227,3735.6
2,moe_permute,450,0.78,3.376,1698.9
2,nccl,429,0.727,16.147,840.6
2,norm,1251,0.305,0.988,44.8
2,topk_router,458,0.141,0.548,434.9
2,cub_scan_sort,11196,0.103,2.031,1.7
2,hybridep_meta,750,0.083,1.722,2.0
2,nonzero_cub,21294,0.041,0.006,2.0
2,other,3860,0.031,0.088,5.9
2,cross_entropy,8,0.006,0.758,757.0
3,gemm,21468,4.964,7.125,74.3
3,cat_copy,30133,4.209,8.21,3.3
3,hybridep_sync,900,3.771,355.511,54.8
3,dsa_backward,312,3.726,53.359,529.8
3,fp32_simt_head,16,1.851,117.03,115678.2
3,elementwise,51658,1.324,0.861,1.9
3,dsa_forward,156,1.237,8.395,7904.0
3,dsa_indexer,840,1.053,2.578,1855.5
3,hybridep_dispatch,225,0.972,4.947,4453.1
3,hybridep_combine,225,0.87,4.545,3908.1
3,moe_permute,450,0.788,3.644,1733.4
3,nccl,429,0.607,20.69,453.2
3,norm,1251,0.305,1.004,44.8
3,topk_router,458,0.141,0.559,436.6
3,cub_scan_sort,11196,0.1,2.059,1.4
3,hybridep_meta,750,0.078,1.679,1.7
3,nonzero_cub,21294,0.035,0.005,1.6
3,other,3860,0.029,0.079,5.6
3,cross_entropy,8,0.006,0.759,756.5
4,gemm,21503,4.911,7.154,75.6
4,cat_copy,30100,4.186,7.321,3.2
4,hybridep_sync,900,4.039,350.285,218.7
4,dsa_backward,312,3.709,50.644,530.0
4,fp32_simt_head,16,1.854,117.254,115863.5
4,elementwise,51730,1.32,0.905,2.1
4,dsa_forward,156,1.237,8.685,7886.6
4,dsa_indexer,924,1.057,2.495,1235.8
4,hybridep_combine,225,0.868,4.399,3892.7
4,hybridep_dispatch,225,0.807,4.194,3693.2
4,nccl,429,0.776,16.112,1220.0
4,moe_permute,450,0.766,4.006,1594.1
4,norm,1251,0.304,0.944,44.9
4,topk_router,458,0.141,0.577,435.5
4,cub_scan_sort,11196,0.102,2.058,1.7
4,hybridep_meta,750,0.079,1.324,1.9
4,nonzero_cub,21294,0.039,0.006,1.9
4,other,3860,0.03,0.082,5.8
4,cross_entropy,8,0.006,0.757,756.0
5,gemm,21548,4.739,6.844,76.1
5,cat_copy,30056,4.127,7.38,3.2
5,hybridep_sync,900,4.107,202.411,153.5
5,dsa_backward,312,3.708,50.733,529.0
5,fp32_simt_head,16,1.855,117.288,115938.0
5,elementwise,51752,1.309,0.918,2.1
5,dsa_forward,156,1.236,8.686,7877.0
5,dsa_indexer,966,1.101,2.768,1515.0
5,hybridep_combine,225,0.875,4.434,3926.4
5,hybridep_dispatch,225,0.823,4.197,3744.1
5,moe_permute,450,0.747,3.461,1529.0
5,nccl,429,0.67,15.131,787.1
5,norm,1251,0.304,0.952,44.8
5,topk_router,458,0.14,0.547,436.3
5,cub_scan_sort,11196,0.102,2.037,1.7
5,hybridep_meta,750,0.079,1.345,1.9
5,nonzero_cub,21294,0.04,0.006,1.8
5,other,3860,0.03,0.081,5.9
5,cross_entropy,8,0.006,0.76,757.3
6,gemm,21539,5.296,7.319,76.0
6,cat_copy,30254,4.394,7.56,3.3
6,dsa_backward,312,3.749,51.552,529.6
6,hybridep_sync,900,3.38,361.897,375.4
6,fp32_simt_head,16,1.852,117.036,115757.0
6,elementwise,51668,1.361,0.944,2.0
6,dsa_forward,156,1.244,8.641,7912.6
6,dsa_indexer,798,1.194,3.066,1534.5
6,moe_permute,450,0.866,3.518,1778.9
6,hybridep_combine,225,0.849,4.395,3760.7
6,hybridep_dispatch,225,0.76,4.216,3481.3
6,nccl,429,0.572,15.812,910.5
6,norm,1251,0.305,0.929,44.9
6,topk_router,458,0.141,0.556,436.6
6,cub_scan_sort,11196,0.101,2.043,1.5
6,hybridep_meta,750,0.081,1.309,1.7
6,nonzero_cub,21294,0.036,0.005,1.7
6,other,3860,0.03,0.083,5.6
6,cross_entropy,8,0.006,0.759,756.9
7,gemm,21523,4.719,7.146,72.8
7,hybridep_sync,900,4.147,363.505,69.4
7,cat_copy,29999,4.106,7.961,3.2
7,dsa_backward,312,3.715,53.506,528.8
7,fp32_simt_head,16,1.851,117.0,115690.7
7,elementwise,51560,1.306,0.959,2.1
7,dsa_forward,156,1.24,8.727,7899.6
