k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,76.066,87.187,1.146,0,87.187,73.044,70.462,74.166,72.051,73.86,78.763,78.993
1,108.41,113.09,1.043,0,113.09,109.349,108.554,108.154,109.696,108.026,103.811,106.598
2,81.538,84.998,1.042,6,79.981,81.023,79.513,80.91,80.357,83.349,84.998,82.172
3,17.268,23.006,1.332,0,23.006,18.505,20.698,17.208,20.121,14.536,12.072,12.001
4,12.182,13.042,1.071,0,13.042,11.777,12.004,11.339,12.594,12.2,12.489,12.013
5,12.202,13.579,1.113,0,13.579,12.313,11.882,11.5,12.396,11.836,12.6,11.508
6,74.957,81.745,1.091,7,73.635,72.2,72.553,71.579,73.051,74.854,80.042,81.745
7,12.428,13.771,1.108,0,13.771,12.477,11.838,11.396,12.792,11.637,13.054,12.463
8,12.508,13.507,1.08,0,13.507,12.328,12.502,11.404,12.845,12.248,12.883,12.345
9,12.338,13.998,1.134,0,13.998,12.064,12.247,11.312,12.8,11.947,12.461,11.879
10,76.945,82.32,1.07,6,75.945,74.256,74.875,74.137,75.638,77.472,82.32,80.917
11,12.242,13.38,1.093,0,13.38,11.888,12.321,11.393,12.582,11.976,12.579,11.821
12,13.057,14.113,1.081,0,14.113,12.788,13.123,11.934,13.532,12.739,13.254,12.971
13,12.249,13.511,1.103,0,13.511,11.981,12.107,11.314,12.686,11.849,12.541,12.004
14,73.003,79.53,1.089,6,71.932,70.18,70.786,69.836,71.485,73.045,79.53,77.227
15,12.745,14.427,1.132,0,14.427,12.412,11.741,11.848,13.628,12.394,13.048,12.459
16,12.226,13.375,1.094,0,13.375,11.87,12.43,11.39,12.465,11.91,12.37,11.997
17,12.188,13.291,1.09,0,13.291,11.929,12.18,11.268,12.632,11.779,12.276,12.151
18,75.091,80.464,1.072,6,73.827,72.634,72.974,71.939,74.127,75.504,80.464,79.257
19,12.085,13.325,1.103,0,13.325,11.723,11.825,11.635,12.038,12.122,11.824,12.185
20,15.478,17.921,1.158,4,17.847,11.368,13.957,16.276,17.921,17.343,17.76,11.352
21,13.875,15.373,1.108,4,11.031,12.876,13.721,13.738,15.373,14.606,14.939,14.714
22,75.616,81.27,1.075,6,74.247,72.553,72.932,72.489,74.503,76.437,81.27,80.494
23,12.916,14.325,1.109,0,14.325,13.079,12.367,11.347,13.601,12.308,13.209,13.092
24,12.675,13.912,1.098,0,13.912,12.544,12.652,11.344,13.371,12.339,12.786,12.451
25,13.205,14.117,1.069,0,14.117,13.132,13.264,11.73,13.697,13.179,13.436,13.083
26,73.527,79.211,1.077,6,70.813,71.152,71.381,70.705,71.972,75.156,79.211,77.823
27,12.172,13.624,1.119,0,13.624,11.965,12.251,11.285,12.452,11.882,12.055,11.864
28,15.714,20.376,1.297,0,20.376,15.283,13.329,11.391,18.149,17.18,15.442,14.563
29,12.841,13.459,1.048,6,11.027,12.524,12.994,12.711,13.354,13.453,13.459,13.21
30,73.753,79.167,1.073,6,72.92,71.184,71.553,72.165,71.889,73.554,79.167,77.591
31,12.438,13.214,1.062,2,12.415,12.29,13.214,11.279,12.968,12.366,12.682,12.292
32,16.228,17.409,1.073,4,11.024,16.959,17.25,16.017,17.409,17.012,17.239,16.915
33,13.129,14.478,1.103,0,14.478,13.226,13.557,12.215,13.48,13.389,13.259,11.431
34,74.788,80.449,1.076,6,73.901,72.974,73.003,71.168,73.128,75.084,80.449,78.593
35,13.308,14.662,1.102,0,14.662,13.355,12.984,11.884,13.722,13.124,13.46,13.276
36,12.575,13.852,1.101,0,13.852,12.528,12.945,11.363,12.782,12.023,12.671,12.439
37,12.24,13.423,1.097,0,13.423,12.33,12.333,11.308,12.518,11.886,12.375,11.745
38,75.651,80.548,1.065,6,74.184,76.29,73.436,72.119,73.727,75.708,80.548,79.196
39,12.452,13.654,1.097,0,13.654,12.428,12.162,11.359,12.465,12.347,12.738,12.46
40,13.166,13.804,1.048,6,11.207,13.441,13.575,12.86,13.75,13.154,13.804,13.54
41,12.523,13.059,1.043,0,13.059,12.568,12.642,11.362,12.787,12.494,12.852,12.424
42,74.295,79.696,1.073,6,72.992,72.311,72.383,71.144,72.503,74.683,79.696,78.648
43,12.37,13.799,1.116,0,13.799,12.121,11.998,11.336,12.622,11.821,12.93,12.332
44,12.123,13.267,1.094,0,13.267,12.013,12.128,11.452,11.954,11.852,12.328,11.991
45,12.319,13.633,1.107,0,13.633,12.034,12.617,11.338,12.37,12.123,12.564,11.874
46,75.152,79.921,1.063,6,74.181,72.673,73.035,71.958,75.605,75.143,79.921,78.698
47,12.066,12.788,1.06,0,12.788,11.877,11.959,11.327,12.289,12.1,12.351,11.84
48,12.201,13.497,1.106,0,13.497,11.687,12.169,11.57,12.136,11.893,12.384,12.269
49,12.178,13.535,1.111,0,13.535,12.29,11.939,11.394,12.091,12.151,12.124,11.9
50,75.999,80.875,1.064,6,75.018,75.717,73.859,72.961,73.903,76.056,80.875,79.606
51,13.129,14.611,1.113,0,14.611,13.141,13.415,12.594,13.541,12.919,13.451,11.361
52,11.996,13.159,1.097,0,13.159,11.8,11.772,11.285,12.294,11.671,12.251,11.738
53,12.232,13.385,1.094,0,13.385,11.792,12.012,11.279,13.05,11.94,12.588,11.809
54,76.205,81.267,1.066,6,74.984,73.591,74.269,73.148,76.219,76.234,81.267,79.927
55,11.9,12.475,1.048,0,12.475,11.746,11.93,11.416,12.219,11.357,12.41,11.648
56,12.121,13.423,1.107,0,13.423,11.997,12.187,11.264,12.154,11.789,12.262,11.889
57,12.46,13.319,1.069,0,13.319,11.931,12.362,11.597,12.72,12.23,12.643,12.876
58,76.483,81.669,1.068,6,75.348,73.538,74.976,74.486,74.946,76.632,81.669,80.266
59,12.231,13.465,1.101,0,13.465,12.266,12.39,11.261,12.39,11.814,12.309,11.955
60,12.251,13.426,1.096,0,13.426,11.938,12.332,11.547,12.429,11.982,12.401,11.955
61,14.173,18.834,1.329,0,18.834,13.351,11.535,11.419,15.643,14.136,14.414,14.049
62,74.555,80.014,1.073,6,74.335,71.583,72.497,72.08,73.47,73.363,80.014,79.098
63,12.308,13.176,1.07,0,13.176,12.491,12.15,11.715,12.571,12.017,12.221,12.126
64,12.435,13.738,1.105,0,13.738,12.361,11.959,11.795,12.675,12.097,12.743,12.11
65,11.985,13.577,1.133,0,13.577,11.492,11.37,11.482,12.074,11.687,12.696,11.502
66,75.7,80.989,1.07,6,74.625,74.789,73.253,72.713,73.968,75.84,80.989,79.422
67,12.224,13.511,1.105,0,13.511,12.231,12.226,11.351,12.608,11.644,12.355,11.863
68,12.379,13.802,1.115,0,13.802,12.084,12.035,11.78,13.385,11.336,12.803,11.809
69,12.369,13.759,1.112,0,13.759,12.163,11.798,11.254,12.738,12.584,12.423,12.235
70,74.468,79.769,1.071,6,73.556,71.835,72.156,72.492,72.746,74.841,79.769,78.349
71,12.162,13.406,1.102,0,13.406,12.293,11.569,11.457,12.483,11.65,12.479,11.955
72,12.188,13.44,1.103,0,13.44,12.011,11.729,11.411,12.49,11.968,12.464,11.988
73,11.937,12.684,1.063,0,12.684,11.526,11.584,11.417,12.188,11.853,12.388,11.854
74,77.158,82.396,1.068,6,76.416,74.861,75.822,74.045,75.383,77.667,82.396,80.674
75,12.176,13.509,1.109,0,13.509,12.531,11.988,11.287,12.444,12.001,12.089,11.558
76,12.994,14.566,1.121,0,14.566,13.768,12.534,12.173,13.482,12.638,13.352,11.439
77,15.259,17.248,1.13,0,17.248,16.43,15.793,11.624,16.548,16.055,16.422,11.952
78,13.175,15.351,1.165,0,15.351,11.822,13.411,13.94,12.42,11.378,13.353,13.723
79,11.769,12.939,1.099,0,12.939,11.329,11.695,11.361,11.977,11.482,11.952,11.422
80,11.974,13.214,1.104,0,13.214,11.949,11.724,11.266,12.246,11.711,11.749,11.935
81,15.254,16.757,1.098,0,16.757,15.249,15.441,14.935,15.179,15.117,15.112,14.242
82,13.676,15.549,1.137,0,15.549,11.264,14.273,13.831,13.533,14.07,14.484,12.405
83,12.583,14.055,1.117,0,14.055,12.741,12.704,11.919,12.962,11.973,12.929,11.381
84,13.907,15.467,1.112,0,15.467,14.097,14.249,13.699,14.323,13.848,14.215,11.36
85,15.053,16.711,1.11,0,16.711,14.604,15.045,14.6,15.094,14.331,15.009,15.032
86,16.383,21.169,1.292,4,17.624,11.926,11.478,19.816,21.169,16.88,20.841,11.334
87,12.293,13.033,1.06,0,13.033,12.212,12.225,11.795,12.736,11.365,12.632,12.344
88,13.101,14.301,1.092,0,14.301,13.373,13.203,12.901,13.513,12.917,13.249,11.349
89,14.859,16.179,1.089,0,16.179,14.812,14.704,14.128,15.093,14.632,15.065,14.261
90,12.072,13.16,1.09,0,13.16,12.035,12.107,11.554,12.224,11.369,11.991,12.135
91,12.007,12.95,1.079,0,12.95,11.872,11.748,11.492,12.365,11.371,12.143,12.112
92,12.603,13.653,1.083,0,13.653,13.096,11.383,12.216,13.115,12.243,12.471,12.643
93,14.975,16.675,1.113,0,16.675,15.044,14.843,14.144,15.083,14.178,14.994,14.842
94,12.418,13.553,1.091,0,13.553,12.664,11.995,11.647,12.783,11.347,12.704,12.649
95,11.886,12.892,1.085,0,12.892,12.04,11.586,11.289,12.209,11.356,11.908,11.804
96,11.867,12.746,1.074,0,12.746,11.915,11.712,11.235,12.293,11.616,11.962,11.456
97,14.978,16.017,1.069,0,16.017,14.687,14.996,14.337,15.356,14.181,15.157,15.091
98,11.733,12.662,1.079,0,12.662,11.504,11.727,11.256,11.878,11.347,11.857,11.633
99,11.691,12.543,1.073,0,12.543,11.291,11.451,11.263,12.118,11.352,11.727,11.779
100,12.617,13.743,1.089,0,13.743,12.627,11.363,12.358,13.03,12.414,12.773,12.625
101,14.932,16.168,1.083,0,16.168,14.778,14.877,14.354,15.189,14.183,15.118,14.788
102,12.452,13.726,1.102,0,13.726,12.264,12.42,12.212,12.852,11.34,12.294,12.506
103,11.72,12.289,1.049,0,12.289,11.445,11.717,11.275,12.075,11.355,11.779,11.823
104,11.842,12.587,1.063,0,12.587,11.874,11.843,11.282,12.233,11.357,11.766,11.795
105,15.82,17.362,1.097,0,17.362,15.94,16.128,15.032,16.34,14.254,15.499,16.005
106,12.208,12.631,1.035,6,11.055,12.447,12.532,11.997,12.612,11.806,12.631,12.587
107,11.974,13.037,1.089,0,13.037,11.856,11.902,11.501,12.194,11.35,12.129,11.822
108,11.939,12.928,1.083,0,12.928,11.778,11.962,11.283,12.305,11.673,11.937,11.646
109,15.228,16.397,1.077,0,16.397,15.084,15.251,14.699,15.541,14.248,15.318,15.286
110,11.854,12.886,1.087,0,12.886,11.548,11.884,11.33,12.051,11.476,12.207,11.452
111,22.487,32.686,1.454,0,32.686,31.904,11.427,31.568,13.14,13.389,13.671,32.108
112,12.318,12.928,1.05,4,12.916,12.249,11.44,11.573,12.928,12.251,12.869,12.316
113,16.732,17.93,1.072,6,17.244,15.429,17.529,16.493,15.375,16.863,17.93,16.993
114,12.094,13.039,1.078,0,13.039,11.48,12.138,11.328,12.546,11.866,12.2,12.159
115,12.293,13.45,1.094,0,13.45,11.807,12.421,11.379,12.946,11.828,12.492,12.02
116,12.423,13.598,1.095,0,13.598,11.904,12.62,11.639,12.853,11.4,12.618,12.749
117,15.326,16.128,1.052,0,16.128,15.156,15.372,14.238,15.792,15.223,15.406,15.294
118,12.095,13.031,1.077,0,13.031,11.962,11.995,11.27,12.407,11.711,12.345,12.039
119,12.446,13.687,1.1,0,13.687,11.317,12.61,11.71,12.933,12.117,12.902,12.296
120,12.725,13.991,1.099,0,13.991,11.28,12.968,11.969,13.292,12.342,13.316,12.646
121,15.386,16.709,1.086,0,16.709,15.243,15.634,14.396,14.856,14.99,15.908,15.353
122,11.974,13.284,1.109,0,13.284,11.785,12.067,11.361,11.499,11.416,12.171,12.206
123,12.4,13.614,1.098,0,13.614,11.261,12.658,11.841,12.702,12.172,12.627,12.325
124,11.863,13.259,1.118,0,13.259,11.508,11.456,11.257,12.21,11.588,12.086,11.54
125,15.604,16.774,1.075,0,16.774,15.626,15.647,14.164,15.747,15.543,15.888,15.443
126,12.125,13.269,1.094,0,13.269,11.357,12.118,11.277,12.525,11.916,12.43,12.106
127,12.679,13.789,1.088,0,13.789,12.516,12.768,11.339,13.049,12.115,13.098,12.76
128,11.964,12.963,1.084,0,12.963,11.468,11.903,11.336,12.213,11.776,12.287,11.764
129,15.52,16.874,1.087,0,16.874,15.348,15.849,14.177,15.878,14.915,15.745,15.373
130,11.99,13.154,1.097,0,13.154,11.618,12.046,11.604,11.763,11.458,12.327,11.952
131,12.187,13.255,1.088,0,13.255,12.112,12.059,11.607,12.575,11.452,12.504,11.935
132,12.178,13.171,1.082,0,13.171,11.878,12.02,11.341,12.684,11.68,12.635,12.011
133,14.87,16.243,1.092,0,16.243,14.261,14.394,14.263,15.037,14.416,15.528,14.815
134,11.737,12.722,1.084,0,12.722,11.699,11.367,11.274,11.955,11.376,11.826,11.674
135,11.781,12.645,1.073,0,12.645,11.537,11.368,11.421,12.178,11.533,12.084,11.479
136,11.908,12.99,1.091,0,12.99,12.141,11.378,11.404,12.25,11.324,12.01,11.768
137,14.982,15.607,1.042,6,15.45,15.117,14.748,14.748,15.555,14.246,15.607,14.388
138,12.296,13.453,1.094,0,13.453,12.611,11.792,11.344,12.622,11.501,12.738,12.309
139,11.987,12.817,1.069,0,12.817,12.149,11.382,11.623,12.305,11.436,12.225,11.963
140,11.949,12.892,1.079,0,12.892,12.095,11.57,11.547,12.375,11.351,12.216,11.544
141,14.964,16.131,1.078,0,16.131,14.971,14.445,14.482,15.487,14.247,15.123,14.824
142,11.953,12.983,1.086,0,12.983,11.887,11.593,11.471,12.271,11.388,12.179,11.851
143,12.24,13.359,1.091,0,13.359,12.342,12.214,11.703,12.719,12.157,11.362,12.06
144,11.913,13.014,1.092,0,13.014,12.022,11.49,11.306,12.209,11.387,12.106,11.766
145,15.634,16.853,1.078,0,16.853,15.831,15.097,14.293,15.938,15.378,16.003,15.676
146,11.915,12.695,1.065,0,12.695,11.971,11.702,11.312,12.271,11.703,12.002,11.66
147,11.897,13.229,1.112,0,13.229,11.905,11.507,11.326,12.176,11.552,12.057,11.425
148,12.037,13.022,1.082,0,13.022,12.004,11.621,11.502,12.436,11.863,12.345,11.503
149,15.458,16.723,1.082,0,16.723,15.759,14.81,15.154,15.159,15.169,15.7,15.19
150,13.818,15.072,1.091,0,15.072,14.199,13.686,11.292,13.871,13.928,14.382,14.112
151,11.985,12.507,1.043,4,11.716,12.107,12.014,11.311,12.507,12.078,12.397,11.755
152,12.267,12.831,1.046,4,11.872,12.552,12.003,11.444,12.831,12.322,12.735,12.381
153,14.951,15.666,1.048,4,15.277,14.201,14.576,14.202,15.666,15.063,15.567,15.054
154,15.352,16.392,1.068,6,14.029,15.084,15.36,14.777,15.517,16.049,16.392,15.609
155,15.772,16.529,1.048,6,14.106,15.851,15.801,15.263,16.451,15.995,16.529,16.18
