k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,9.701,9.748,1.005,6,9.488,9.733,9.729,9.74,9.73,9.71,9.748,9.728
1,9.75,9.825,1.008,7,9.55,9.761,9.731,9.754,9.816,9.761,9.802,9.825
2,9.753,9.85,1.01,5,9.526,9.836,9.735,9.766,9.758,9.85,9.747,9.802
3,10.398,10.781,1.037,1,10.153,10.781,10.289,10.265,10.58,10.556,10.256,10.306
4,9.861,10.134,1.028,5,9.605,9.822,9.87,9.765,9.874,10.134,9.995,9.822
5,9.93,10.453,1.053,6,9.605,10.425,9.754,9.893,9.747,9.74,10.453,9.824
6,9.797,9.9,1.01,7,9.551,9.825,9.792,9.83,9.815,9.819,9.847,9.9
7,9.869,10.35,1.049,6,9.528,9.869,9.89,9.83,9.807,9.825,10.35,9.856
8,9.844,10.152,1.031,6,9.505,10.067,9.737,9.816,9.867,9.755,10.152,9.854
9,9.762,9.871,1.011,4,9.565,9.769,9.766,9.74,9.871,9.729,9.857,9.803
10,9.721,9.843,1.012,7,9.472,9.735,9.715,9.758,9.751,9.732,9.766,9.843
11,9.862,10.291,1.044,6,9.467,9.767,10.255,9.799,9.754,9.735,10.291,9.827
12,9.827,10.25,1.043,3,9.469,9.721,9.705,10.25,10.005,9.729,9.894,9.84
13,9.797,10.019,1.023,1,9.473,10.019,9.873,9.75,9.757,9.737,9.937,9.828
14,9.69,9.808,1.012,6,9.451,9.721,9.684,9.716,9.737,9.695,9.808,9.709
15,9.75,10.218,1.048,3,9.455,9.711,9.765,10.218,9.691,9.698,9.718,9.747
16,9.797,10.605,1.082,2,9.451,9.703,10.605,9.698,9.7,9.69,9.834,9.699
17,9.785,10.457,1.069,4,9.451,9.701,9.801,9.707,10.457,9.693,9.768,9.7
18,9.669,9.719,1.005,6,9.452,9.695,9.68,9.698,9.718,9.693,9.719,9.693
19,9.762,10.034,1.028,3,9.48,9.699,9.77,10.034,9.953,9.731,9.705,9.729
20,9.779,10.055,1.028,0,10.055,9.701,9.936,9.757,9.694,9.68,9.7,9.705
21,9.748,10.076,1.034,7,9.45,9.746,9.676,9.683,9.946,9.695,9.713,10.076
22,9.792,9.942,1.015,7,9.55,9.793,9.749,9.792,9.825,9.799,9.887,9.942
23,9.877,10.429,1.056,6,9.512,9.796,9.764,9.773,9.838,9.933,10.429,9.969
24,9.92,10.504,1.059,4,9.646,10.037,9.75,9.783,10.504,9.803,9.98,9.858
25,9.927,10.428,1.05,1,9.509,10.428,9.747,10.105,9.954,9.893,9.856,9.925
26,9.685,9.737,1.005,3,9.466,9.713,9.695,9.737,9.719,9.721,9.714,9.714
27,9.83,10.1,1.027,0,10.1,9.712,9.693,9.718,9.721,9.88,9.73,10.086
28,9.764,10.073,1.032,6,9.516,9.708,9.696,9.782,9.862,9.702,10.073,9.773
29,9.775,10.1,1.033,3,9.459,9.817,9.691,10.1,9.718,9.968,9.717,9.727
30,9.675,9.722,1.005,4,9.456,9.705,9.686,9.71,9.722,9.697,9.715,9.708
31,9.784,10.353,1.058,2,9.49,9.697,10.353,9.716,9.736,9.731,9.719,9.831
32,9.728,9.962,1.024,5,9.453,9.74,9.706,9.746,9.7,9.962,9.826,9.69
33,9.86,10.383,1.053,2,9.889,9.697,10.383,9.704,9.699,10.031,9.721,9.757
34,9.707,9.793,1.009,7,9.468,9.739,9.712,9.739,9.741,9.723,9.744,9.793
35,9.855,10.307,1.046,5,9.469,9.719,9.711,10.237,9.725,10.307,9.76,9.916
36,9.861,10.276,1.042,1,9.471,10.276,10.031,9.787,9.909,9.75,9.845,9.817
37,9.829,10.295,1.047,6,9.468,9.719,9.725,9.734,9.736,10.113,10.295,9.844
38,9.764,9.903,1.014,7,9.492,9.854,9.737,9.767,9.768,9.755,9.838,9.903
39,9.809,10.269,1.047,6,9.493,9.755,9.788,9.779,9.76,9.859,10.269,9.766
40,9.773,9.949,1.018,7,9.607,9.751,9.77,9.773,9.775,9.756,9.801,9.949
41,9.882,10.236,1.036,5,9.618,9.965,9.788,9.798,9.845,10.236,9.94,9.867
42,9.752,9.823,1.007,7,9.528,9.786,9.757,9.772,9.774,9.764,9.811,9.823
43,9.817,10.244,1.043,6,9.541,9.763,9.743,9.768,9.767,9.758,10.244,9.953
44,9.822,10.114,1.03,7,9.522,9.77,9.75,9.861,9.862,9.769,9.927,10.114
45,9.851,10.012,1.016,2,9.757,9.786,10.012,9.772,9.913,9.803,9.822,9.94
46,9.675,9.729,1.006,4,9.459,9.721,9.679,9.704,9.729,9.692,9.713,9.705
47,9.73,9.919,1.019,5,9.454,9.704,9.713,9.752,9.794,9.919,9.716,9.791
48,9.792,10.076,1.029,6,9.455,9.699,9.685,9.974,9.737,9.682,10.076,10.028
49,9.767,10.383,1.063,1,9.46,10.383,9.682,9.797,9.683,9.691,9.704,9.738
50,9.69,9.782,1.009,1,9.475,9.782,9.694,9.716,9.717,9.703,9.72,9.717
51,9.803,10.013,1.021,2,9.951,9.727,10.013,9.772,9.715,9.745,9.788,9.711
52,9.756,10.154,1.041,4,9.507,9.721,9.776,9.707,10.154,9.7,9.774,9.706
53,9.753,10.123,1.038,4,9.542,9.719,9.694,9.714,10.123,9.695,9.828,9.712
54,9.672,9.722,1.005,4,9.463,9.704,9.685,9.701,9.722,9.7,9.711,9.69
55,9.73,10.138,1.042,6,9.467,9.713,9.689,9.736,9.691,9.707,10.138,9.702
56,9.733,10.111,1.039,7,9.462,9.704,9.765,9.695,9.726,9.695,9.704,10.111
57,9.829,10.687,1.087,7,9.491,9.702,9.68,9.986,9.686,9.697,9.704,10.687
58,9.674,9.73,1.006,7,9.46,9.71,9.688,9.703,9.693,9.702,9.709,9.73
59,9.832,10.511,1.069,1,9.461,10.511,10.065,9.687,9.697,9.686,9.706,9.844
60,9.791,10.52,1.074,2,9.461,9.736,10.52,9.822,9.69,9.689,9.708,9.703
61,9.759,10.033,1.028,7,9.588,9.709,9.72,9.84,9.696,9.781,9.707,10.033
62,9.691,9.74,1.005,1,9.501,9.74,9.698,9.725,9.723,9.708,9.731,9.701
63,9.877,10.395,1.052,1,9.516,10.395,9.838,9.803,9.715,10.288,9.711,9.755
64,9.842,10.38,1.055,1,9.488,10.38,9.695,10.167,9.717,9.749,9.828,9.711
65,9.805,10.197,1.04,6,9.796,9.81,9.693,9.761,9.724,9.697,10.197,9.766
66,9.681,9.807,1.013,1,9.462,9.807,9.681,9.7,9.705,9.689,9.713,9.692
67,9.841,10.488,1.066,1,9.484,10.488,10.064,9.72,9.697,9.696,9.815,9.768
68,9.733,10.136,1.041,4,9.457,9.738,9.788,9.685,10.136,9.691,9.69,9.682
69,9.79,10.172,1.039,5,9.53,9.694,9.716,9.688,9.69,10.172,10.144,9.684
