k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
0,6.215,6.785,1.092,1,6.511,6.785,5.981,6.047,5.928,6.352,5.878,6.235
1,5.746,6.237,1.086,1,6.23,6.237,5.549,6.041,5.314,5.161,5.401,6.033
2,6.264,7.088,1.132,0,7.088,6.527,5.664,6.997,5.777,5.676,5.933,6.447
3,5.95,6.297,1.058,1,6.256,6.297,5.921,6.278,5.449,5.71,5.747,5.94
4,6.263,7.061,1.127,1,6.712,7.061,5.91,6.903,5.694,5.571,5.834,6.422
5,6.325,6.829,1.08,0,6.829,6.536,5.97,6.751,5.982,5.844,6.134,6.553
6,5.85,6.341,1.084,7,6.137,6.056,5.455,6.142,5.654,5.518,5.495,6.341
7,6.115,6.767,1.107,3,6.473,6.319,5.723,6.767,5.399,5.968,5.836,6.431
8,6.086,6.54,1.075,3,6.384,5.965,6.17,6.54,5.618,5.904,5.962,6.144
9,6.448,7.344,1.139,1,6.69,7.344,6.544,6.055,5.425,6.561,5.989,6.976
10,6.281,7.121,1.134,7,6.671,6.552,5.895,6.439,6.277,5.496,5.794,7.121
11,6.076,6.707,1.104,1,6.221,6.707,5.747,6.476,5.968,5.57,5.657,6.26
12,6.153,6.661,1.083,3,6.162,6.42,5.847,6.661,6.272,5.811,5.675,6.376
13,6.236,7.008,1.124,0,7.008,6.614,5.781,6.621,5.819,5.295,6.16,6.589
14,6.64,7.339,1.105,7,6.757,6.576,5.99,7.234,6.331,6.075,6.819,7.339
15,6.328,6.891,1.089,1,6.529,6.891,6.167,6.494,6.664,5.525,5.468,6.886
16,6.555,7.339,1.12,7,6.609,6.476,6.864,6.94,6.039,5.771,6.403,7.339
17,6.485,7.498,1.156,7,6.771,6.993,6.089,6.167,6.479,6.248,5.637,7.498
18,6.598,7.212,1.093,7,7.004,6.452,6.836,6.924,6.59,5.798,5.965,7.212
19,6.334,6.938,1.095,3,6.745,6.868,5.784,6.938,6.012,6.743,5.788,5.794
20,6.047,6.717,1.111,0,6.717,6.583,5.584,6.193,5.588,5.623,6.175,5.909
21,5.84,6.332,1.084,3,6.183,6.277,5.574,6.332,5.354,5.636,5.414,5.949
22,5.993,6.57,1.096,3,6.519,6.556,5.637,6.57,5.203,5.612,5.564,6.283
23,6.669,7.483,1.122,1,7.1,7.483,6.261,7.159,6.005,6.437,6.084,6.823
24,6.552,7.465,1.139,0,7.465,6.413,5.727,7.144,6.373,6.815,5.845,6.631
25,6.406,7.349,1.147,1,6.847,7.349,6.313,6.342,5.646,6.897,5.944,5.91
26,6.497,7.082,1.09,0,7.082,6.81,6.201,6.565,5.7,6.403,6.672,6.544
27,6.419,7.04,1.097,7,6.373,7.004,6.132,7.026,5.889,5.895,5.99,7.04
28,6.613,7.767,1.175,3,6.488,7.153,6.126,7.767,6.139,6.328,5.983,6.918
29,6.609,6.957,1.053,7,6.682,6.82,6.672,6.675,6.194,6.905,5.965,6.957
30,6.469,7.414,1.146,1,7.124,7.414,5.578,6.505,6.312,5.929,5.894,6.992
31,5.9,6.567,1.113,3,6.518,6.343,5.199,6.567,5.412,5.475,5.643,6.043
32,6.54,7.15,1.093,7,6.409,6.87,6.238,6.88,6.53,6.333,5.907,7.15
33,6.402,7.092,1.108,7,6.692,6.104,6.288,6.842,5.584,5.912,6.701,7.092
34,6.208,6.996,1.127,3,6.82,6.484,6.145,6.996,5.366,5.562,5.738,6.554
35,7.051,7.781,1.104,0,7.781,6.791,6.925,6.259,7.398,6.637,7.319,7.299
36,6.443,6.924,1.075,3,6.607,6.849,6.208,6.924,6.443,6.017,6.076,6.417
37,6.387,7.176,1.123,1,6.875,7.176,5.898,6.47,6.35,5.841,5.793,6.696
