waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,2346570786,15.328,7,0.0,1.017,laggard_gpu_busy,gemm=7.7ms;moe_permute=3.5ms;elementwise=3.5ms,forward|attention
0,2502475673,7.036,1,0.0,1.049,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.2ms;elementwise=0.2ms,forward|attention
0,2576888586,20.296,6,0.0,1.013,laggard_gpu_busy,gemm=7.4ms;elementwise=7.4ms;moe_permute=3.1ms,forward|attention
0,2669458578,11.66,4,0.0,1.026,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.8ms;elementwise=1.7ms,forward|attention
0,2750718740,6.257,5,0.001,1.054,laggard_gpu_busy,gemm=4.2ms;moe_permute=2.4ms;hybridep_meta=0.0ms,forward|attention
0,2894257592,13.663,2,0.0,1.02,laggard_gpu_busy,gemm=5.8ms;elementwise=4.8ms;moe_permute=2.6ms,forward|attention
0,2973424993,15.863,3,0.0,1.016,laggard_gpu_busy,gemm=6.2ms;elementwise=6.2ms;moe_permute=2.9ms,forward|attention
0,3054384416,27.581,6,0.0,1.022,laggard_gpu_busy,gemm=12.8ms;elementwise=8.2ms;moe_permute=3.1ms,forward|attention
0,3150037389,16.181,6,0.0,1.018,laggard_gpu_busy,gemm=6.9ms;elementwise=6.0ms;moe_permute=2.8ms,forward|attention
0,3299604600,16.117,3,0.0,1.017,laggard_gpu_busy,gemm=5.9ms;elementwise=5.9ms;moe_permute=2.6ms,forward|attention
0,3376704530,27.786,2,0.0,1.03,laggard_gpu_busy,gemm=14.3ms;elementwise=7.5ms;moe_permute=3.3ms,forward|attention
0,3477060100,14.658,4,0.0,1.019,laggard_gpu_busy,gemm=7.3ms;elementwise=3.5ms;moe_permute=3.3ms,forward|attention
0,3555151275,29.999,4,0.0,1.033,laggard_gpu_busy,gemm=15.1ms;elementwise=8.5ms;moe_permute=3.3ms,forward|attention
0,3718906227,25.817,3,0.0,1.022,laggard_gpu_busy,gemm=11.8ms;elementwise=7.8ms;moe_permute=3.1ms,forward|attention
0,3897349227,28.333,4,0.0,1.021,laggard_gpu_busy,gemm=13.0ms;elementwise=8.5ms;moe_permute=3.3ms,forward|attention
0,4154506674,25.011,6,0.0,0.994,laggard_gpu_busy,gemm=8.9ms;elementwise=8.7ms;moe_permute=3.5ms,forward|moe
0,4252059906,5.644,4,0.001,1.02,laggard_gpu_busy,gemm=3.3ms;moe_permute=2.4ms;hybridep_meta=0.0ms,forward|attention
0,4325798037,7.628,1,0.0,1.045,laggard_gpu_busy,gemm=5.3ms;moe_permute=2.3ms;elementwise=0.3ms,forward|attention
0,4403756378,8.83,5,0.0,1.035,laggard_gpu_busy,gemm=5.7ms;moe_permute=2.5ms;cat_copy=0.7ms,forward|attention
0,4553230200,9.12,7,0.0,1.035,laggard_gpu_busy,gemm=6.2ms;moe_permute=2.8ms;elementwise=0.3ms,forward|attention
0,4636748864,6.45,6,0.001,1.035,laggard_gpu_busy,gemm=3.8ms;moe_permute=2.9ms;hybridep_meta=0.0ms,forward|attention
0,4716925663,18.934,3,0.0,1.015,laggard_gpu_busy,gemm=7.0ms;elementwise=6.9ms;moe_permute=3.0ms,forward|attention
0,4806958101,20.593,3,0.0,1.013,laggard_gpu_busy,gemm=7.9ms;elementwise=7.8ms;moe_permute=3.2ms,forward|attention
0,4964315761,16.988,2,0.0,1.018,laggard_gpu_busy,gemm=6.9ms;elementwise=6.8ms;moe_permute=2.8ms,forward|attention
0,5042285367,24.316,5,0.0,1.042,laggard_gpu_busy,gemm=12.3ms;elementwise=6.8ms;moe_permute=2.9ms,forward|attention
0,5224273529,20.075,6,0.0,1.014,laggard_gpu_busy,gemm=7.7ms;elementwise=7.6ms;moe_permute=3.0ms,forward|attention
0,5453630035,16.145,6,0.0,0.989,laggard_gpu_busy,gemm=5.8ms;elementwise=5.2ms;moe_permute=2.5ms,forward|attention
0,5534846208,28.399,5,0.0,1.016,laggard_gpu_busy,gemm=12.4ms;elementwise=8.9ms;moe_permute=3.5ms,forward|attention
0,5634819832,7.964,1,0.0,1.047,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.5ms;hybridep_meta=0.0ms,forward|attention
0,5784560845,11.315,2,0.0,1.025,laggard_gpu_busy,gemm=5.8ms;elementwise=2.6ms;moe_permute=2.6ms,forward|attention
0,5954135283,12.426,5,0.0,1.026,laggard_gpu_busy,gemm=6.1ms;elementwise=3.1ms;moe_permute=2.8ms,forward|attention
0,6037808328,11.536,1,0.0,1.025,laggard_gpu_busy,gemm=6.5ms;moe_permute=2.7ms;elementwise=1.8ms,forward|attention
0,6186063148,19.755,6,0.0,1.015,laggard_gpu_busy,gemm=7.4ms;elementwise=7.2ms;moe_permute=3.1ms,forward|attention
0,6276390962,15.641,7,0.0,1.016,laggard_gpu_busy,gemm=6.9ms;elementwise=5.1ms;moe_permute=3.0ms,forward|attention
0,6437059852,17.754,4,0.0,1.015,laggard_gpu_busy,gemm=7.0ms;elementwise=6.9ms;moe_permute=3.1ms,forward|attention
0,6589891335,18.112,7,0.0,1.016,laggard_gpu_busy,gemm=6.7ms;elementwise=6.6ms;moe_permute=2.9ms,forward|attention
0,6676593697,19.592,6,0.0,1.013,laggard_gpu_busy,elementwise=7.8ms;gemm=7.6ms;moe_permute=3.2ms,forward|attention
0,6765105969,14.32,1,0.0,1.019,laggard_gpu_busy,gemm=6.5ms;elementwise=4.6ms;moe_permute=2.8ms,forward|attention
0,6842612475,39.169,1,0.0,1.031,laggard_gpu_busy,gemm=21.2ms;elementwise=10.4ms;moe_permute=3.9ms,forward|attention
0,7100941108,20.068,6,0.0,1.015,laggard_gpu_busy,gemm=7.8ms;elementwise=7.6ms;moe_permute=3.1ms,forward|attention
0,7265163001,34.314,4,0.0,1.027,laggard_gpu_busy,gemm=18.1ms;elementwise=8.8ms;moe_permute=4.0ms,forward|attention
0,7436945145,17.86,6,0.0,1.015,laggard_gpu_busy,gemm=6.8ms;elementwise=6.7ms;moe_permute=3.0ms,forward|attention
0,7521660699,12.847,7,0.0,1.02,laggard_gpu_busy,gemm=5.7ms;elementwise=3.8ms;moe_permute=2.9ms,forward|attention
0,7608724316,7.469,3,0.001,1.035,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.8ms;hybridep_meta=0.0ms,forward|attention
0,7685240849,12.875,2,0.0,1.026,laggard_gpu_busy,gemm=6.1ms;elementwise=3.6ms;moe_permute=2.8ms,forward|attention
0,7829989877,26.579,1,0.0,0.803,laggard_gpu_busy,gemm=7.4ms;elementwise=7.1ms;moe_permute=3.4ms,forward|attention
0,7917744949,25.774,2,0.0,1.02,laggard_gpu_busy,gemm=12.6ms;elementwise=7.1ms;moe_permute=3.1ms,forward|attention
0,8096162810,10.295,4,0.0,1.026,laggard_gpu_busy,gemm=6.8ms;moe_permute=2.9ms;cat_copy=0.5ms,forward|attention
0,8242666995,16.675,1,0.0,1.017,laggard_gpu_busy,elementwise=6.6ms;gemm=6.5ms;moe_permute=2.9ms,forward|attention
0,8324637451,13.442,1,0.0,0.999,laggard_gpu_busy,gemm=5.5ms;elementwise=4.7ms;moe_permute=2.6ms,forward|moe
0,8481645222,23.558,1,0.0,1.012,laggard_gpu_busy,gemm=8.4ms;elementwise=8.0ms;moe_permute=3.7ms,forward|attention
0,8639925841,17.245,6,0.0,1.017,laggard_gpu_busy,gemm=6.3ms;elementwise=6.1ms;moe_permute=2.7ms,forward|attention
0,8726772038,10.939,4,0.0,1.032,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.6ms;elementwise=1.9ms,forward|attention
0,8884928784,15.987,3,0.0,1.02,laggard_gpu_busy,gemm=6.6ms;elementwise=6.1ms;moe_permute=2.8ms,forward|attention
0,9034364973,17.433,6,0.0,1.016,laggard_gpu_busy,gemm=6.3ms;elementwise=6.3ms;moe_permute=2.8ms,forward|attention
0,9111753741,22.555,1,0.0,1.041,laggard_gpu_busy,gemm=11.2ms;elementwise=6.3ms;moe_permute=3.0ms,forward|attention
0,9276098851,21.22,5,0.0,1.013,laggard_gpu_busy,gemm=9.5ms;elementwise=6.2ms;moe_permute=2.8ms,forward|attention
0,9441357093,10.795,4,0.0,1.021,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.9ms;elementwise=1.0ms,forward|attention
0,9511234407,33.611,6,0.0,1.005,laggard_gpu_busy,gemm=18.0ms;elementwise=8.4ms;moe_permute=3.3ms,forward|attention
0,9621107898,9.437,6,0.0,1.033,laggard_gpu_busy,gemm=6.7ms;moe_permute=3.1ms;hybridep_meta=0.0ms,forward|attention
0,9697625495,33.482,1,0.0,1.028,laggard_gpu_busy,gemm=17.1ms;elementwise=9.1ms;moe_permute=3.9ms,forward|lm_head
0,11722093440,354.867,1,0.0,0.095,laggard_gpu_idle(host),gemm=16.9ms;elementwise=9.2ms;moe_permute=3.4ms,backward|moe|recompute
0,12099839854,43.182,1,0.0,1.012,laggard_gpu_busy,gemm=18.3ms;elementwise=10.7ms;cat_copy=7.5ms,backward|recompute
0,12316666425,9.118,6,0.0,1.028,laggard_gpu_busy,gemm=6.3ms;moe_permute=3.0ms;hybridep_meta=0.0ms,backward|recompute
0,12363422572,11.617,6,0.0,1.041,laggard_gpu_busy,gemm=9.1ms;moe_permute=3.0ms;hybridep_meta=0.0ms,backward|recompute
0,12522362998,33.445,6,0.0,1.021,laggard_gpu_busy,gemm=18.5ms;elementwise=8.4ms;moe_permute=3.2ms,backward|recompute
0,12574471630,45.37,6,0.0,1.013,laggard_gpu_busy,gemm=18.1ms;elementwise=10.7ms;cat_copy=10.0ms,backward|recompute
0,12782700651,10.621,4,0.0,1.025,laggard_gpu_busy,gemm=6.4ms;moe_permute=2.7ms;elementwise=1.0ms,backward|recompute
0,12826982304,13.297,4,0.0,1.036,laggard_gpu_busy,gemm=10.8ms;moe_permute=3.0ms;hybridep_meta=0.0ms,backward|recompute
0,12991570609,21.462,5,0.0,1.015,laggard_gpu_busy,gemm=9.7ms;elementwise=6.3ms;moe_permute=2.8ms,backward|recompute
0,13033483751,25.604,5,0.0,1.023,laggard_gpu_busy,gemm=12.3ms;elementwise=6.4ms;moe_permute=3.0ms,backward|recompute
0,13468132234,22.172,1,0.0,1.042,laggard_gpu_busy,gemm=11.2ms;elementwise=6.2ms;moe_permute=2.7ms,backward|recompute
0,13510198402,26.654,1,0.0,1.025,laggard_gpu_busy,gemm=12.9ms;elementwise=7.1ms;moe_permute=2.9ms,backward|recompute
0,13691789996,17.376,6,0.0,1.019,laggard_gpu_busy,gemm=6.3ms;elementwise=6.2ms;moe_permute=2.8ms,backward|recompute
0,13734564781,20.776,6,0.0,1.033,laggard_gpu_busy,gemm=12.6ms;moe_permute=3.0ms;activation=2.6ms,backward|recompute
0,13917864451,16.352,3,0.0,1.018,laggard_gpu_busy,gemm=6.6ms;elementwise=6.4ms;moe_permute=2.8ms,backward|recompute
0,13961565941,19.939,3,0.0,1.038,laggard_gpu_busy,gemm=13.3ms;moe_permute=3.0ms;activation=2.8ms,backward|recompute
0,14344778333,10.957,4,0.0,1.032,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.6ms;elementwise=1.9ms,backward|recompute
0,14385671532,13.365,4,0.0,1.051,laggard_gpu_busy,gemm=11.3ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
0,14554112229,17.752,6,0.0,1.015,laggard_gpu_busy,gemm=6.4ms;elementwise=6.4ms;moe_permute=3.0ms,backward|recompute
0,14597158959,21.249,6,0.0,1.032,laggard_gpu_busy,gemm=12.6ms;moe_permute=3.0ms;activation=2.6ms,backward|recompute
0,14771377075,23.047,1,0.0,1.018,laggard_gpu_busy,gemm=8.6ms;elementwise=7.9ms;moe_permute=3.1ms,backward|recompute
0,14823146382,30.866,1,0.0,1.025,laggard_gpu_busy,gemm=16.3ms;cat_copy=6.0ms;activation=3.3ms,backward|recompute
0,15206832860,12.052,1,0.0,1.023,laggard_gpu_busy,gemm=5.5ms;elementwise=3.9ms;moe_permute=2.4ms,backward|recompute
0,15243858808,14.615,1,0.0,1.046,laggard_gpu_busy,gemm=10.9ms;moe_permute=2.6ms;activation=0.9ms,backward|recompute
0,15418643843,16.553,1,0.0,1.017,laggard_gpu_busy,gemm=6.6ms;elementwise=6.3ms;moe_permute=3.0ms,backward|recompute
0,15462070899,19.868,1,0.0,1.034,laggard_gpu_busy,gemm=12.9ms;moe_permute=3.0ms;activation=2.7ms,backward|recompute
0,15643934617,11.156,4,0.0,1.025,laggard_gpu_busy,gemm=7.0ms;moe_permute=3.3ms;cat_copy=0.8ms,backward|recompute
0,15691684672,13.753,4,0.0,1.03,laggard_gpu_busy,gemm=10.9ms;moe_permute=3.3ms;hybridep_meta=0.0ms,backward|recompute
0,16044121370,25.896,2,0.0,1.02,laggard_gpu_busy,gemm=12.6ms;elementwise=7.2ms;moe_permute=3.1ms,backward|recompute
0,16090764857,30.671,2,0.0,1.023,laggard_gpu_busy,gemm=14.4ms;elementwise=8.6ms;moe_permute=3.2ms,backward|recompute
0,16271968401,25.767,1,0.0,1.011,laggard_gpu_busy,gemm=12.6ms;elementwise=7.0ms;moe_permute=3.0ms,backward|recompute
0,16318565840,31.971,1,0.0,1.021,laggard_gpu_busy,gemm=14.6ms;elementwise=9.3ms;activation=3.3ms,backward|recompute
0,16507085991,13.504,2,0.0,1.021,laggard_gpu_busy,gemm=6.1ms;elementwise=3.9ms;moe_permute=3.1ms,backward|recompute
0,16550040983,16.059,2,0.0,1.054,laggard_gpu_busy,gemm=12.1ms;moe_permute=3.0ms;cat_copy=1.0ms,backward|recompute
0,16729100979,7.532,3,0.0,1.034,laggard_gpu_busy,gemm=5.0ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
0,16773136944,9.03,3,0.0,1.019,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|recompute
0,16937349483,12.776,7,0.0,1.021,laggard_gpu_busy,gemm=5.8ms;elementwise=3.7ms;moe_permute=2.8ms,backward|recompute
0,16978228383,15.292,7,0.0,1.043,laggard_gpu_busy,gemm=11.5ms;moe_permute=2.9ms;cat_copy=1.0ms,backward|recompute
0,17149338643,17.619,6,0.0,1.014,laggard_gpu_busy,gemm=6.8ms;elementwise=6.6ms;moe_permute=3.2ms,backward|recompute
0,17194848164,21.396,6,0.0,1.032,laggard_gpu_busy,gemm=13.4ms;moe_permute=3.2ms;activation=2.8ms,backward|recompute
0,17366225692,36.018,4,0.0,1.027,laggard_gpu_busy,gemm=18.5ms;elementwise=10.2ms;moe_permute=4.0ms,backward|recompute
0,17423592999,46.11,4,0.0,1.014,laggard_gpu_busy,gemm=17.9ms;elementwise=11.2ms;cat_copy=10.3ms,backward|recompute
0,17838856295,20.515,6,0.0,1.015,laggard_gpu_busy,gemm=7.8ms;elementwise=7.7ms;moe_permute=3.2ms,backward|recompute
0,17889460698,27.731,6,0.0,1.026,laggard_gpu_busy,gemm=15.5ms;cat_copy=4.9ms;moe_permute=3.3ms,backward|recompute
0,18282277652,38.566,1,0.0,1.032,laggard_gpu_busy,gemm=20.8ms;elementwise=10.4ms;activation=3.8ms,backward|recompute
0,18343686395,52.88,1,0.0,1.012,laggard_gpu_busy,gemm=20.6ms;elementwise=13.3ms;cat_copy=11.1ms,backward|recompute
0,18551525604,14.155,1,0.0,1.02,laggard_gpu_busy,gemm=6.5ms;elementwise=4.4ms;moe_permute=2.7ms,backward|recompute
0,18595460612,16.798,1,0.0,1.037,laggard_gpu_busy,gemm=12.9ms;moe_permute=2.9ms;cat_copy=1.1ms,backward|recompute
0,18768935626,19.609,6,0.0,1.014,laggard_gpu_busy,gemm=7.7ms;elementwise=7.5ms;moe_permute=3.5ms,backward|recompute
0,18819237535,23.584,6,0.0,1.026,laggard_gpu_busy,gemm=15.1ms;moe_permute=3.4ms;activation=3.3ms,backward|recompute
0,18999815138,18.199,7,0.0,1.015,laggard_gpu_busy,gemm=6.7ms;elementwise=6.7ms;moe_permute=2.9ms,backward|recompute
0,19044610318,22.159,7,0.0,1.029,laggard_gpu_busy,gemm=13.3ms;moe_permute=3.2ms;activation=2.9ms,backward|recompute
0,19221465600,17.965,4,0.0,1.017,laggard_gpu_busy,gemm=7.1ms;elementwise=6.9ms;moe_permute=3.0ms,backward|recompute
0,19268108708,21.393,4,0.0,1.031,laggard_gpu_busy,gemm=14.0ms;moe_permute=3.1ms;activation=2.9ms,backward|recompute
0,19674161496,15.757,7,0.0,1.018,laggard_gpu_busy,gemm=7.0ms;elementwise=5.2ms;moe_permute=3.0ms,backward|recompute
0,19721813225,18.489,7,0.0,1.037,laggard_gpu_busy,gemm=14.0ms;moe_permute=3.2ms;cat_copy=1.2ms,backward|recompute
0,19915060627,20.374,6,0.0,1.014,laggard_gpu_busy,gemm=7.4ms;elementwise=7.4ms;moe_permute=3.2ms,backward|recompute
0,19963879764,24.144,6,0.0,1.027,laggard_gpu_busy,gemm=14.8ms;moe_permute=3.4ms;activation=3.1ms,backward|recompute
0,20149320420,12.134,1,0.0,1.021,laggard_gpu_busy,gemm=6.5ms;moe_permute=2.9ms;elementwise=2.2ms,backward|recompute
0,20194117977,14.668,1,0.0,1.036,laggard_gpu_busy,gemm=12.0ms;moe_permute=3.2ms;hybridep_meta=0.0ms,backward|recompute
0,20364695804,12.605,5,0.0,1.026,laggard_gpu_busy,gemm=6.1ms;elementwise=3.3ms;moe_permute=2.8ms,backward|recompute
0,20407055409,14.953,5,0.0,1.05,laggard_gpu_busy,gemm=12.3ms;moe_permute=2.9ms;cat_copy=0.5ms,backward|recompute
