gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,gemm,21507,4.785,7.104,74.5
0,cat_copy,30977,4.145,7.001,3.7
0,hybridep_sync,900,3.887,203.404,57.6
0,dsa_backward,312,3.586,48.489,527.3
0,fp32_simt_head,16,1.858,117.518,116062.0
0,nccl,436,1.508,405.208,1726.0
0,elementwise,52457,1.321,0.941,2.2
0,dsa_forward,156,1.197,8.263,7642.0
0,dsa_indexer,714,1.042,2.475,1104.4
0,hybridep_dispatch,225,0.963,4.966,4398.1
0,hybridep_combine,225,0.868,4.389,3912.4
0,moe_permute,450,0.757,3.321,1629.4
0,norm,1251,0.304,0.9,44.8
0,topk_router,458,0.141,0.551,433.7
0,cub_scan_sort,11202,0.103,2.032,1.7
0,hybridep_meta,750,0.08,1.053,2.0
0,nonzero_cub,21309,0.042,0.006,2.0
0,other,3872,0.03,0.078,5.9
0,cross_entropy,8,0.006,0.758,757.3
0,optimizer,52,0.003,0.084,74.0
1,gemm,21505,4.977,7.286,74.8
1,cat_copy,31017,4.207,7.916,3.7
1,dsa_backward,312,3.715,50.502,529.0
1,hybridep_sync,900,3.703,170.336,58.7
1,fp32_simt_head,16,1.856,117.316,116290.5
1,elementwise,52512,1.324,0.881,2.1
1,dsa_forward,156,1.236,8.86,7881.0
1,nccl,435,1.2,406.916,450.9
1,dsa_indexer,756,1.05,2.469,1417.7
1,hybridep_dispatch,225,0.959,4.919,4362.9
1,hybridep_combine,225,0.873,4.439,3910.0
1,moe_permute,450,0.762,4.399,1590.9
1,norm,1251,0.305,0.991,45.2
1,topk_router,458,0.141,0.556,433.0
1,cub_scan_sort,11198,0.102,2.054,1.6
1,hybridep_meta,750,0.076,1.061,1.9
1,nonzero_cub,21294,0.04,0.006,1.9
1,other,3866,0.03,0.082,5.8
1,cross_entropy,8,0.006,0.758,757.1
1,optimizer,52,0.003,0.082,74.0
2,gemm,21525,4.923,7.278,75.2
2,cat_copy,31006,4.178,7.198,3.7
2,hybridep_sync,900,3.877,189.586,272.7
2,dsa_backward,312,3.699,51.212,527.2
