Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.2,179177987837,60307,2971097.7,12964.0,2191,526305564,15424430.8,cudaStreamSynchronize
2.2,4058381614,915046,4435.2,3841.0,2342,2903290,8558.0,cudaLaunchKernel
0.6,1074797887,5,214959577.4,206005390.0,2065766,480059447,192442199.0,cuMemSetAccess
0.5,1001671874,72,13912109.4,1623505.5,493,66735434,21370551.1,cuKernelSetAttribute
0.5,940067764,167008,5628.9,4992.0,2400,1634977,7244.6,cuLaunchKernelEx
0.3,544438933,69681,7813.3,4468.0,2604,64146417,243375.2,cudaMemcpyAsync
0.1,272969009,78000,3499.6,2780.0,2090,792570,4156.2,cuLaunchKernel
0.1,212155319,44336,4785.2,3737.0,1661,469572,4884.7,cudaEventRecord
0.1,178166357,131527,1354.6,661.0,428,456985,2613.9,cudaEventQuery
0.1,102031957,8,12753994.6,12863930.5,9147410,14859646,1819215.2,cudaMemGetInfo
0.1,95809618,18148,5279.3,4594.0,2632,69207,2798.5,cudaLaunchKernelExC_v11060
0.0,88738988,924178,96.0,64.0,47,324640,532.6,cuKernelGetName
0.0,81130912,14940,5430.4,3671.0,2322,150817,3934.1,cudaMemsetAsync
0.0,58651952,46424,1263.4,779.0,334,84022,1415.7,cudaStreamWaitEvent
0.0,46545791,197,236273.1,28510.0,26478,34457931,2456020.9,cuMemCreate
0.0,44287955,326400,135.7,72.0,48,19049,258.1,cuKernelGetAttribute
0.0,28465431,350880,81.1,70.0,55,66402,176.1,cuStreamGetGreenCtx
0.0,20420801,4696,4348.6,3477.0,1942,89254,2583.4,cudaEventRecordWithFlags_v11010
0.0,18021092,2456,7337.6,6668.5,4644,64849,3562.8,cudaLaunchCooperativeKernel
0.0,15980437,11744,1360.7,1293.0,411,67599,1251.5,cudaEventCreateWithFlags
0.0,14255445,27998,509.2,427.0,167,48777,545.1,cudaStreamIsCapturing_v10000
0.0,12459423,11744,1060.9,841.0,291,1840137,17272.9,cudaEventDestroy
0.0,7594420,197,38550.4,22569.0,20871,648783,67699.8,cuMemMap
0.0,7508772,3488,2152.7,1939.0,377,18002,1016.8,cudaGetFuncBySymbol_v11000
0.0,4577966,13566,337.5,217.0,145,29205,497.2,cudaThreadExchangeStreamCaptureMode_v10010
0.0,3768583,3488,1080.4,1010.0,333,20547,785.9,cudaStreamGetCaptureInfo_v12030
0.0,2073691,4992,415.4,187.0,117,8023,465.3,cuTensorMapEncodeTiled
0.0,2071941,4992,415.1,207.0,176,13807,530.8,cudaGetDriverEntryPointByVersion_v12050
0.0,1962213,36,54505.9,54471.0,29992,76679,11448.6,cuLibraryLoadData
0.0,16959,8,2119.9,1675.5,622,4650,1599.9,cudaGetDevice
0.0,15244,8,1905.5,1731.5,429,3807,1560.1,cudaSetDevice
0.0,6799,36,188.9,179.0,123,374,44.8,cuLibraryGetKernel
0.0,2569,4,642.3,667.5,284,950,296.2,cuDevicePrimaryCtxGetState
0.0,994,4,248.5,245.5,172,331,65.5,cudaGetLastError
