Duration (ns),Start (ns),PID,TID,API Name
526305564,31914576976,26142,26142,cudaStreamSynchronize_v3020
525652303,31915230000,26150,26150,cudaStreamSynchronize_v3020
525554993,31915333717,26138,26138,cudaStreamSynchronize_v3020
524986064,31915899389,26136,26136,cudaStreamSynchronize_v3020
519657440,31921223503,26146,26146,cudaStreamSynchronize_v3020
405062429,32035815341,26135,37027,cudaStreamSynchronize_v3020
287083249,33457456117,26135,28257,cudaStreamSynchronize_v3020
286572534,33458269044,26154,28164,cudaStreamSynchronize_v3020
286273515,33458520465,26150,28321,cudaStreamSynchronize_v3020
285857350,33458748645,26142,28342,cudaStreamSynchronize_v3020
285577500,33459365194,26137,28221,cudaStreamSynchronize_v3020
285423593,33459278903,26138,28294,cudaStreamSynchronize_v3020
280905342,33463847500,26136,28166,cudaStreamSynchronize_v3020
205102076,32235776197,26154,26154,cudaStreamSynchronize_v3020
152459497,34094435854,26135,28257,cudaStreamSynchronize_v3020
151749874,34095266607,26146,28288,cudaStreamSynchronize_v3020
151670765,34095538042,26154,28164,cudaStreamSynchronize_v3020
151579618,34095490795,26138,28294,cudaStreamSynchronize_v3020
151499966,34095623589,26137,28221,cudaStreamSynchronize_v3020
150888565,34096110718,26142,28342,cudaStreamSynchronize_v3020
148568852,34098578653,26136,28166,cudaStreamSynchronize_v3020
140163697,39787207297,26135,28257,cudaStreamSynchronize_v3020
139819443,39787647944,26146,28288,cudaStreamSynchronize_v3020
139440889,39788045030,26137,28221,cudaStreamSynchronize_v3020
139416783,39788111443,26138,28294,cudaStreamSynchronize_v3020
139342061,39788253799,26150,28321,cudaStreamSynchronize_v3020
139269241,39788529626,26136,28166,cudaStreamSynchronize_v3020
139228088,39788435387,26154,28164,cudaStreamSynchronize_v3020
139138655,39788331201,26142,28342,cudaStreamSynchronize_v3020
124816628,33289139133,26135,28257,cudaStreamSynchronize_v3020
124212767,33289089102,26146,28288,cudaStreamSynchronize_v3020
124103387,33289176586,26138,28294,cudaStreamSynchronize_v3020
124053652,33288604830,26150,28321,cudaStreamSynchronize_v3020
124016903,33287914772,26154,28164,cudaStreamSynchronize_v3020
123917678,33289273780,26136,28166,cudaStreamSynchronize_v3020
123601251,33286586168,26137,28221,cudaStreamSynchronize_v3020
123329472,33286714749,26142,28342,cudaStreamSynchronize_v3020
122861416,31078474785,26146,26146,cudaStreamSynchronize_v3020
120370808,50586091622,26138,26138,cudaStreamSynchronize_v3020
120370221,50586090345,26137,26137,cudaStreamSynchronize_v3020
120367266,50586095181,26150,26150,cudaStreamSynchronize_v3020
120365583,50586097327,26146,26146,cudaStreamSynchronize_v3020
120328908,50586134438,26154,26154,cudaStreamSynchronize_v3020
120316271,50586148444,26142,26142,cudaStreamSynchronize_v3020
120297499,50586165303,26136,26136,cudaStreamSynchronize_v3020
119198855,32684089200,26135,28257,cudaStreamSynchronize_v3020
119169888,32804247797,26135,28257,cudaStreamSynchronize_v3020
119099305,33044185733,26135,28257,cudaStreamSynchronize_v3020
118964372,32924340644,26135,28257,cudaStreamSynchronize_v3020
118952177,33043494227,26146,28288,cudaStreamSynchronize_v3020
