gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,hybridep_sync,900,7.143,1509.355,54.6
0,gemm,21489,5.011,7.477,77.6
0,dsa_backward,312,3.624,49.897,531.9
0,elementwise,34357,2.097,2.276,8.9
0,cat_copy,9097,2.028,2.93,12.7
0,fp32_simt_head,16,1.851,117.08,115694.9
0,dsa_forward,156,1.211,8.715,7694.8
0,dsa_indexer,714,1.055,2.725,1138.9
0,nccl,429,0.984,131.0,634.0
0,hybridep_dispatch,225,0.974,5.034,4454.0
0,hybridep_combine,225,0.87,4.402,3921.3
0,moe_permute,450,0.767,3.498,1647.5
0,activation,549,0.365,1.617,736.4
0,norm,1251,0.305,0.975,45.0
0,topk_router,683,0.144,0.64,20.3
0,hybridep_meta,750,0.109,23.014,1.7
0,cub_scan_sort,1202,0.076,2.053,1.8
0,other,1076,0.014,0.088,2.3
0,cross_entropy,8,0.006,0.758,757.0
0,nonzero_cub,150,0.0,0.005,1.7
1,hybridep_sync,900,6.066,1506.336,55.3
1,gemm,21506,5.049,7.449,76.0
1,dsa_backward,312,3.756,55.895,531.3
1,elementwise,34413,2.113,2.049,8.9
1,cat_copy,9136,2.051,3.172,12.7
1,fp32_simt_head,16,1.858,120.341,116943.6
1,dsa_forward,156,1.247,8.752,7938.3
1,dsa_indexer,756,1.063,2.566,1478.7
1,hybridep_dispatch,225,0.968,5.017,4434.3
1,hybridep_combine,225,0.875,4.442,3920.2
1,moe_permute,450,0.77,4.003,1608.1
1,nccl,429,0.767,126.07,539.7
1,activation,555,0.372,1.618,773.2
1,norm,1251,0.306,1.033,45.0
1,topk_router,683,0.144,0.609,20.4
1,hybridep_meta,750,0.106,22.969,1.6
1,cub_scan_sort,1198,0.076,2.065,2.0
1,other,1070,0.014,0.087,2.2
1,cross_entropy,8,0.006,0.759,756.7
1,nonzero_cub,135,0.0,0.002,1.6
2,hybridep_sync,900,7.428,1490.827,60.2
2,gemm,21519,4.989,7.366,76.4
2,dsa_backward,312,3.714,51.075,529.8
2,elementwise,34492,2.113,2.414,8.9
2,cat_copy,9119,2.026,3.035,12.7
2,fp32_simt_head,16,1.855,117.157,116567.2
2,dsa_forward,156,1.238,9.514,7877.1
2,dsa_indexer,840,1.051,2.253,769.9
2,hybridep_dispatch,225,0.975,5.059,4452.6
2,hybridep_combine,225,0.872,4.379,3902.0
2,moe_permute,450,0.784,3.626,1709.1
2,nccl,429,0.749,60.904,678.5
2,activation,558,0.372,1.599,785.3
2,norm,1251,0.305,0.946,44.8
2,topk_router,683,0.144,0.589,20.3
2,hybridep_meta,750,0.105,22.965,1.6
2,cub_scan_sort,1198,0.076,2.041,2.0
2,other,1070,0.014,0.093,2.2
2,cross_entropy,8,0.006,0.758,757.2
2,nonzero_cub,135,0.0,0.002,1.6
3,hybridep_sync,900,7.391,1494.418,713.0
3,gemm,21454,5.012,7.197,75.2
3,dsa_backward,312,3.733,53.242,531.7
3,elementwise,34542,2.128,1.936,8.9
3,cat_copy,9157,2.041,3.023,12.8
3,fp32_simt_head,16,1.858,117.425,116104.3
3,dsa_forward,156,1.243,8.924,7917.3
3,dsa_indexer,840,1.06,2.624,1859.3
3,hybridep_combine,225,0.874,4.444,3920.6
3,hybridep_dispatch,225,0.813,4.186,3724.5
3,moe_permute,450,0.792,3.668,1743.2
3,nccl,429,0.729,128.092,630.3
3,activation,576,0.376,1.577,750.8
3,norm,1251,0.306,1.002,44.9
3,topk_router,683,0.143,0.576,20.3
3,hybridep_meta,750,0.081,1.297,1.9
3,cub_scan_sort,1198,0.076,2.076,2.2
3,other,1070,0.014,0.083,2.3
3,cross_entropy,8,0.006,0.76,757.5
3,nonzero_cub,135,0.0,0.003,1.9
4,hybridep_sync,900,7.298,1503.163,64.0
4,gemm,21585,4.948,7.206,75.1
4,dsa_backward,312,3.73,52.737,529.2
4,elementwise,34602,2.104,1.985,8.9
4,cat_copy,9148,2.04,3.037,12.7
4,fp32_simt_head,16,1.855,117.529,115888.8
4,dsa_forward,156,1.246,8.829,7925.6
4,dsa_indexer,924,1.063,2.522,1234.3
4,hybridep_dispatch,225,0.965,4.972,4401.7
4,hybridep_combine,225,0.867,4.392,3906.7
4,nccl,429,0.848,129.087,676.6
4,moe_permute,450,0.766,3.886,1592.8
4,activation,564,0.37,1.576,771.1
4,norm,1251,0.305,0.923,45.0
4,topk_router,683,0.144,0.625,20.3
4,hybridep_meta,750,0.112,23.019,1.7
4,cub_scan_sort,1198,0.076,2.077,1.9
4,other,1070,0.014,0.084,2.2
4,cross_entropy,8,0.006,0.758,756.9
4,nonzero_cub,135,0.0,0.002,1.6
5,hybridep_sync,900,6.612,1502.844,66.8
5,gemm,21573,4.868,7.039,77.3
5,dsa_backward,312,3.724,52.764,530.1
5,elementwise,34615,2.079,1.963,8.8
5,cat_copy,9122,2.018,2.931,12.7
5,fp32_simt_head,16,1.853,117.119,115889.6
5,dsa_forward,156,1.24,8.949,7893.8
5,dsa_indexer,966,1.106,2.831,1541.0
5,hybridep_dispatch,225,0.985,4.979,4476.0
5,hybridep_combine,225,0.876,4.464,3923.5
5,nccl,429,0.793,88.066,710.6
5,moe_permute,450,0.75,3.771,1530.8
5,activation,555,0.359,1.519,740.1
5,norm,1251,0.304,0.929,44.9
5,topk_router,683,0.143,0.607,20.2
5,hybridep_meta,750,0.108,22.943,1.7
5,cub_scan_sort,1198,0.076,2.048,2.0
5,other,1070,0.014,0.081,2.2
5,cross_entropy,8,0.006,0.758,757.3
5,nonzero_cub,135,0.0,0.002,1.6
6,gemm,21593,5.24,7.215,75.1
