what,gpu,instances,wall_s,gpu_kernel_s
layer_forward,0,78,7.315,7.361
layer_recompute_forward,0,78,18.28,9.45
backward_minus_recompute_forward,0,1,,10.735
layer_forward,1,78,7.302,7.331
layer_recompute_forward,1,78,18.322,8.453
backward_minus_recompute_forward,1,1,,10.734
layer_forward,2,78,7.304,7.334
layer_recompute_forward,2,78,18.144,9.791
backward_minus_recompute_forward,2,1,,10.732
layer_forward,3,78,7.304,7.271
layer_recompute_forward,3,78,18.346,9.583
backward_minus_recompute_forward,3,1,,10.735
layer_forward,4,78,7.302,7.345
layer_recompute_forward,4,78,18.27,9.596
backward_minus_recompute_forward,4,1,,10.729
layer_forward,5,78,7.301,7.341
layer_recompute_forward,5,78,18.28,8.795
backward_minus_recompute_forward,5,1,,10.731
layer_forward,6,78,7.301,7.34
layer_recompute_forward,6,78,17.049,7.981
backward_minus_recompute_forward,6,1,,10.724
layer_forward,7,78,7.302,7.333
layer_recompute_forward,7,78,18.318,9.719
backward_minus_recompute_forward,7,1,,10.724
