phase,gpu,metric,avg
step,0,GR Active [Throughput %],98.17
step,0,SMs Active [Throughput %],63.05
step,0,SM Issue [Throughput %],19.95
step,0,Tensor Active [Throughput %],21.48
step,0,DRAM Read Bandwidth [Throughput %],10.46
step,0,DRAM Write Bandwidth [Throughput %],6.21
step,0,NVLink RX Requests Protocol Data [Throughput %],0.89
step,0,NVLink RX Requests User Data [Throughput %],1.61
step,0,NVLink RX Responses Protocol Data [Throughput %],0.21
step,0,NVLink RX Responses User Data [Throughput %],1.37
step,0,NVLink TX Requests Protocol Data [Throughput %],0.57
step,0,NVLink TX Requests User Data [Throughput %],1.63
step,0,NVLink TX Responses Protocol Data [Throughput %],0.54
step,0,NVLink TX Responses User Data [Throughput %],1.69
step,1,GR Active [Throughput %],94.65
step,1,SMs Active [Throughput %],63.86
step,1,SM Issue [Throughput %],20.21
step,1,Tensor Active [Throughput %],21.87
step,1,DRAM Read Bandwidth [Throughput %],10.47
step,1,DRAM Write Bandwidth [Throughput %],6.26
step,1,NVLink RX Requests Protocol Data [Throughput %],0.56
step,1,NVLink RX Requests User Data [Throughput %],1.6
step,1,NVLink RX Responses Protocol Data [Throughput %],0.43
step,1,NVLink RX Responses User Data [Throughput %],1.59
step,1,NVLink TX Requests Protocol Data [Throughput %],0.78
step,1,NVLink TX Requests User Data [Throughput %],1.64
step,1,NVLink TX Responses Protocol Data [Throughput %],0.22
step,1,NVLink TX Responses User Data [Throughput %],1.35
step,2,GR Active [Throughput %],98.83
step,2,SMs Active [Throughput %],63.43
step,2,SM Issue [Throughput %],20.07
step,2,Tensor Active [Throughput %],21.52
step,2,DRAM Read Bandwidth [Throughput %],10.49
step,2,DRAM Write Bandwidth [Throughput %],6.23
step,2,NVLink RX Requests Protocol Data [Throughput %],0.57
step,2,NVLink RX Requests User Data [Throughput %],1.64
step,2,NVLink RX Responses Protocol Data [Throughput %],0.47
step,2,NVLink RX Responses User Data [Throughput %],1.63
step,2,NVLink TX Requests Protocol Data [Throughput %],0.82
step,2,NVLink TX Requests User Data [Throughput %],1.62
step,2,NVLink TX Responses Protocol Data [Throughput %],0.22
step,2,NVLink TX Responses User Data [Throughput %],1.38
step,3,GR Active [Throughput %],98.34
step,3,SMs Active [Throughput %],63.66
step,3,SM Issue [Throughput %],20.19
step,3,Tensor Active [Throughput %],21.65
step,3,DRAM Read Bandwidth [Throughput %],10.56
step,3,DRAM Write Bandwidth [Throughput %],6.3
step,3,NVLink RX Requests Protocol Data [Throughput %],0.58
step,3,NVLink RX Requests User Data [Throughput %],1.65
step,3,NVLink RX Responses Protocol Data [Throughput %],0.46
step,3,NVLink RX Responses User Data [Throughput %],1.62
step,3,NVLink TX Requests Protocol Data [Throughput %],0.82
step,3,NVLink TX Requests User Data [Throughput %],1.62
step,3,NVLink TX Responses Protocol Data [Throughput %],0.22
step,3,NVLink TX Responses User Data [Throughput %],1.4
step,4,GR Active [Throughput %],98.65
step,4,SMs Active [Throughput %],63.41
step,4,SM Issue [Throughput %],20.1
step,4,Tensor Active [Throughput %],21.47
step,4,DRAM Read Bandwidth [Throughput %],10.56
step,4,DRAM Write Bandwidth [Throughput %],6.27
step,4,NVLink RX Requests Protocol Data [Throughput %],0.56
step,4,NVLink RX Requests User Data [Throughput %],1.61
step,4,NVLink RX Responses Protocol Data [Throughput %],0.47
step,4,NVLink RX Responses User Data [Throughput %],1.63
step,4,NVLink TX Requests Protocol Data [Throughput %],0.82
step,4,NVLink TX Requests User Data [Throughput %],1.63
step,4,NVLink TX Responses Protocol Data [Throughput %],0.22
step,4,NVLink TX Responses User Data [Throughput %],1.35
step,5,GR Active [Throughput %],95.7
step,5,SMs Active [Throughput %],62.75
step,5,SM Issue [Throughput %],19.87
step,5,Tensor Active [Throughput %],21.12
step,5,DRAM Read Bandwidth [Throughput %],10.49
step,5,DRAM Write Bandwidth [Throughput %],6.23
step,5,NVLink RX Requests Protocol Data [Throughput %],0.55
step,5,NVLink RX Requests User Data [Throughput %],1.58
step,5,NVLink RX Responses Protocol Data [Throughput %],0.44
step,5,NVLink RX Responses User Data [Throughput %],1.6
step,5,NVLink TX Requests Protocol Data [Throughput %],0.79
step,5,NVLink TX Requests User Data [Throughput %],1.62
step,5,NVLink TX Responses Protocol Data [Throughput %],0.21
step,5,NVLink TX Responses User Data [Throughput %],1.33
step,6,GR Active [Throughput %],93.03
step,6,SMs Active [Throughput %],65.58
step,6,SM Issue [Throughput %],20.66
step,6,Tensor Active [Throughput %],22.5
step,6,DRAM Read Bandwidth [Throughput %],11.04
step,6,DRAM Write Bandwidth [Throughput %],6.62
step,6,NVLink RX Requests Protocol Data [Throughput %],0.62
step,6,NVLink RX Requests User Data [Throughput %],1.77
step,6,NVLink RX Responses Protocol Data [Throughput %],0.39
step,6,NVLink RX Responses User Data [Throughput %],1.54
step,6,NVLink TX Requests Protocol Data [Throughput %],0.74
step,6,NVLink TX Requests User Data [Throughput %],1.61
step,6,NVLink TX Responses Protocol Data [Throughput %],0.24
step,6,NVLink TX Responses User Data [Throughput %],1.51
step,7,GR Active [Throughput %],99.05
step,7,SMs Active [Throughput %],62.46
step,7,SM Issue [Throughput %],19.81
step,7,Tensor Active [Throughput %],20.95
step,7,DRAM Read Bandwidth [Throughput %],10.41
step,7,DRAM Write Bandwidth [Throughput %],6.18
step,7,NVLink RX Requests Protocol Data [Throughput %],0.55
step,7,NVLink RX Requests User Data [Throughput %],1.58
step,7,NVLink RX Responses Protocol Data [Throughput %],0.48
step,7,NVLink RX Responses User Data [Throughput %],1.63
step,7,NVLink TX Requests Protocol Data [Throughput %],0.83
step,7,NVLink TX Requests User Data [Throughput %],1.63
step,7,NVLink TX Responses Protocol Data [Throughput %],0.21
step,7,NVLink TX Responses User Data [Throughput %],1.33
forward,0,GR Active [Throughput %],98.9
forward,0,SMs Active [Throughput %],70.74
forward,0,SM Issue [Throughput %],27.4
forward,0,Tensor Active [Throughput %],23.57
forward,0,DRAM Read Bandwidth [Throughput %],11.82
forward,0,DRAM Write Bandwidth [Throughput %],7.7
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.84
forward,0,NVLink RX Requests User Data [Throughput %],1.9
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.24
forward,0,NVLink RX Responses User Data [Throughput %],1.52
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.65
forward,0,NVLink TX Requests User Data [Throughput %],1.93
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.44
forward,0,NVLink TX Responses User Data [Throughput %],1.72
forward,1,GR Active [Throughput %],98.58
forward,1,SMs Active [Throughput %],71.38
forward,1,SM Issue [Throughput %],27.76
forward,1,Tensor Active [Throughput %],23.88
forward,1,DRAM Read Bandwidth [Throughput %],11.77
forward,1,DRAM Write Bandwidth [Throughput %],7.72
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.64
forward,1,NVLink RX Requests User Data [Throughput %],1.88
forward,1,NVLink RX Responses Protocol Data [Throughput %],0.37
forward,1,NVLink RX Responses User Data [Throughput %],1.66
forward,1,NVLink TX Requests Protocol Data [Throughput %],0.78
forward,1,NVLink TX Requests User Data [Throughput %],1.93
forward,1,NVLink TX Responses Protocol Data [Throughput %],0.24
forward,1,NVLink TX Responses User Data [Throughput %],1.5
forward,2,GR Active [Throughput %],97.06
forward,2,SMs Active [Throughput %],70.83
forward,2,SM Issue [Throughput %],27.5
forward,2,Tensor Active [Throughput %],23.51
forward,2,DRAM Read Bandwidth [Throughput %],11.81
forward,2,DRAM Write Bandwidth [Throughput %],7.71
forward,2,NVLink RX Requests Protocol Data [Throughput %],0.65
forward,2,NVLink RX Requests User Data [Throughput %],1.93
forward,2,NVLink RX Responses Protocol Data [Throughput %],0.37
forward,2,NVLink RX Responses User Data [Throughput %],1.64
forward,2,NVLink TX Requests Protocol Data [Throughput %],0.77
forward,2,NVLink TX Requests User Data [Throughput %],1.91
forward,2,NVLink TX Responses Protocol Data [Throughput %],0.25
forward,2,NVLink TX Responses User Data [Throughput %],1.53
forward,3,GR Active [Throughput %],97.82
forward,3,SMs Active [Throughput %],71.03
forward,3,SM Issue [Throughput %],27.66
forward,3,Tensor Active [Throughput %],23.66
forward,3,DRAM Read Bandwidth [Throughput %],11.88
forward,3,DRAM Write Bandwidth [Throughput %],7.74
forward,3,NVLink RX Requests Protocol Data [Throughput %],0.66
forward,3,NVLink RX Requests User Data [Throughput %],1.94
forward,3,NVLink RX Responses Protocol Data [Throughput %],0.37
forward,3,NVLink RX Responses User Data [Throughput %],1.65
forward,3,NVLink TX Requests Protocol Data [Throughput %],0.78
forward,3,NVLink TX Requests User Data [Throughput %],1.91
forward,3,NVLink TX Responses Protocol Data [Throughput %],0.25
forward,3,NVLink TX Responses User Data [Throughput %],1.55
forward,4,GR Active [Throughput %],98.74
forward,4,SMs Active [Throughput %],70.87
forward,4,SM Issue [Throughput %],27.58
forward,4,Tensor Active [Throughput %],23.48
forward,4,DRAM Read Bandwidth [Throughput %],11.87
forward,4,DRAM Write Bandwidth [Throughput %],7.69
forward,4,NVLink RX Requests Protocol Data [Throughput %],0.64
forward,4,NVLink RX Requests User Data [Throughput %],1.89
forward,4,NVLink RX Responses Protocol Data [Throughput %],0.37
forward,4,NVLink RX Responses User Data [Throughput %],1.66
forward,4,NVLink TX Requests Protocol Data [Throughput %],0.78
forward,4,NVLink TX Requests User Data [Throughput %],1.93
forward,4,NVLink TX Responses Protocol Data [Throughput %],0.24
forward,4,NVLink TX Responses User Data [Throughput %],1.5
forward,5,GR Active [Throughput %],98.16
forward,5,SMs Active [Throughput %],70.11
forward,5,SM Issue [Throughput %],27.31
forward,5,Tensor Active [Throughput %],23.05
forward,5,DRAM Read Bandwidth [Throughput %],11.81
forward,5,DRAM Write Bandwidth [Throughput %],7.65
forward,5,NVLink RX Requests Protocol Data [Throughput %],0.63
forward,5,NVLink RX Requests User Data [Throughput %],1.86
forward,5,NVLink RX Responses Protocol Data [Throughput %],0.38
forward,5,NVLink RX Responses User Data [Throughput %],1.65
forward,5,NVLink TX Requests Protocol Data [Throughput %],0.78
forward,5,NVLink TX Requests User Data [Throughput %],1.91
forward,5,NVLink TX Responses Protocol Data [Throughput %],0.24
forward,5,NVLink TX Responses User Data [Throughput %],1.47
forward,6,GR Active [Throughput %],98.69
forward,6,SMs Active [Throughput %],73.18
forward,6,SM Issue [Throughput %],28.25
forward,6,Tensor Active [Throughput %],24.63
forward,6,DRAM Read Bandwidth [Throughput %],12.34
forward,6,DRAM Write Bandwidth [Throughput %],8.0
forward,6,NVLink RX Requests Protocol Data [Throughput %],0.71
forward,6,NVLink RX Requests User Data [Throughput %],2.09
forward,6,NVLink RX Responses Protocol Data [Throughput %],0.35
forward,6,NVLink RX Responses User Data [Throughput %],1.63
forward,6,NVLink TX Requests Protocol Data [Throughput %],0.76
forward,6,NVLink TX Requests User Data [Throughput %],1.91
forward,6,NVLink TX Responses Protocol Data [Throughput %],0.27
forward,6,NVLink TX Responses User Data [Throughput %],1.69
forward,7,GR Active [Throughput %],98.63
forward,7,SMs Active [Throughput %],69.74
forward,7,SM Issue [Throughput %],27.23
forward,7,Tensor Active [Throughput %],22.87
forward,7,DRAM Read Bandwidth [Throughput %],11.72
forward,7,DRAM Write Bandwidth [Throughput %],7.6
forward,7,NVLink RX Requests Protocol Data [Throughput %],0.63
forward,7,NVLink RX Requests User Data [Throughput %],1.86
forward,7,NVLink RX Responses Protocol Data [Throughput %],0.38
forward,7,NVLink RX Responses User Data [Throughput %],1.66
forward,7,NVLink TX Requests Protocol Data [Throughput %],0.79
forward,7,NVLink TX Requests User Data [Throughput %],1.91
forward,7,NVLink TX Responses Protocol Data [Throughput %],0.24
forward,7,NVLink TX Responses User Data [Throughput %],1.48
backward,0,GR Active [Throughput %],97.9
backward,0,SMs Active [Throughput %],59.7
backward,0,SM Issue [Throughput %],16.87
backward,0,Tensor Active [Throughput %],20.53
backward,0,DRAM Read Bandwidth [Throughput %],9.88
backward,0,DRAM Write Bandwidth [Throughput %],5.59
backward,0,NVLink RX Requests Protocol Data [Throughput %],0.91
backward,0,NVLink RX Requests User Data [Throughput %],1.5
backward,0,NVLink RX Responses Protocol Data [Throughput %],0.2
backward,0,NVLink RX Responses User Data [Throughput %],1.32
backward,0,NVLink TX Requests Protocol Data [Throughput %],0.53
backward,0,NVLink TX Requests User Data [Throughput %],1.52
backward,0,NVLink TX Responses Protocol Data [Throughput %],0.58
backward,0,NVLink TX Responses User Data [Throughput %],1.69
backward,1,GR Active [Throughput %],92.99
backward,1,SMs Active [Throughput %],60.58
backward,1,SM Issue [Throughput %],17.08
backward,1,Tensor Active [Throughput %],20.94
backward,1,DRAM Read Bandwidth [Throughput %],9.92
backward,1,DRAM Write Bandwidth [Throughput %],5.65
backward,1,NVLink RX Requests Protocol Data [Throughput %],0.52
backward,1,NVLink RX Requests User Data [Throughput %],1.49
backward,1,NVLink RX Responses Protocol Data [Throughput %],0.45
backward,1,NVLink RX Responses User Data [Throughput %],1.57
backward,1,NVLink TX Requests Protocol Data [Throughput %],0.78
backward,1,NVLink TX Requests User Data [Throughput %],1.52
backward,1,NVLink TX Responses Protocol Data [Throughput %],0.2
backward,1,NVLink TX Responses User Data [Throughput %],1.29
backward,2,GR Active [Throughput %],99.56
backward,2,SMs Active [Throughput %],60.21
backward,2,SM Issue [Throughput %],17.0
backward,2,Tensor Active [Throughput %],20.62
backward,2,DRAM Read Bandwidth [Throughput %],9.93
backward,2,DRAM Write Bandwidth [Throughput %],5.61
backward,2,NVLink RX Requests Protocol Data [Throughput %],0.54
backward,2,NVLink RX Requests User Data [Throughput %],1.53
backward,2,NVLink RX Responses Protocol Data [Throughput %],0.52
backward,2,NVLink RX Responses User Data [Throughput %],1.63
backward,2,NVLink TX Requests Protocol Data [Throughput %],0.85
backward,2,NVLink TX Requests User Data [Throughput %],1.51
backward,2,NVLink TX Responses Protocol Data [Throughput %],0.21
backward,2,NVLink TX Responses User Data [Throughput %],1.33
backward,3,GR Active [Throughput %],98.55
backward,3,SMs Active [Throughput %],60.45
backward,3,SM Issue [Throughput %],17.09
backward,3,Tensor Active [Throughput %],20.73
backward,3,DRAM Read Bandwidth [Throughput %],10.0
backward,3,DRAM Write Bandwidth [Throughput %],5.7
backward,3,NVLink RX Requests Protocol Data [Throughput %],0.54
backward,3,NVLink RX Requests User Data [Throughput %],1.54
backward,3,NVLink RX Responses Protocol Data [Throughput %],0.51
backward,3,NVLink RX Responses User Data [Throughput %],1.62
backward,3,NVLink TX Requests Protocol Data [Throughput %],0.84
backward,3,NVLink TX Requests User Data [Throughput %],1.51
backward,3,NVLink TX Responses Protocol Data [Throughput %],0.21
backward,3,NVLink TX Responses User Data [Throughput %],1.34
backward,4,GR Active [Throughput %],98.61
backward,4,SMs Active [Throughput %],60.15
backward,4,SM Issue [Throughput %],16.99
backward,4,Tensor Active [Throughput %],20.55
backward,4,DRAM Read Bandwidth [Throughput %],10.0
backward,4,DRAM Write Bandwidth [Throughput %],5.67
backward,4,NVLink RX Requests Protocol Data [Throughput %],0.53
backward,4,NVLink RX Requests User Data [Throughput %],1.49
backward,4,NVLink RX Responses Protocol Data [Throughput %],0.51
backward,4,NVLink RX Responses User Data [Throughput %],1.62
backward,4,NVLink TX Requests Protocol Data [Throughput %],0.84
backward,4,NVLink TX Requests User Data [Throughput %],1.52
backward,4,NVLink TX Responses Protocol Data [Throughput %],0.2
backward,4,NVLink TX Responses User Data [Throughput %],1.29
backward,5,GR Active [Throughput %],94.66
backward,5,SMs Active [Throughput %],59.55
backward,5,SM Issue [Throughput %],16.78
backward,5,Tensor Active [Throughput %],20.24
backward,5,DRAM Read Bandwidth [Throughput %],9.93
backward,5,DRAM Write Bandwidth [Throughput %],5.63
backward,5,NVLink RX Requests Protocol Data [Throughput %],0.52
backward,5,NVLink RX Requests User Data [Throughput %],1.47
backward,5,NVLink RX Responses Protocol Data [Throughput %],0.47
backward,5,NVLink RX Responses User Data [Throughput %],1.58
backward,5,NVLink TX Requests Protocol Data [Throughput %],0.8
backward,5,NVLink TX Requests User Data [Throughput %],1.51
backward,5,NVLink TX Responses Protocol Data [Throughput %],0.2
backward,5,NVLink TX Responses User Data [Throughput %],1.27
backward,6,GR Active [Throughput %],90.64
backward,6,SMs Active [Throughput %],62.28
backward,6,SM Issue [Throughput %],17.52
backward,6,Tensor Active [Throughput %],21.54
backward,6,DRAM Read Bandwidth [Throughput %],10.48
