gpu,globalTid,api,calls,total_s,max_ms
0,0x10031e0003a2f,cudaStreamSynchronize,201,17.539,1650.69
0,0x10031e0005c00,cudaStreamSynchronize,269,6.869,130.78
1,0x10031e1003a18,cudaStreamSynchronize,200,16.362,1707.174
1,0x10031e10031e1,cudaStreamSynchronize,268,6.749,243.88
2,0x10031e2003a75,cudaStreamSynchronize,200,17.618,1710.18
2,0x10031e20031e2,cudaStreamSynchronize,268,6.422,119.133
3,0x10031e3003a6e,cudaStreamSynchronize,200,17.663,1650.846
3,0x10031e30031e3,cudaStreamSynchronize,268,6.589,244.596
4,0x10031e4003abe,cudaStreamSynchronize,200,17.615,1711.736
4,0x10031e40031e4,cudaStreamSynchronize,268,6.78,247.089
5,0x10031e5003a80,cudaStreamSynchronize,200,16.663,1711.019
5,0x10031e50031e5,cudaStreamSynchronize,268,6.728,205.699
6,0x10031e6003a57,cudaStreamSynchronize,200,14.682,354.558
6,0x10031e60031e6,cudaStreamSynchronize,268,6.801,249.494
7,0x10031e7003ab9,cudaStreamSynchronize,200,17.8,1711.416
7,0x10031e70031e7,cudaStreamSynchronize,268,6.769,221.356
