category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
activation,elementwise_kernel,4506,0.373,758.7,1.618
cat_copy,elementwise_kernel,10392,0.861,41.4,3.172
cat_copy,CatArrayBatchedCopy,8880,0.519,344.8,2.755
cat_copy,CatArrayBatchedCopy_vectorized,9060,0.192,17.1,1.304
cat_copy,unrolled_elementwise_kernel,10798,0.176,2.7,1.48
cat_copy,vectorized_elementwise_kernel,10362,0.123,2.8,0.46
cat_copy,indexFuncLargeIndex,624,0.097,1236.1,1.406
cat_copy,vectorized_gather_kernel,4760,0.036,19.0,0.167
cat_copy,_scatter_gather_elementwise_kernel,6888,0.028,8.8,0.296
cat_copy,index_elementwise_kernel,11180,0.006,3.2,0.147
cat_copy,CatArrayBatchedCopy_alignedK_contig,152,0.0,1.6,0.002
cross_entropy,cross_entropy_kernel,64,0.006,757.1,0.76
cub_scan_sort,radixSortKVInPlace,336,0.067,1615.1,2.077
cub_scan_sort,bitonicSortKVInPlace,2400,0.007,23.9,0.03
cub_scan_sort,DeviceScanKernel,3384,0.001,2.0,0.003
cub_scan_sort,DeviceRadixSortExclusiveSumKernel,9,0.0,1.7,0.002
cub_scan_sort,DeviceRadixSortHistogramKernel,9,0.0,3.9,0.004
cub_scan_sort,DeviceRadixSortOnesweepKernel,66,0.0,8.0,0.012
cub_scan_sort,DeviceScanInitKernel,3384,0.0,1.2,0.002
dsa_backward,kernel_cutlass_bwd_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm100Fla,624,3.635,46067.6,55.895
dsa_backward,kernel_cutlass_sum_OdO_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.06,772.1,0.821
dsa_backward,kernel_cutlass_convert_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm10,624,0.023,296.7,0.316
dsa_backward,kernel_cutlass_sum_dSink_cudnndeepseek_sparse_attentionsparse_attention_backwarddsa_bwd_sm,624,0.002,22.0,0.026
dsa_forward,sparse_attn_fwd_kernel,1248,1.24,7905.7,9.635
dsa_indexer,kernel_cutlass_kernel_cudnndeepseek_sparse_attentionindexer_forwardindexer_fwd_sm100Indexe,3318,0.876,2106.6,3.142
dsa_indexer,kernel_cutlass_indexer_topk_kernel_cudnndeepseek_sparse_attentionindexer_top_kindexer_top_,3318,0.221,464.4,2.475
elementwise,vectorized_elementwise_kernel,160222,0.963,2.6,0.961
elementwise,elementwise_kernel,23574,0.868,160.1,2.414
elementwise,unrolled_elementwise_kernel,4119,0.131,1.8,1.787
elementwise,triton_poi_fused__to_copy_mul_unsqueeze_view_0,76800,0.118,12.6,0.018
elementwise,reduce_kernel,4262,0.03,3.3,0.372
elementwise,element_mul_kernel,64,0.006,760.5,0.766
elementwise,elementwise_kernel_with_index,6969,0.002,1.8,0.004
elementwise,fill_reverse_indices_kernel,8,0.0,2.3,0.002
fp32_simt_head,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_nnn_align1_bias_f32_relu,64,0.937,117059.7,117.529
fp32_simt_head,cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu,64,0.918,114530.4,120.341
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,34398,1.946,260.4,7.406
gemm,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT,16691,1.217,352.6,7.477
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,7622,0.612,69.4,3.566
gemm,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_NNT,4442,0.152,67.6,5.506
gemm,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_TNN,7824,0.07,66.4,0.175
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_TNT,5678,0.068,70.1,0.634
gemm,nvjet_sm103_tst_256x240_64x4_2x1_2cta_v_bz_TNT,2036,0.065,248.1,0.801
gemm,nvjet_sm103_tst_256x128_64x5_2x1_2cta_v_bz_TNT,2850,0.062,129.7,1.006
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_TNT,2986,0.06,80.8,3.527
gemm,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_NNT,2982,0.04,82.0,0.625
gemm,nvjet_sm103_tst_256x128_64x5_2x2f_2cta_h_bz_NNT,1522,0.039,144.6,2.708
gemm,nvjet_sm103_tst_192x128_64x5_1x2_h_bz_TNT,624,0.036,455.3,0.46
gemm,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_TNT,1806,0.035,121.0,2.108
gemm,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_NNN,3744,0.031,70.0,0.252
gemm,nvjet_sm103_tst_256x128_64x5_2x1_2cta_v_bz_NNT,894,0.026,199.0,0.896
gemm,nvjet_sm103_tst_144x128_64x8_1x2_2cta_h_bz_TNN,2496,0.023,73.2,0.169
gemm,nvjet_sm103_tst_256x240_64x4_2x1_2cta_v_bz_NNT,823,0.023,215.5,0.899
gemm,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NNT,992,0.018,119.3,2.633
gemm,nvjet_sm103_tst_128x32_64x10_2x1_2cta_v_bz_splitK_NTT,1872,0.018,78.2,0.081
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_TNT,1280,0.018,95.4,0.524
gemm,nvjet_sm103_tst_256x208_64x4_2x1_2cta_v_bz_TNT,1686,0.016,53.2,0.352
gemm,nvjet_sm103_sss_tf32_128x256_32x6_2x1_2cta_v_bz_NNT,600,0.013,175.7,0.241
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_TNT,2364,0.013,34.2,0.32
gemm,nvjet_sm103_tst_128x32_64x10_4x1_2cta_v_bz_NTT,624,0.013,171.4,0.177
gemm,nvjet_sm103_tst_256x208_64x4_2x1_2cta_v_bz_NNT,1016,0.013,94.4,0.244
gemm,nvjet_sm103_tst_32x128_64x10_1x2_2cta_h_bz_splitK_NTN,1848,0.013,59.9,0.063
gemm,nvjet_sm103_sss_tf32_384x128_32x3_2x2_2cta_h_bz_splitK_NTT,600,0.012,164.0,0.183
gemm,nvjet_sm103_tss_128x256_64x6_2x2_2cta_h_bz_TNT,1200,0.012,79.8,0.084
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,152.7,0.157
