layer,gpu,start_ns,wall_ms
layer:1,0,19083822730,54.72
layer:1,0,47709733450,134.006
layer:1,1,19097792951,43.486
layer:1,1,47712570671,131.341
layer:1,2,19098553716,44.311
layer:1,2,47712277182,131.864
layer:1,3,19099005668,46.174
layer:1,3,47716192586,127.78
layer:1,4,19096411485,46.077
layer:1,4,47718901091,125.009
layer:1,5,19098030944,44.786
layer:1,5,47711834309,131.971
layer:1,6,19098587898,42.523
layer:1,6,47711306712,132.689
layer:1,7,19097167526,43.485
layer:1,7,47710594358,133.383
layer:2,0,19138704271,106.597
layer:2,0,47580969820,122.591
layer:2,1,19141447208,106.865
layer:2,1,47582166419,123.376
layer:2,2,19143040714,105.864
layer:2,2,47582460843,122.239
layer:2,3,19145458712,103.37
layer:2,3,47582250141,126.792
layer:2,4,19142661047,106.32
layer:2,4,47581460407,130.489
layer:2,5,19142989451,106.5
layer:2,5,47581306302,123.697
layer:2,6,19141297835,106.401
layer:2,6,47582191754,121.664
layer:2,7,19140818843,106.811
layer:2,7,47581772987,122.028
layer:3,0,19245441651,136.242
layer:3,0,47413498873,160.967
layer:3,1,19248457550,135.427
layer:3,1,47415485944,159.452
layer:3,2,19249055573,135.777
layer:3,2,47414494684,160.414
layer:3,3,19248988584,135.934
layer:3,3,47415123266,159.786
layer:3,4,19249131413,136.914
layer:3,4,47414238699,160.279
layer:3,5,19249647945,136.23
layer:3,5,47414364178,160.295
layer:3,6,19247861092,136.391
layer:3,6,47415277418,159.636
layer:3,7,19247776417,135.766
layer:3,7,47414392606,160.387
layer:4,0,19381833379,130.792
layer:4,0,47239231709,161.747
layer:4,1,19384027857,127.46
layer:4,1,47242534054,159.073
layer:4,2,19384980511,126.365
layer:4,2,47240613172,160.504
layer:4,3,19385064327,126.617
layer:4,3,47239707073,161.768
layer:4,4,19386198973,125.651
layer:4,4,47239549109,161.593
layer:4,5,19386035152,127.67
layer:4,5,47238230603,163.289
layer:4,6,19384413655,127.642
layer:4,6,47239158988,162.512
layer:4,7,19383686028,129.632
